Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,45.83,13.57,24
Boots,1001,91.67,45.45,19.79,22
Dagger,1042,87.5,42.86,31.09,21
Long Sword,1036,87.5,42.86,22.91,21
Tiamat,3077,83.33,50.0,21.81,20
Stealth Ward,3340,75.0,44.44,43.39,18
Ravenous Hydra,3074,75.0,44.44,34.76,18
Zeal,3086,75.0,38.89,32.77,18
Berserker's Greaves,3006,66.67,43.75,43.37,16
Doran's Blade,1055,66.67,62.5,46.88,16
Pickaxe,1037,66.67,50.0,19.6,16
Vampiric Scepter,1053,62.5,40.0,32.91,15
Infinity Edge,3031,58.33,57.14,25.13,14
B. F. Sword,1038,50.0,50.0,29.71,12
Phantom Dancer,3046,45.83,54.55,21.74,11
Doran's Shield,1054,37.5,22.22,61.69,9
Glowing Mote,2022,37.5,44.44,21.48,9
Cloak of Agility,1018,37.5,33.33,34.68,9
Blade of The Ruined King,3153,37.5,44.44,15.89,9
Recurve Bow,1043,33.33,25.0,17.09,8
Control Ward,2055,29.17,28.57,34.13,7
Caulfield's Warhammer,3133,29.17,42.86,38.16,7
Last Whisper,3035,29.17,71.43,46.26,7
Navori Flickerblade,6675,29.17,42.86,50.54,7
Lord Dominik's Regards,3036,25.0,66.67,48.19,6
Executioner's Calling,3123,20.83,60.0,73.27,5
Elixir of Wrath,2140,20.83,60.0,4.08,5
Oracle Lens,3364,16.67,0.0,55.23,4
Gunmetal Greaves,3172,16.67,75.0,16.13,4
Boots of Swiftness,3009,16.67,25.0,41.96,4
Mortal Reminder,3033,12.5,100.0,63.96,3
Elixir of Iron,2138,12.5,66.67,-13.11,3
Ionian Boots of Lucidity,3158,12.5,66.67,25.45,3
Refillable Potion,2031,12.5,33.33,-1.36,3
Farsight Alteration,3363,12.5,33.33,19.58,3
Voltaic Cyclosword,6699,12.5,100.0,42.41,3
The Brutalizer,2020,12.5,100.0,14.09,3
Profane Hydra,6698,12.5,100.0,-0.87,3
Scout's Slingshot,3144,8.33,50.0,22.58,2
Yun Tal Wildarrows,3032,8.33,50.0,26.64,2
Null-Magic Mantle,1033,8.33,50.0,28.75,2
Mercury's Treads,3111,8.33,50.0,38.89,2
Hearthbound Axe,3051,8.33,0.0,-28.29,2
Kraken Slayer,6672,8.33,0.0,0,2
Swiftmarch,3170,8.33,50.0,31.93,2
Eye of the Herald,3513,8.33,100.0,30.53,2
Hullbreaker,3181,4.17,0.0,-26.96,1
Chainlaced Crushers,3173,4.17,0.0,78.5,1
Serylda's Grudge,6694,4.17,0.0,45.18,1
Essence Reaver,3508,4.17,0.0,14.16,1
Rabadon's Deathcap,3089,4.17,0.0,0,1
Nashor's Tooth,3115,4.17,0.0,0,1
Lich Bane,3100,4.17,0.0,0,1
Shadowflame,4645,4.17,0.0,0,1
Void Staff,3135,4.17,0.0,0,1
Rectrix,6690,4.17,0.0,-30.31,1
Ruby Crystal,1028,4.17,0.0,24.22,1
Phage,3044,4.17,0.0,33.05,1
Stridebreaker,6631,4.17,0.0,19.59,1
Noonquiver,6670,4.17,100.0,24.86,1
Mercurial Scimitar,3139,4.17,100.0,7.0,1
Crimson Lucidity,3171,4.17,100.0,0,1
Serrated Dirk,3134,4.17,100.0,0,1
