Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,33.33,6.88,27
Pickaxe,1037,96.3,34.62,27.2,26
Doran's Blade,1055,92.59,32.0,38.81,25
Ruby Crystal,1028,92.59,32.0,21.05,25
Black Cleaver,3071,92.59,32.0,27.97,25
Phage,3044,88.89,33.33,19.31,24
Tunneler,2021,81.48,31.82,24.03,22
Long Sword,1036,77.78,33.33,22.8,21
Boots,1001,70.37,36.84,22.09,19
Sterak's Gage,3053,62.96,35.29,31.48,17
Stealth Ward,3340,62.96,29.41,57.97,17
Cloth Armor,1029,48.15,30.77,18.01,13
Kindlegem,3067,48.15,15.38,18.72,13
Control Ward,2055,44.44,33.33,20.45,12
Negatron Cloak,1057,40.74,27.27,14.34,11
Mercury's Treads,3111,40.74,18.18,27.66,11
Chain Vest,1031,40.74,27.27,22.75,11
Refillable Potion,2031,40.74,27.27,8.78,11
Plated Steelcaps,3047,37.04,40.0,10.44,10
Tiamat,3077,33.33,33.33,1.85,9
Null-Magic Mantle,1033,33.33,33.33,8.25,9
"Jak'Sho, The Protean",6665,33.33,33.33,-12.6,9
Cull,1083,33.33,33.33,4.55,9
Giant's Belt,1011,29.63,50.0,-7.11,8
Glowing Mote,2022,29.63,25.0,12.13,8
Boots of Swiftness,3009,25.93,42.86,13.35,7
Slightly Magical Footwear,2422,25.93,14.29,52.55,7
Bramble Vest,3076,22.22,33.33,18.85,6
Hullbreaker,3181,22.22,33.33,10.69,6
Thornmail,3075,22.22,33.33,18.6,6
Oracle Lens,3364,18.52,40.0,44.51,5
Overlord's Bloodmail,2501,18.52,20.0,-7.04,5
Stridebreaker,6631,14.81,25.0,-2.28,4
Winged Moonplate,3066,14.81,50.0,37.93,4
Kaenic Rookern,2504,11.11,33.33,-5.71,3
Swiftmarch,3170,11.11,66.67,3.57,3
Dagger,1042,7.41,100.0,29.45,2
Armored Advance,3174,7.41,100.0,-26.62,2
Elixir of Iron,2138,7.41,50.0,-26.13,2
Chainlaced Crushers,3173,7.41,50.0,33.2,2
Spectre's Cowl,3211,7.41,0.0,-21.83,2
Executioner's Calling,3123,7.41,50.0,64.73,2
Farsight Alteration,3363,7.41,0.0,95.1,2
Elixir of Wrath,2140,7.41,0.0,-35.75,2
Titanic Hydra,3748,7.41,50.0,16.85,2
Warden's Mail,3082,3.7,100.0,6.0,1
Elixir of Sorcery,2139,3.7,100.0,13.99,1
Frozen Heart,3110,3.7,100.0,14.28,1
Doran's Shield,1054,3.7,0.0,78.9,1
Serrated Dirk,3134,3.7,0.0,0,1
Youmuu's Ghostblade,3142,3.7,0.0,0,1
Total Biscuit of Everlasting Will,2010,3.7,100.0,48.47,1
Eye of the Herald,3513,3.7,100.0,61.1,1
Knight's Vow,3109,3.7,0.0,0,1
The Brutalizer,2020,3.7,0.0,-12.15,1
Profane Hydra,6698,3.7,0.0,-7.86,1
Dead Man's Plate,3742,3.7,0.0,20.05,1
Randuin's Omen,3143,3.7,0.0,-33.08,1
