Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,55.24,11.66,105
Doran's Blade,1055,97.14,54.9,8.41,102
Berserker's Greaves,3006,92.38,56.7,17.49,97
Dagger,1042,92.38,56.7,21.8,97
Recurve Bow,1043,90.48,53.68,21.51,95
Pickaxe,1037,89.52,56.38,21.89,94
Stealth Ward,3340,80.95,58.82,16.81,85
Long Sword,1036,79.05,57.83,14.41,83
Guinsoo's Rageblade,3124,74.29,56.41,27.39,78
Boots,1001,69.52,49.32,16.39,73
Vampiric Scepter,1053,66.67,55.71,14.01,70
Blade of The Ruined King,3153,65.71,59.42,16.73,69
Hearthbound Axe,3051,56.19,57.63,26.7,59
Farsight Alteration,3363,48.57,66.67,18.11,51
Amplifying Tome,1052,44.76,51.06,22.73,47
Kraken Slayer,6672,35.24,56.76,27.16,37
Control Ward,2055,29.52,58.06,23.01,31
Rectrix,6690,28.57,43.33,17.3,30
Terminus,3302,27.62,72.41,35.47,29
Gunmetal Greaves,3172,25.71,88.89,6.33,27
Phage,3044,24.76,65.38,22.66,26
Experimental Hexplate,3073,21.9,65.22,25.97,23
Ruby Crystal,1028,20.95,54.55,28.7,22
Refillable Potion,2031,20.0,38.1,9.36,21
Negatron Cloak,1057,18.1,63.16,6.75,19
Tunneler,2021,17.14,61.11,19.67,18
Wit's End,3091,12.38,84.62,17.52,13
Null-Magic Mantle,1033,10.48,45.45,4.55,11
Elixir of Wrath,2140,10.48,81.82,-17.89,11
B. F. Sword,1038,9.52,80.0,3.88,10
Giant's Belt,1011,8.57,44.44,-7.42,9
Boots of Swiftness,3009,7.62,37.5,7.07,8
Oracle Lens,3364,7.62,37.5,15.87,8
Cloak of Agility,1018,7.62,87.5,49.38,8
Trinity Force,3078,6.67,71.43,47.78,7
Scout's Slingshot,3144,6.67,71.43,3.02,7
Yun Tal Wildarrows,3032,6.67,71.43,12.58,7
"Jak'Sho, The Protean",6665,5.71,50.0,-26.13,6
Serrated Dirk,3134,5.71,66.67,49.52,6
The Collector,6676,5.71,66.67,64.0,6
Cull,1083,4.76,20.0,10.28,5
Cloth Armor,1029,4.76,80.0,22.25,5
Sheen,3057,4.76,60.0,50.41,5
Zeal,3086,3.81,75.0,14.88,4
Total Biscuit of Everlasting Will,2010,3.81,75.0,-4.7,4
Phantom Dancer,3046,2.86,100.0,19.23,3
Mercurial Scimitar,3139,2.86,100.0,22.88,3
Glowing Mote,2022,2.86,33.33,-0.74,3
Chain Vest,1031,2.86,66.67,0,3
Infinity Edge,3031,2.86,66.67,-22.67,3
Randuin's Omen,3143,2.86,100.0,0,3
Force of Nature,4401,1.9,100.0,0,2
Lord Dominik's Regards,3036,1.9,100.0,-15.32,2
Executioner's Calling,3123,1.9,100.0,-15.11,2
Doran's Shield,1054,1.9,50.0,13.17,2
Swiftmarch,3170,1.9,100.0,8.5,2
Warden's Mail,3082,1.9,100.0,19.09,2
Eye of the Herald,3513,1.9,100.0,23.24,2
Youmuu's Ghostblade,3142,1.9,50.0,8.21,2
Quicksilver Sash,3140,1.9,100.0,-13.82,2
Your Cut,3400,1.9,50.0,28.39,2
Slightly Magical Footwear,2422,1.9,100.0,2.0,2
Statikk Shiv,3087,0.95,100.0,10.64,1
Winged Moonplate,3066,0.95,100.0,87.43,1
Bloodthirster,3072,0.95,100.0,50.57,1
Noonquiver,6670,0.95,100.0,24.54,1
Last Whisper,3035,0.95,100.0,0,1
Caulfield's Warhammer,3133,0.95,100.0,0,1
Sundered Sky,6610,0.95,100.0,0,1
Chempunk Chainsword,6609,0.95,100.0,-23.04,1
Tiamat,3077,0.95,0.0,71.96,1
Titanic Hydra,3748,0.95,0.0,76.9,1
Spectre's Cowl,3211,0.95,0.0,0,1
Plated Steelcaps,3047,0.95,0.0,30.63,1
Mercury's Treads,3111,0.95,0.0,-14.4,1
