Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,46.51,18.26,43
Amplifying Tome,1052,97.67,45.24,12.3,42
Lost Chapter,3802,93.02,50.0,20.48,40
Boots,1001,90.7,46.15,14.28,39
Sorcerer's Shoes,3020,90.7,46.15,11.25,39
Stealth Ward,3340,86.05,48.65,23.02,37
Control Ward,2055,79.07,44.12,15.99,34
Needlessly Large Rod,1058,76.74,54.55,3.77,33
Hextech Alternator,3145,72.09,48.39,8.29,31
Luden's Companion,6655,67.44,51.72,15.07,29
World Atlas,3865,62.79,33.33,26.7,27
Oracle Lens,3364,62.79,37.04,22.4,27
Runic Compass,3866,60.47,34.62,19.86,26
Bounty of Worlds,3867,60.47,34.62,17.87,26
Fiendish Codex,3108,53.49,43.48,5.73,23
Horizon Focus,4628,48.84,47.62,6.13,21
Sapphire Crystal,1027,46.51,50.0,16.35,20
Glowing Mote,2022,44.19,42.11,16.41,19
Shadowflame,4645,44.19,68.42,15.88,19
Spellslinger's Shoes,3175,39.53,52.94,3.24,17
Doran's Ring,1056,34.88,66.67,5.91,15
Fated Ashes,2508,25.58,54.55,15.62,11
Blasting Wand,1026,23.26,50.0,19.43,10
Seeker's Armguard,2420,20.93,44.44,11.11,9
Zhonya's Hourglass,3157,18.6,50.0,-22.83,8
Rabadon's Deathcap,3089,18.6,62.5,-13.74,8
Blackfire Torch,2503,16.28,57.14,18.72,7
Farsight Alteration,3363,16.28,85.71,21.89,7
Dark Seal,1082,16.28,42.86,13.47,7
Liandry's Torment,6653,16.28,71.43,3.45,7
Shattered Armguard,2421,13.95,33.33,-25.71,6
Haunting Guise,3147,13.95,66.67,20.27,6
Zaz'Zak's Realmspike,3871,11.63,20.0,-13.87,5
Total Biscuit of Everlasting Will,2010,11.63,60.0,17.31,5
Oblivion Orb,3916,11.63,40.0,6.95,5
Ruby Crystal,1028,11.63,40.0,22.63,5
Ionian Boots of Lucidity,3158,9.3,75.0,24.71,4
Refillable Potion,2031,9.3,75.0,14.92,4
Null-Magic Mantle,1033,6.98,33.33,-31.85,3
Verdant Barrier,4632,6.98,33.33,-1.76,3
Elixir of Sorcery,2139,6.98,100.0,3.98,3
Slightly Magical Footwear,2422,6.98,33.33,16.87,3
Cloth Armor,1029,4.65,50.0,12.7,2
Tear of the Goddess,3070,4.65,50.0,17.14,2
Archangel's Staff,3003,4.65,50.0,22.91,2
Kindlegem,3067,4.65,50.0,-14.64,2
Crimson Lucidity,3171,4.65,100.0,41.0,2
Elixir of Avarice,2151,4.65,50.0,0.29,2
Elixir of Force,2152,4.65,50.0,17.83,2
Elixir of Skill,2150,4.65,50.0,18.15,2
Morellonomicon,3165,4.65,100.0,7.21,2
Dagger,1042,2.33,0.0,19.14,1
Banshee's Veil,3102,2.33,100.0,0,1
Your Cut,3400,2.33,100.0,-26.91,1
Malignance,3118,2.33,0.0,25.0,1
Eye of the Herald,3513,2.33,100.0,-2.98,1
Giant's Belt,1011,2.33,100.0,114.03,1
Mejai's Soulstealer,3041,2.33,100.0,6.71,1
