Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Long Sword,1036,97.48,56.03,22.89,116
Gustwalker Hatchling,1102,89.92,57.01,23.74,107
Slightly Magical Footwear,2422,89.92,55.14,25.93,107
Stealth Ward,3340,89.08,58.49,11.65,106
Pickaxe,1037,89.08,54.72,22.41,106
Hearthbound Axe,3051,80.67,54.17,20.7,96
Health Potion,2003,79.83,53.68,14.4,95
Control Ward,2055,79.83,56.84,21.64,95
Doran's Blade,1055,76.47,61.54,23.63,91
Kraken Slayer,6672,75.63,58.89,29.15,90
Oracle Lens,3364,74.79,51.69,15.64,89
Plated Steelcaps,3047,74.79,55.06,24.46,89
Dagger,1042,72.27,58.14,22.01,86
The Collector,6676,71.43,58.82,27.84,85
Ruby Crystal,1028,65.55,57.69,26.95,78
Cloak of Agility,1018,65.55,53.85,22.19,78
Serrated Dirk,3134,63.87,57.89,22.86,76
Recurve Bow,1043,63.87,53.95,21.24,76
Amplifying Tome,1052,59.66,67.61,18.29,71
Cloth Armor,1029,52.94,60.32,25.53,63
Sorcerer's Shoes,3020,52.1,62.9,25.55,62
Doran's Ring,1056,51.26,63.93,27.76,61
Rectrix,6690,49.58,54.24,16.96,59
Refillable Potion,2031,47.9,59.65,30.1,57
Mercury's Treads,3111,46.22,69.09,30.2,55
Berserker's Greaves,3006,44.54,67.92,29.05,53
Noonquiver,6670,44.54,54.72,26.98,53
Ionian Boots of Lucidity,3158,42.02,66.0,29.19,50
Trinity Force,3078,41.18,59.18,25.86,49
Tunneler,2021,40.34,64.58,17.75,48
Immortal Shieldbow,6673,40.34,62.5,33.95,48
Glowing Mote,2022,39.5,65.96,32.36,47
Runic Compass,3866,38.66,67.39,30.35,46
Null-Magic Mantle,1033,37.82,60.0,22.54,45
Eye of the Herald,3513,36.97,79.55,22.54,44
B. F. Sword,1038,36.97,63.64,23.38,44
Needlessly Large Rod,1058,32.77,66.67,22.92,39
Infinity Edge,3031,31.93,68.42,10.66,38
Blade of The Ruined King,3153,31.09,64.86,27.45,37
Armored Advance,3174,31.09,67.57,20.14,37
Sheen,3057,30.25,50.0,24.73,36
Doran's Shield,1054,29.41,57.14,29.99,35
Caulfield's Warhammer,3133,28.57,61.76,24.95,34
Boots of Swiftness,3009,27.73,72.73,28.05,33
Phage,3044,27.73,54.55,18.5,33
Dark Seal,1082,27.73,72.73,25.05,33
Scorchclaw Pup,1101,26.89,56.25,22.16,32
Liandry's Torment,6653,26.89,62.5,24.67,32
Kindlegem,3067,26.05,77.42,30.18,31
Last Whisper,3035,26.05,67.74,38.09,31
Sundered Sky,6610,25.21,56.67,25.15,30
Vampiric Scepter,1053,24.37,62.07,19.71,29
Fiendish Codex,3108,24.37,75.86,29.41,29
Rabadon's Deathcap,3089,24.37,72.41,22.67,29
Lord Dominik's Regards,3036,24.37,58.62,25.36,29
Luden's Companion,6655,24.37,65.52,22.77,29
World Atlas,3865,23.53,71.43,-1.49,28
Eclipse,6692,22.69,51.85,26.95,27
Zaz'Zak's Realmspike,3871,22.69,62.96,10.96,27
Steel Sigil,2019,22.69,66.67,29.29,27
Hextech Alternator,3145,21.01,64.0,23.33,25
Malignance,3118,20.17,62.5,30.66,24
Locket of the Iron Solari,3190,20.17,70.83,21.26,24
Boots,1001,19.33,65.22,26.5,23
Shadowflame,4645,19.33,52.17,14.33,23
Fated Ashes,2508,19.33,69.57,17.29,23
Death's Dance,6333,19.33,73.91,24.06,23
Blackfire Torch,2503,18.49,68.18,26.15,22
Blasting Wand,1026,18.49,77.27,33.94,22
Lost Chapter,3802,18.49,72.73,23.9,22
Mosstomper Seedling,1103,17.65,66.67,28.65,21
Nashor's Tooth,3115,17.65,57.14,20.83,21
Negatron Cloak,1057,16.81,60.0,8.49,20
Tiamat,3077,16.81,75.0,18.97,20
Tear of the Goddess,3070,16.81,75.0,16.56,20
Chainlaced Crushers,3173,16.81,75.0,42.13,20
Bramble Vest,3076,15.97,78.95,30.92,19
Spellslinger's Shoes,3175,15.97,42.11,5.48,19
Hextech Rocketbelt,3152,15.13,61.11,34.02,18
Zhonya's Hourglass,3157,15.13,72.22,9.99,18
Titanic Hydra,3748,14.29,70.59,24.95,17
Black Cleaver,3071,14.29,64.71,24.15,17
Rylai's Crystal Scepter,3116,14.29,76.47,26.2,17
Celestial Opposition,3869,14.29,70.59,29.64,17
Executioner's Calling,3123,14.29,76.47,35.24,17
Forbidden Idol,3114,14.29,76.47,27.25,17
Youmuu's Ghostblade,3142,13.45,50.0,29.35,16
Chain Vest,1031,13.45,87.5,25.69,16
Yun Tal Wildarrows,3032,13.45,62.5,19.45,16
Spear of Shojin,3161,13.45,75.0,27.82,16
Mortal Reminder,3033,13.45,75.0,17.21,16
Dream Maker,3870,12.61,80.0,40.37,15
Thornmail,3075,12.61,80.0,24.68,15
Total Biscuit of Everlasting Will,2010,12.61,73.33,5.81,15
Aether Wisp,3113,12.61,80.0,39.13,15
Zeal,3086,12.61,60.0,28.88,15
Stridebreaker,6631,12.61,66.67,45.03,15
Giant's Belt,1011,11.76,64.29,15.0,14
Solstice Sleigh,3876,11.76,71.43,23.77,14
