Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,43.0,19.51,100
Berserker's Greaves,3006,96.0,43.75,20.72,96
Dagger,1042,89.0,41.57,18.17,89
Pickaxe,1037,89.0,44.94,21.72,89
Vampiric Scepter,1053,86.0,43.02,20.48,86
Blade of The Ruined King,3153,85.0,44.71,22.42,85
Long Sword,1036,82.0,43.9,21.54,82
Recurve Bow,1043,79.0,45.57,18.27,79
Cloak of Agility,1018,76.0,44.74,20.72,76
Boots,1001,70.0,35.71,17.35,70
Noonquiver,6670,70.0,44.29,18.07,70
Immortal Shieldbow,6673,68.0,48.53,22.74,68
Stealth Ward,3340,63.0,44.44,25.68,63
B. F. Sword,1038,62.0,51.61,19.38,62
Doran's Blade,1055,58.0,44.83,5.59,58
Doran's Shield,1054,54.0,40.74,22.99,54
Infinity Edge,3031,49.0,55.1,23.58,49
Control Ward,2055,27.0,37.04,19.84,27
Refillable Potion,2031,27.0,33.33,13.62,27
Gunmetal Greaves,3172,19.0,63.16,21.06,19
Negatron Cloak,1057,18.0,27.78,11.25,18
Steel Sigil,2019,16.0,25.0,16.42,16
Executioner's Calling,3123,15.0,33.33,8.79,15
Farsight Alteration,3363,14.0,35.71,28.23,14
Wit's End,3091,13.0,69.23,12.55,13
Null-Magic Mantle,1033,13.0,30.77,19.99,13
Cloth Armor,1029,12.0,8.33,9.57,12
Scout's Slingshot,3144,11.0,45.45,26.13,11
Yun Tal Wildarrows,3032,11.0,45.45,26.56,11
Oracle Lens,3364,10.0,50.0,35.21,10
Death's Dance,6333,9.0,44.44,31.2,9
Kraken Slayer,6672,8.0,50.0,8.23,8
Last Whisper,3035,8.0,37.5,-10.17,8
Mortal Reminder,3033,8.0,50.0,0.93,8
Elixir of Wrath,2140,7.0,42.86,0,7
Hearthbound Axe,3051,6.0,33.33,14.95,6
Caulfield's Warhammer,3133,6.0,33.33,18.2,6
Giant's Belt,1011,4.0,0.0,-10.04,4
Ruby Crystal,1028,4.0,25.0,15.87,4
Rectrix,6690,3.0,33.33,14.08,3
Mercury's Treads,3111,3.0,0.0,23.82,3
Plated Steelcaps,3047,3.0,66.67,-0.13,3
"Jak'Sho, The Protean",6665,3.0,33.33,-17.43,3
Guardian Angel,3026,2.0,50.0,-32.08,2
Cull,1083,2.0,0.0,-8.72,2
Eye of the Herald,3513,2.0,50.0,30.13,2
Bloodthirster,3072,2.0,50.0,0,2
Chain Vest,1031,2.0,50.0,-44.36,2
Armored Advance,3174,1.0,100.0,0,1
Spectre's Cowl,3211,1.0,100.0,26.19,1
Kindlegem,3067,1.0,100.0,26.22,1
Spirit Visage,3065,1.0,100.0,33.94,1
Warden's Mail,3082,1.0,100.0,0,1
Elixir of Iron,2138,1.0,100.0,0,1
Force of Nature,4401,1.0,0.0,5.3,1
