Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,93.02,47.5,28.36,40
Long Sword,1036,83.72,47.22,23.98,36
Ruby Crystal,1028,76.74,48.48,13.01,33
Doran's Shield,1054,67.44,44.83,18.8,29
Pickaxe,1037,67.44,51.72,13.31,29
Phage,3044,65.12,39.29,23.55,28
Trinity Force,3078,65.12,50.0,26.24,28
Sheen,3057,62.79,44.44,22.69,27
Boots,1001,60.47,42.31,20.07,26
Tunneler,2021,58.14,48.0,9.24,25
Stealth Ward,3340,55.81,50.0,30.83,24
Plated Steelcaps,3047,55.81,45.83,28.25,24
Spear of Shojin,3161,46.51,45.0,7.59,20
Control Ward,2055,39.53,70.59,33.43,17
Caulfield's Warhammer,3133,39.53,47.06,16.16,17
Refillable Potion,2031,30.23,61.54,25.31,13
Cloth Armor,1029,30.23,46.15,30.91,13
Glowing Mote,2022,27.91,58.33,33.51,12
Hearthbound Axe,3051,23.26,40.0,40.96,10
Dagger,1042,20.93,33.33,15.65,9
Null-Magic Mantle,1033,20.93,44.44,10.83,9
Hullbreaker,3181,20.93,55.56,-15.08,9
Doran's Blade,1055,20.93,55.56,-22.3,9
Mercury's Treads,3111,20.93,66.67,5.5,9
Serylda's Grudge,6694,18.6,50.0,2.62,8
Tiamat,3077,16.28,42.86,21.25,7
Boots of Swiftness,3009,16.28,57.14,2.54,7
Eclipse,6692,16.28,71.43,16.14,7
Kindlegem,3067,16.28,57.14,-7.32,7
Black Cleaver,3071,16.28,42.86,-7.75,7
Total Biscuit of Everlasting Will,2010,16.28,71.43,35.06,7
Bramble Vest,3076,16.28,57.14,34.85,7
Last Whisper,3035,13.95,50.0,24.71,6
Armored Advance,3174,13.95,100.0,-8.11,6
Winged Moonplate,3066,13.95,50.0,6.95,6
Slightly Magical Footwear,2422,11.63,40.0,30.29,5
Executioner's Calling,3123,11.63,40.0,19.45,5
Profane Hydra,6698,9.3,75.0,46.29,4
Spectre's Cowl,3211,9.3,25.0,20.24,4
Sterak's Gage,3053,9.3,75.0,17.61,4
Eye of the Herald,3513,9.3,50.0,10.89,4
Farsight Alteration,3363,9.3,75.0,20.42,4
Giant's Belt,1011,9.3,25.0,-1.04,4
The Brutalizer,2020,6.98,100.0,42.48,3
Chain Vest,1031,6.98,0.0,-7.53,3
Swiftmarch,3170,6.98,66.67,15.24,3
Oracle Lens,3364,6.98,33.33,11.18,3
Thornmail,3075,6.98,33.33,-5.4,3
Fated Ashes,2508,6.98,100.0,17.9,3
Amplifying Tome,1052,6.98,100.0,24.01,3
Chempunk Chainsword,6609,6.98,33.33,-34.69,3
Gustwalker Hatchling,1102,4.65,0.0,-35.47,2
Titanic Hydra,3748,4.65,0.0,28.26,2
Hollow Radiance,6664,4.65,50.0,25.79,2
Elixir of Wrath,2140,4.65,50.0,32.31,2
Tear of the Goddess,3070,4.65,100.0,-29.0,2
Liandry's Torment,6653,4.65,50.0,51.79,2
Chainlaced Crushers,3173,4.65,0.0,-34.22,2
Stridebreaker,6631,2.33,0.0,17.07,1
Serrated Dirk,3134,2.33,100.0,-7.28,1
Opportunity,6701,2.33,100.0,-39.97,1
Cloak of Agility,1018,2.33,100.0,0,1
Hexdrinker,3155,2.33,0.0,4.62,1
Maw of Malmortius,3156,2.33,0.0,4.05,1
Iceborn Gauntlet,6662,2.33,0.0,-10.13,1
Rejuvenation Bead,1006,2.33,0.0,52.45,1
Bami's Cinder,6660,2.33,0.0,41.44,1
Cull,1083,2.33,100.0,36.36,1
Blasting Wand,1026,2.33,100.0,38.93,1
Rylai's Crystal Scepter,3116,2.33,100.0,33.19,1
Negatron Cloak,1057,2.33,0.0,35.81,1
Kaenic Rookern,2504,2.33,0.0,68.54,1
Elixir of Iron,2138,2.33,0.0,-22.49,1
Haunting Guise,3147,2.33,0.0,-35.21,1
Winter's Approach,3119,2.33,100.0,0,1
Fiendish Codex,3108,2.33,100.0,4.45,1
Lost Chapter,3802,2.33,100.0,19.77,1
Blackfire Torch,2503,2.33,100.0,41.31,1
Aether Wisp,3113,2.33,100.0,26.3,1
Doran's Ring,1056,2.33,0.0,0,1
Experimental Hexplate,3073,2.33,0.0,0,1
Elixir of Sorcery,2139,2.33,100.0,16.76,1
Vampiric Scepter,1053,2.33,100.0,105.9,1
Your Cut,3400,2.33,0.0,2.81,1
Sundered Sky,6610,2.33,0.0,113.35,1
Spirit Visage,3065,2.33,0.0,-30.94,1
"Jak'Sho, The Protean",6665,2.33,0.0,0,1
