Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,48.57,11.65,70
Doran's Blade,1055,98.57,49.28,28.73,69
Dagger,1042,94.29,46.97,20.39,66
Berserker's Greaves,3006,94.29,50.0,18.41,66
Long Sword,1036,81.43,47.37,21.7,57
Stealth Ward,3340,80.0,48.21,22.51,56
Slightly Magical Footwear,2422,74.29,48.08,21.09,52
Total Biscuit of Everlasting Will,2010,72.86,45.1,14.44,51
Cloak of Agility,1018,71.43,46.0,21.45,50
Zeal,3086,70.0,42.86,14.72,49
B. F. Sword,1038,65.71,47.83,23.49,46
Runaan's Hurricane,3085,65.71,54.35,12.6,46
Farsight Alteration,3363,64.29,51.11,19.0,45
Kraken Slayer,6672,64.29,44.44,27.55,45
Pickaxe,1037,61.43,44.19,23.36,43
Infinity Edge,3031,61.43,53.49,24.46,43
Scout's Slingshot,3144,57.14,45.0,20.49,40
Hearthbound Axe,3051,57.14,40.0,18.09,40
Recurve Bow,1043,57.14,42.5,21.04,40
Rectrix,6690,50.0,40.0,25.15,35
Vampiric Scepter,1053,32.86,47.83,23.28,23
Control Ward,2055,30.0,38.1,22.09,21
Last Whisper,3035,30.0,57.14,33.46,21
Noonquiver,6670,27.14,52.63,37.57,19
Lord Dominik's Regards,3036,27.14,57.89,21.11,19
Boots,1001,22.86,56.25,19.41,16
Gunmetal Greaves,3172,20.0,78.57,7.49,14
Yun Tal Wildarrows,3032,18.57,61.54,18.48,13
Blade of The Ruined King,3153,18.57,61.54,38.5,13
Phantom Dancer,3046,17.14,33.33,26.27,12
Refillable Potion,2031,15.71,27.27,23.47,11
Cull,1083,14.29,40.0,23.68,10
Bloodthirster,3072,12.86,44.44,31.36,9
Mortal Reminder,3033,11.43,50.0,27.33,8
Executioner's Calling,3123,10.0,57.14,4.62,7
Elixir of Wrath,2140,8.57,50.0,9.24,6
Oracle Lens,3364,5.71,25.0,32.05,4
Immortal Shieldbow,6673,5.71,50.0,38.87,4
Plated Steelcaps,3047,2.86,50.0,12.1,2
Steel Sigil,2019,2.86,50.0,0,2
Your Cut,3400,2.86,50.0,13.2,2
Doran's Shield,1054,2.86,0.0,23.28,2
Cloth Armor,1029,1.43,0.0,-6.09,1
Elixir of Iron,2138,1.43,0.0,0,1
Null-Magic Mantle,1033,1.43,0.0,2.61,1
Mercury's Treads,3111,1.43,0.0,-2.14,1
Serrated Dirk,3134,1.43,100.0,11.42,1
The Collector,6676,1.43,100.0,-7.75,1
Navori Flickerblade,6675,1.43,100.0,13.21,1
Wit's End,3091,1.43,0.0,0,1
Tunneler,2021,1.43,100.0,0,1
Phage,3044,1.43,0.0,-6.48,1
Ruby Crystal,1028,1.43,0.0,-6.25,1
Experimental Hexplate,3073,1.43,0.0,-8.58,1
