Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Amplifying Tome,1052,100.0,40.0,14.99,30
Health Potion,2003,96.67,41.38,9.65,29
Lost Chapter,3802,96.67,41.38,17.46,29
Doran's Ring,1056,93.33,42.86,-1.22,28
Sorcerer's Shoes,3020,83.33,48.0,23.78,25
Luden's Companion,6655,80.0,33.33,29.13,24
Stealth Ward,3340,76.67,47.83,23.8,23
Hextech Alternator,3145,70.0,42.86,18.23,21
Needlessly Large Rod,1058,70.0,38.1,2.87,21
Farsight Alteration,3363,56.67,47.06,24.36,17
Boots,1001,53.33,43.75,19.43,16
Fiendish Codex,3108,53.33,50.0,18.42,16
Sapphire Crystal,1027,53.33,43.75,14.29,16
Horizon Focus,4628,46.67,42.86,19.34,14
Glowing Mote,2022,43.33,23.08,18.78,13
Blasting Wand,1026,43.33,23.08,25.3,13
Control Ward,2055,36.67,36.36,23.03,11
Shadowflame,4645,36.67,36.36,-3.6,11
Spellslinger's Shoes,3175,36.67,63.64,15.64,11
Tear of the Goddess,3070,33.33,40.0,18.43,10
Refillable Potion,2031,33.33,50.0,17.63,10
Slightly Magical Footwear,2422,33.33,40.0,12.98,10
Rabadon's Deathcap,3089,30.0,22.22,17.68,9
Total Biscuit of Everlasting Will,2010,30.0,44.44,6.36,9
Archangel's Staff,3003,26.67,50.0,16.13,8
Void Staff,3135,23.33,42.86,11.33,7
Blighting Jewel,4630,20.0,33.33,13.28,6
Haunting Guise,3147,20.0,66.67,17.5,6
Liandry's Torment,6653,20.0,50.0,20.42,6
Ruby Crystal,1028,16.67,60.0,17.56,5
Blackfire Torch,2503,16.67,60.0,7.17,5
Fated Ashes,2508,13.33,50.0,3.79,4
Seeker's Armguard,2420,10.0,66.67,18.13,3
Elixir of Sorcery,2139,10.0,33.33,12.08,3
Rylai's Crystal Scepter,3116,10.0,33.33,0,3
Zhonya's Hourglass,3157,6.67,0.0,-2.64,2
Oblivion Orb,3916,6.67,50.0,-12.86,2
Dark Seal,1082,6.67,50.0,2.24,2
Ionian Boots of Lucidity,3158,6.67,50.0,39.77,2
Crimson Lucidity,3171,6.67,50.0,65.77,2
Giant's Belt,1011,6.67,50.0,10.97,2
Dagger,1042,3.33,100.0,18.64,1
Oracle Lens,3364,3.33,100.0,-5.39,1
Verdant Barrier,4632,3.33,0.0,0,1
Your Cut,3400,3.33,0.0,15.89,1
Cloth Armor,1029,3.33,0.0,17.53,1
Malignance,3118,3.33,100.0,54.17,1
