Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,96.55,46.43,0.76,28
Stealth Ward,3340,96.55,46.43,7.18,28
Amplifying Tome,1052,93.1,44.44,10.55,27
Oracle Lens,3364,93.1,44.44,5.68,27
World Atlas,3865,89.66,46.15,12.12,26
Runic Compass,3866,89.66,46.15,20.52,26
Bounty of Worlds,3867,86.21,44.0,18.36,25
Ionian Boots of Lucidity,3158,82.76,45.83,5.57,24
Glowing Mote,2022,82.76,41.67,11.23,24
Control Ward,2055,79.31,52.17,11.5,23
Boots,1001,75.86,45.45,-0.76,22
Bandleglass Mirror,4642,55.17,25.0,9.48,16
Fiendish Codex,3108,55.17,37.5,19.76,16
Aether Wisp,3113,55.17,31.25,8.16,16
Shurelya's Battlesong,2065,51.72,33.33,21.9,15
Faerie Charm,1004,41.38,25.0,11.21,12
Lost Chapter,3802,41.38,41.67,33.16,12
Tear of the Goddess,3070,37.93,54.55,5.0,11
Kindlegem,3067,34.48,40.0,0.3,10
Archangel's Staff,3003,31.03,55.56,14.91,9
Imperial Mandate,4005,27.59,25.0,-1.96,8
Ruby Crystal,1028,24.14,57.14,4.68,7
Total Biscuit of Everlasting Will,2010,24.14,57.14,3.75,7
Sapphire Crystal,1027,24.14,71.43,23.11,7
Luden's Companion,6655,20.69,50.0,28.67,6
Hextech Alternator,3145,17.24,40.0,36.16,5
Forbidden Idol,3114,17.24,40.0,-0.99,5
Cloth Armor,1029,13.79,50.0,-3.92,4
Redemption,3107,13.79,50.0,2.62,4
Doran's Ring,1056,10.34,33.33,-9.12,3
Cosmic Drive,4629,10.34,0.0,3.16,3
Locket of the Iron Solari,3190,10.34,66.67,6.43,3
Crimson Lucidity,3171,10.34,100.0,34.07,3
Elixir of Avarice,2151,6.9,0.0,21.75,2
Elixir of Force,2152,6.9,0.0,-13.41,2
Elixir of Skill,2150,6.9,0.0,12.24,2
Fated Ashes,2508,6.9,100.0,-21.71,2
Dark Seal,1082,6.9,50.0,9.11,2
Solstice Sleigh,3876,6.9,100.0,6.68,2
Elixir of Sorcery,2139,6.9,0.0,0,2
Sorcerer's Shoes,3020,6.9,0.0,21.52,2
Needlessly Large Rod,1058,6.9,50.0,4.38,2
Null-Magic Mantle,1033,6.9,50.0,13.68,2
Farsight Alteration,3363,3.45,0.0,3.53,1
Blasting Wand,1026,3.45,100.0,26.03,1
Catalyst of Aeons,3803,3.45,100.0,15.33,1
Rod of Ages,6657,3.45,100.0,9.52,1
Refillable Potion,2031,3.45,0.0,60.63,1
Haunting Guise,3147,3.45,100.0,-4.89,1
Boots of Swiftness,3009,3.45,100.0,4.96,1
Liandry's Torment,6653,3.45,100.0,-35.65,1
Swiftmarch,3170,3.45,100.0,12.9,1
Blighting Jewel,4630,3.45,100.0,0,1
Dagger,1042,3.45,100.0,-0.96,1
Symbiotic Soles,3010,3.45,0.0,27.07,1
Mejai's Soulstealer,3041,3.45,0.0,44.35,1
Stormsurge,4646,3.45,100.0,8.79,1
Blackfire Torch,2503,3.45,100.0,-4.26,1
Giant's Belt,1011,3.45,100.0,8.84,1
Rylai's Crystal Scepter,3116,3.45,100.0,8.01,1
Spellslinger's Shoes,3175,3.45,0.0,41.88,1
Slightly Magical Footwear,2422,3.45,100.0,12.27,1
Warden's Mail,3082,3.45,100.0,5.98,1
Glacial Buckler,3024,3.45,100.0,21.31,1
Frozen Heart,3110,3.45,100.0,52.26,1
Negatron Cloak,1057,3.45,100.0,0,1
Ardent Censer,3504,3.45,0.0,-10.85,1
Seeker's Armguard,2420,3.45,100.0,3.47,1
Shattered Armguard,2421,3.45,100.0,0,1
Zhonya's Hourglass,3157,3.45,100.0,0,1
Zaz'Zak's Realmspike,3871,3.45,100.0,24.86,1
