Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,32.43,15.56,37
Amplifying Tome,1052,94.59,31.43,13.4,35
Lost Chapter,3802,94.59,31.43,12.31,35
Luden's Companion,6655,89.19,30.3,11.78,33
Sorcerer's Shoes,3020,89.19,33.33,6.01,33
Doran's Ring,1056,78.38,37.93,-3.83,29
Boots,1001,75.68,32.14,8.97,28
Hextech Alternator,3145,72.97,22.22,6.42,27
Stealth Ward,3340,67.57,40.0,10.21,25
Needlessly Large Rod,1058,67.57,36.0,3.91,25
Glowing Mote,2022,56.76,33.33,17.99,21
Control Ward,2055,48.65,33.33,10.29,18
Aether Wisp,3113,45.95,35.29,24.59,17
Shadowflame,4645,37.84,21.43,-5.0,14
Sapphire Crystal,1027,32.43,16.67,7.69,12
Blasting Wand,1026,32.43,33.33,13.25,12
Lich Bane,3100,32.43,58.33,25.58,12
Spellslinger's Shoes,3175,27.03,40.0,2.51,10
Rabadon's Deathcap,3089,27.03,60.0,-23.68,10
Horizon Focus,4628,24.32,33.33,11.84,9
Fiendish Codex,3108,21.62,25.0,6.63,8
Dark Seal,1082,21.62,25.0,-2.41,8
Farsight Alteration,3363,21.62,25.0,5.96,8
Sheen,3057,21.62,25.0,32.76,8
Oracle Lens,3364,18.92,14.29,7.86,7
World Atlas,3865,18.92,14.29,17.38,7
Runic Compass,3866,18.92,14.29,-2.55,7
Bounty of Worlds,3867,18.92,14.29,-1.46,7
Refillable Potion,2031,18.92,28.57,10.11,7
Zhonya's Hourglass,3157,10.81,0.0,16.73,4
Stormsurge,4646,10.81,0.0,41.0,4
Ionian Boots of Lucidity,3158,10.81,25.0,-4.08,4
Blackfire Torch,2503,8.11,100.0,-0.72,3
Seeker's Armguard,2420,5.41,0.0,61.34,2
Oblivion Orb,3916,5.41,50.0,33.76,2
Cloth Armor,1029,5.41,0.0,22.53,2
Blighting Jewel,4630,5.41,50.0,-36.09,2
Crimson Lucidity,3171,5.41,50.0,-36.95,2
Elixir of Sorcery,2139,5.41,0.0,0,2
Zaz'Zak's Realmspike,3871,2.7,0.0,-11.98,1
Eye of the Herald,3513,2.7,0.0,11.51,1
Fated Ashes,2508,2.7,100.0,-11.01,1
Mejai's Soulstealer,3041,2.7,100.0,45.8,1
