Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Stealth Ward,3340,98.48,46.15,15.59,65
Health Potion,2003,95.45,46.03,12.01,63
Amplifying Tome,1052,95.45,47.62,11.64,63
Boots,1001,90.91,43.33,6.14,60
Fated Ashes,2508,90.91,43.33,6.97,60
Control Ward,2055,89.39,45.76,9.19,59
Oracle Lens,3364,84.85,41.07,16.73,56
Sorcerer's Shoes,3020,84.85,44.64,5.52,56
World Atlas,3865,75.76,42.0,28.09,50
Runic Compass,3866,75.76,42.0,5.55,50
Bounty of Worlds,3867,75.76,42.0,5.32,50
Liandry's Torment,6653,74.24,46.94,3.25,49
Haunting Guise,3147,69.7,41.3,7.18,46
Ruby Crystal,1028,63.64,52.38,10.96,42
Rylai's Crystal Scepter,3116,53.03,51.43,0.7,35
Blasting Wand,1026,51.52,47.06,7.01,34
Giant's Belt,1011,48.48,40.62,4.75,32
Oblivion Orb,3916,36.36,50.0,14.33,24
Blackfire Torch,2503,34.85,43.48,6.85,23
Lost Chapter,3802,33.33,50.0,10.13,22
Spellslinger's Shoes,3175,30.3,70.0,5.74,20
Sapphire Crystal,1027,19.7,30.77,15.55,13
Seeker's Armguard,2420,18.18,66.67,14.37,12
Zhonya's Hourglass,3157,16.67,45.45,6.89,11
Morellonomicon,3165,15.15,50.0,-9.29,10
Needlessly Large Rod,1058,15.15,30.0,0.22,10
Doran's Ring,1056,12.12,87.5,18.32,8
Glowing Mote,2022,12.12,25.0,21.8,8
Shattered Armguard,2421,12.12,50.0,6.89,8
Ionian Boots of Lucidity,3158,9.09,66.67,10.58,6
Kindlegem,3067,9.09,66.67,16.05,6
Refillable Potion,2031,7.58,40.0,26.7,5
Total Biscuit of Everlasting Will,2010,7.58,20.0,14.5,5
Dark Seal,1082,7.58,80.0,31.44,5
Cloth Armor,1029,7.58,80.0,25.44,5
Hextech Alternator,3145,7.58,60.0,-8.96,5
Scorchclaw Pup,1101,7.58,0.0,19.64,5
Elixir of Sorcery,2139,6.06,75.0,24.89,4
Zaz'Zak's Realmspike,3871,6.06,25.0,13.27,4
Blighting Jewel,4630,4.55,66.67,4.4,3
Gustwalker Hatchling,1102,4.55,66.67,12.35,3
Shadowflame,4645,4.55,33.33,-0.11,3
Farsight Alteration,3363,4.55,100.0,1.28,3
Eye of the Herald,3513,4.55,33.33,37.42,3
Void Staff,3135,3.03,100.0,15.6,2
Mejai's Soulstealer,3041,3.03,100.0,36.2,2
Malignance,3118,3.03,50.0,0,2
Crimson Lucidity,3171,3.03,100.0,1.08,2
Rabadon's Deathcap,3089,1.52,100.0,-4.04,1
Bloodletter's Curse,8010,1.52,100.0,0,1
Null-Magic Mantle,1033,1.52,100.0,-12.3,1
Symbiotic Soles,3010,1.52,0.0,-18.41,1
Fiendish Codex,3108,1.52,0.0,1.22,1
Cryptbloom,3137,1.52,0.0,0,1
Elixir of Avarice,2151,1.52,0.0,15.06,1
Elixir of Force,2152,1.52,0.0,2.71,1
Tear of the Goddess,3070,1.52,100.0,-24.81,1
