VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Renekton,Spear of Shojin,None,TOP,4589.3,33.3,29.17,3
Mordekaiser,Spear of Shojin,None,TOP,4892.0,33.3,15.4,3
Yone,Eclipse,None,TOP,4591.0,0.0,-1.66,2
Renekton,Voltaic Cyclosword,Spear of Shojin,TOP,7422.5,50.0,-15.29,2
Sion,Eclipse,None,TOP,3962.0,0.0,-12.41,2
Sion,Sundered Sky,Eclipse,TOP,7140.0,0.0,18.23,2
Mordekaiser,Eclipse,None,TOP,4879.0,50.0,-2.09,2
Yorick,Spear of Shojin,None,TOP,5525.0,100.0,113.33,2
Viego,Voltaic Cyclosword,None,JUNGLE,4337.5,50.0,0.29,2
Viego,Sundered Sky,Voltaic Cyclosword,JUNGLE,7674.5,50.0,12.01,2
Sett,Eclipse,None,TOP,4011.0,100.0,23.72,1
Sett,Spear of Shojin,Eclipse,TOP,7435.0,100.0,60.91,1
Sett,Sundered Sky,Spear of Shojin,TOP,10962.0,100.0,0,1
Sett,Spear of Shojin,None,TOP,5672.0,0.0,9.11,1
Sett,Voltaic Cyclosword,Spear of Shojin,TOP,7983.0,0.0,8.1,1
Sett,Sundered Sky,None,TOP,3048.0,0.0,60.47,1
Sett,Sterak's Gage,Sundered Sky,TOP,7494.0,0.0,-44.07,1
Sett,Spirit Visage,Sterak's Gage,TOP,11711.0,0.0,0,1
Yone,Spear of Shojin,Eclipse,TOP,6801.0,0.0,26.3,1
Yone,Sterak's Gage,Spear of Shojin,TOP,11096.0,0.0,0,1
Yone,Voltaic Cyclosword,Eclipse,TOP,7791.0,0.0,9.11,1
Yone,Spear of Shojin,None,TOP,5359.0,100.0,22.89,1
Renekton,Chainlaced Crushers,Voltaic Cyclosword,TOP,9211.0,100.0,-33.35,1
Renekton,Sundered Sky,Chainlaced Crushers,TOP,11505.0,100.0,95.85,1
Renekton,Death's Dance,Sundered Sky,TOP,15106.0,100.0,0,1
Renekton,Sundered Sky,Spear of Shojin,TOP,7877.0,0.0,-20.14,1
Renekton,Serpent's Fang,Sundered Sky,TOP,10804.0,0.0,0,1
Renekton,Eclipse,None,TOP,4604.0,0.0,34.55,1
Renekton,Sundered Sky,None,TOP,3926.0,100.0,49.02,1
Renekton,Spear of Shojin,Spear of Shojin,TOP,5226.0,0.0,-3.86,1
TahmKench,Eclipse,None,TOP,4777.0,0.0,6.8,1
TahmKench,Sundered Sky,Eclipse,TOP,6840.0,0.0,-38.05,1
Singed,Spear of Shojin,None,TOP,4744.0,0.0,83.0,1
Singed,Voltaic Cyclosword,Spear of Shojin,TOP,8982.0,0.0,-15.16,1
Singed,Spirit Visage,Voltaic Cyclosword,TOP,10595.0,0.0,26.91,1
Camille,Sundered Sky,None,TOP,4205.0,0.0,95.43,1
Camille,Eclipse,Sundered Sky,TOP,7071.0,0.0,-37.85,1
Camille,Crimson Lucidity,Eclipse,TOP,8955.0,0.0,-5.15,1
Camille,Spirit Visage,Crimson Lucidity,TOP,10868.0,0.0,-45.12,1
Olaf,Eclipse,None,TOP,4952.0,100.0,18.11,1
Olaf,Sundered Sky,Eclipse,TOP,7364.0,100.0,36.07,1
Olaf,Sterak's Gage,Sundered Sky,TOP,11304.0,100.0,-9.61,1
Olaf,Death's Dance,Sterak's Gage,TOP,14711.0,100.0,0,1
Shen,Eclipse,None,TOP,5593.0,100.0,-17.29,1
Shen,Sundered Sky,Eclipse,TOP,8403.0,100.0,84.84,1
Shen,Armored Advance,Sundered Sky,TOP,8403.0,100.0,86.41,1
Warwick,Eclipse,None,JUNGLE,4122.0,0.0,155.88,1
Warwick,Sundered Sky,Eclipse,JUNGLE,8358.0,0.0,19.46,1
Warwick,Maw of Malmortius,Sundered Sky,JUNGLE,11418.0,0.0,-23.62,1
Warwick,Death's Dance,Maw of Malmortius,JUNGLE,14322.0,0.0,0,1
Warwick,Voltaic Cyclosword,None,JUNGLE,3862.0,0.0,31.5,1
Warwick,Sundered Sky,Voltaic Cyclosword,JUNGLE,7982.0,0.0,5.78,1
Warwick,Armored Advance,Sundered Sky,JUNGLE,9700.0,0.0,21.48,1
Warwick,Spear of Shojin,Armored Advance,JUNGLE,11912.0,0.0,37.94,1
Warwick,Sterak's Gage,Spear of Shojin,JUNGLE,14254.0,0.0,-11.3,1
Warwick,Spirit Visage,Sterak's Gage,JUNGLE,17867.0,0.0,-53.99,1
Quinn,Hubris,None,TOP,3577.0,0.0,31.29,1
Quinn,Sundered Sky,Hubris,TOP,8136.0,0.0,-19.8,1
Udyr,Eclipse,None,TOP,3917.0,0.0,-25.21,1
Sion,Black Cleaver,Sundered Sky,TOP,10774.0,0.0,17.28,1
Sion,Black Cleaver,Black Cleaver,TOP,11105.0,0.0,-3.71,1
Sion,Chainlaced Crushers,Black Cleaver,TOP,11993.0,0.0,0,1
Sion,Spear of Shojin,None,TOP,4986.0,0.0,-9.39,1
Sion,Voltaic Cyclosword,Spear of Shojin,TOP,8082.0,0.0,-56.84,1
Irelia,Eclipse,None,TOP,3273.0,0.0,1.43,1
Irelia,Sundered Sky,Eclipse,TOP,6922.0,0.0,-29.44,1
Irelia,Spear of Shojin,None,TOP,5778.0,100.0,109.39,1
Irelia,Voltaic Cyclosword,Spear of Shojin,TOP,7806.0,100.0,46.59,1
Irelia,Death's Dance,Voltaic Cyclosword,TOP,11432.0,100.0,49.78,1
Irelia,Serylda's Grudge,Death's Dance,TOP,14706.0,100.0,27.69,1
Teemo,Voltaic Cyclosword,None,TOP,3811.0,0.0,-13.64,1
Teemo,Sundered Sky,Voltaic Cyclosword,TOP,7071.0,0.0,20.6,1
Teemo,Hubris,None,TOP,4537.0,0.0,4.63,1
Teemo,Spear of Shojin,Hubris,TOP,7955.0,0.0,-5.54,1
Teemo,Sundered Sky,Spear of Shojin,TOP,10944.0,0.0,0,1
Cassiopeia,Maw of Malmortius,None,TOP,5427.0,100.0,2.93,1
Cassiopeia,Sundered Sky,Maw of Malmortius,TOP,9181.0,100.0,24.31,1
Cassiopeia,Chainlaced Crushers,Sundered Sky,TOP,9181.0,100.0,24.7,1
Cassiopeia,Knight's Vow,Chainlaced Crushers,TOP,11068.0,100.0,0,1
Darius,Spear of Shojin,None,TOP,4096.0,0.0,20.12,1
Darius,Sundered Sky,Spear of Shojin,TOP,7987.0,0.0,0,1
Lissandra,Spear of Shojin,None,MIDDLE,4679.0,100.0,16.61,1
Lissandra,Voltaic Cyclosword,Spear of Shojin,MIDDLE,8085.0,100.0,-7.82,1
Lissandra,Sundered Sky,Voltaic Cyclosword,MIDDLE,11075.0,100.0,-31.06,1
Lissandra,Serylda's Grudge,Sundered Sky,MIDDLE,14050.0,100.0,31.37,1
Lissandra,Chainlaced Crushers,Serylda's Grudge,MIDDLE,14588.0,100.0,0,1
Jayce,Spear of Shojin,None,TOP,4037.0,100.0,2.26,1
Jayce,Sundered Sky,Spear of Shojin,TOP,7319.0,100.0,51.15,1
Jayce,Chainlaced Crushers,Sundered Sky,TOP,8697.0,100.0,-0.83,1
Jayce,Eclipse,Chainlaced Crushers,TOP,11299.0,100.0,0,1
Jayce,Eclipse,None,TOP,4295.0,0.0,-35.84,1
Jayce,Sundered Sky,Eclipse,TOP,8330.0,0.0,42.0,1
Jayce,Spear of Shojin,Sundered Sky,TOP,11709.0,0.0,-6.21,1
Jayce,Spear of Shojin,Spear of Shojin,TOP,11709.0,0.0,-5.97,1
Jayce,Death's Dance,Spear of Shojin,TOP,14479.0,0.0,11.05,1
Jayce,Sterak's Gage,Death's Dance,TOP,17904.0,0.0,0,1
Poppy,Eclipse,None,TOP,4366.0,0.0,71.39,1
Poppy,Black Cleaver,Eclipse,TOP,7744.0,0.0,-42.4,1
Chogath,Sundered Sky,None,TOP,3895.0,0.0,23.26,1
