VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Vex,Stormsurge,None,MIDDLE,3950.5,75.0,40.94,4
Ahri,Stormsurge,None,MIDDLE,4344.0,33.3,18.21,3
Ahri,Shadowflame,Stormsurge,MIDDLE,7935.0,33.3,11.49,3
Yasuo,Stormsurge,None,MIDDLE,4471.7,33.3,40.91,3
Nasus,Stormsurge,None,TOP,3755.3,0.0,9.85,3
Nasus,Shadowflame,Stormsurge,TOP,7577.7,0.0,10.53,3
Vex,Shadowflame,Stormsurge,MIDDLE,8182.7,100.0,59.7,3
Ahri,Rabadon's Deathcap,Zhonya's Hourglass,MIDDLE,16603.0,100.0,0,2
Ahri,Hextech Rocketbelt,None,MIDDLE,3837.5,50.0,5.55,2
Nasus,Spellslinger's Shoes,Shadowflame,TOP,9383.5,0.0,-16.41,2
Mel,Hextech Rocketbelt,None,MIDDLE,3536.5,0.0,45.77,2
Mel,Stormsurge,None,MIDDLE,3844.5,0.0,12.18,2
Mel,Shadowflame,Stormsurge,MIDDLE,8040.5,0.0,-6.39,2
Malzahar,Hextech Rocketbelt,None,MIDDLE,4176.5,100.0,24.39,2
Malzahar,Zhonya's Hourglass,Chainlaced Crushers,MIDDLE,10837.0,50.0,-59.82,2
Malzahar,Shadowflame,Stormsurge,MIDDLE,9416.5,50.0,17.96,2
Zed,Stormsurge,None,MIDDLE,4142.5,50.0,29.44,2
Xerath,Hextech Rocketbelt,None,MIDDLE,3683.5,0.0,-18.07,2
AurelionSol,Stormsurge,None,MIDDLE,4904.0,100.0,43.32,2
Mordekaiser,Stormsurge,None,TOP,4971.0,50.0,-0.24,2
Katarina,Hextech Rocketbelt,None,MIDDLE,4347.0,50.0,16.64,2
Katarina,Stormsurge,None,MIDDLE,3852.0,50.0,4.74,2
Katarina,Shadowflame,Stormsurge,MIDDLE,7998.0,50.0,-29.39,2
Viktor,Stormsurge,None,MIDDLE,4401.0,50.0,-14.14,2
Darius,Liandry's Torment,None,TOP,4359.0,0.0,-5.94,1
Darius,Shadowflame,Liandry's Torment,TOP,8230.0,0.0,7.58,1
Darius,Rabadon's Deathcap,Shadowflame,TOP,11414.0,0.0,0,1
Darius,Stormsurge,None,TOP,3874.0,100.0,7.39,1
Darius,Shadowflame,Stormsurge,TOP,7798.0,100.0,23.83,1
Darius,Zhonya's Hourglass,Shadowflame,TOP,10978.0,100.0,-25.9,1
Cassiopeia,Stormsurge,None,MIDDLE,4252.0,100.0,23.82,1
Cassiopeia,Shadowflame,Stormsurge,MIDDLE,8388.0,100.0,0,1
Cassiopeia,Hextech Rocketbelt,None,MIDDLE,4078.0,100.0,39.46,1
Cassiopeia,Stormsurge,Hextech Rocketbelt,MIDDLE,7275.0,100.0,18.39,1
Cassiopeia,Spellslinger's Shoes,Stormsurge,MIDDLE,8425.0,100.0,54.16,1
Cassiopeia,Zhonya's Hourglass,Spellslinger's Shoes,MIDDLE,12529.0,100.0,0,1
Lux,Hextech Rocketbelt,None,MIDDLE,3944.0,0.0,-1.01,1
Lux,Stormsurge,None,MIDDLE,6140.0,0.0,10.36,1
Lux,Rylai's Crystal Scepter,Stormsurge,MIDDLE,7694.0,0.0,-37.4,1
Lux,Hextech Rocketbelt,Rylai's Crystal Scepter,MIDDLE,10097.0,0.0,0,1
Lux,Lich Bane,None,MIDDLE,4142.0,0.0,66.26,1
Lux,Shadowflame,Lich Bane,MIDDLE,7533.0,0.0,-27.03,1
Garen,Liandry's Torment,None,MIDDLE,4481.0,0.0,-19.6,1
Garen,Stormsurge,None,MIDDLE,4402.0,100.0,66.5,1
Garen,Shadowflame,Stormsurge,MIDDLE,8086.0,100.0,-38.78,1
Garen,Spellslinger's Shoes,Shadowflame,MIDDLE,8477.0,100.0,-35.87,1
Garen,Zhonya's Hourglass,Spellslinger's Shoes,MIDDLE,11145.0,100.0,0,1
Ahri,Zhonya's Hourglass,Shadowflame,MIDDLE,11131.0,100.0,49.41,1
Ahri,Shadowflame,Shadowflame,MIDDLE,7680.0,0.0,0,1
Ahri,Shadowflame,Hextech Rocketbelt,MIDDLE,8557.0,100.0,42.75,1
Ahri,Spellslinger's Shoes,Shadowflame,MIDDLE,9389.0,100.0,47.54,1
