VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Lux,Statikk Shiv,None,MIDDLE,4384.6,20.0,-19.08,5
Lux,The Collector,Statikk Shiv,MIDDLE,7648.4,20.0,-1.43,5
Lux,Infinity Edge,The Collector,MIDDLE,10843.3,33.3,13.05,3
Taliyah,Statikk Shiv,None,MIDDLE,4045.3,33.3,25.95,3
Yone,Statikk Shiv,None,MIDDLE,3389.7,66.7,9.99,3
Yone,The Collector,Statikk Shiv,MIDDLE,7296.0,66.7,12.76,3
Annie,Statikk Shiv,None,MIDDLE,3867.0,33.3,27.1,3
Annie,The Collector,Statikk Shiv,MIDDLE,8147.3,33.3,27.8,3
Qiyana,The Collector,Statikk Shiv,MIDDLE,7642.5,50.0,22.41,2
Hwei,Statikk Shiv,None,MIDDLE,3445.5,50.0,8.89,2
Hwei,The Collector,Statikk Shiv,MIDDLE,6347.5,50.0,120.75,2
Hwei,Infinity Edge,The Collector,MIDDLE,10755.0,50.0,-6.98,2
Hwei,Lord Dominik's Regards,Infinity Edge,MIDDLE,14423.5,50.0,0,2
Akali,Statikk Shiv,None,MIDDLE,4251.5,50.0,-12.0,2
Akali,The Collector,Statikk Shiv,MIDDLE,7574.0,50.0,11.07,2
Akali,Lord Dominik's Regards,The Collector,MIDDLE,10492.0,50.0,63.8,2
Ekko,Statikk Shiv,None,MIDDLE,3798.0,0.0,10.35,2
Ekko,The Collector,Statikk Shiv,MIDDLE,7226.0,0.0,29.34,2
Taliyah,The Collector,Statikk Shiv,MIDDLE,6956.5,50.0,18.02,2
Vex,Statikk Shiv,None,MIDDLE,3701.0,0.0,10.08,2
Lux,Rapid Firecannon,Infinity Edge,MIDDLE,13491.0,0.0,5.31,1
Lux,Chainlaced Crushers,Infinity Edge,MIDDLE,13260.0,100.0,0,1
Qiyana,The Collector,None,MIDDLE,3584.0,0.0,-9.71,1
Qiyana,Statikk Shiv,The Collector,MIDDLE,7098.0,0.0,-44.98,1
Qiyana,Statikk Shiv,Statikk Shiv,MIDDLE,7514.0,0.0,0,1
Qiyana,Nashor's Tooth,The Collector,MIDDLE,7514.0,0.0,0,1
Qiyana,Statikk Shiv,None,MIDDLE,3612.0,100.0,94.71,1
Qiyana,Lord Dominik's Regards,The Collector,MIDDLE,10627.0,100.0,8.24,1
Qiyana,Infinity Edge,Lord Dominik's Regards,MIDDLE,13675.0,100.0,0,1
Zilean,The Collector,None,MIDDLE,4767.0,100.0,-9.35,1
Zilean,Blade of The Ruined King,The Collector,MIDDLE,8153.0,100.0,1.92,1
Zilean,Chainlaced Crushers,Blade of The Ruined King,MIDDLE,9085.0,100.0,0.13,1
TwistedFate,Statikk Shiv,None,MIDDLE,3562.0,100.0,53.83,1
TwistedFate,The Collector,Statikk Shiv,MIDDLE,6823.0,100.0,1.77,1
TwistedFate,Lord Dominik's Regards,The Collector,MIDDLE,12317.0,100.0,-14.31,1
Gangplank,Statikk Shiv,None,TOP,4087.0,0.0,48.18,1
Gangplank,Lord Dominik's Regards,Statikk Shiv,TOP,7114.0,0.0,45.64,1
Gangplank,Infinity Edge,Lord Dominik's Regards,TOP,11994.0,0.0,-30.86,1
Ryze,Statikk Shiv,None,MIDDLE,4168.0,0.0,59.68,1
Ryze,The Collector,Statikk Shiv,MIDDLE,6427.0,0.0,29.06,1
Ryze,Infinity Edge,The Collector,MIDDLE,11182.0,0.0,0,1
Akali,Infinity Edge,Lord Dominik's Regards,MIDDLE,13653.0,100.0,0,1
Shen,The Collector,None,TOP,4610.0,100.0,19.35,1
Shen,Infinity Edge,The Collector,TOP,8606.0,100.0,-45.59,1
Shen,Lord Dominik's Regards,Infinity Edge,TOP,11541.0,100.0,0,1
Kayle,Statikk Shiv,None,MIDDLE,3585.0,100.0,52.36,1
Kayle,The Collector,Statikk Shiv,MIDDLE,6787.0,100.0,-13.34,1
Kayle,Infinity Edge,The Collector,MIDDLE,11047.0,100.0,63.67,1
Kayle,Rapid Firecannon,Infinity Edge,MIDDLE,13021.0,100.0,155.24,1
Kayle,Lord Dominik's Regards,Rapid Firecannon,MIDDLE,17135.0,100.0,0,1
Kayle,Rapid Firecannon,Lord Dominik's Regards,MIDDLE,18064.0,100.0,0,1
Ekko,Infinity Edge,The Collector,MIDDLE,10610.0,0.0,23.68,1
Ekko,Rapid Firecannon,Infinity Edge,MIDDLE,12901.0,0.0,-32.55,1
Taliyah,Mortal Reminder,The Collector,MIDDLE,10678.0,100.0,38.74,1
Taliyah,Infinity Edge,Mortal Reminder,MIDDLE,14093.0,100.0,9.0,1
Taliyah,Forever Forward,Infinity Edge,MIDDLE,15606.0,100.0,0,1
Taliyah,Infinity Edge,The Collector,MIDDLE,11013.0,0.0,0,1
Syndra,Statikk Shiv,None,MIDDLE,4169.0,0.0,-7.45,1
Syndra,The Collector,Statikk Shiv,MIDDLE,6934.0,0.0,-11.52,1
Syndra,Forever Forward,The Collector,MIDDLE,8314.0,0.0,0,1
Syndra,The Collector,None,MIDDLE,3726.0,0.0,-23.75,1
Syndra,Infinity Edge,The Collector,MIDDLE,8540.0,0.0,55.92,1
Syndra,Mortal Reminder,Infinity Edge,MIDDLE,11265.0,0.0,-20.35,1
Syndra,Lord Dominik's Regards,Mortal Reminder,MIDDLE,11265.0,0.0,-20.01,1
Syndra,Immortal Shieldbow,Lord Dominik's Regards,MIDDLE,13778.0,0.0,-20.58,1
Syndra,Guardian Angel,Immortal Shieldbow,MIDDLE,17528.0,0.0,66.28,1
Syndra,Bloodthirster,Guardian Angel,MIDDLE,21448.0,0.0,17.56,1
Syndra,Guardian Angel,Bloodthirster,MIDDLE,26439.0,0.0,0,1
Syndra,Rapid Firecannon,Guardian Angel,MIDDLE,26439.0,0.0,0,1
Galio,Statikk Shiv,None,MIDDLE,4011.0,0.0,-13.23,1
Galio,The Collector,Statikk Shiv,MIDDLE,7265.0,0.0,44.84,1
Galio,Infinity Edge,The Collector,MIDDLE,10614.0,0.0,0,1
Ornn,Statikk Shiv,None,TOP,3593.0,100.0,23.27,1
Ornn,The Collector,Statikk Shiv,TOP,7257.0,100.0,31.16,1
Ornn,Swiftmarch,The Collector,TOP,9151.0,100.0,-17.27,1
Ornn,Lord Dominik's Regards,Swiftmarch,TOP,11258.0,100.0,66.51,1
Ornn,Kraken Slayer,Lord Dominik's Regards,TOP,13906.0,100.0,0,1
Vladimir,Statikk Shiv,None,TOP,3431.0,0.0,45.72,1
Vladimir,The Collector,Statikk Shiv,TOP,6962.0,0.0,-15.48,1
Fizz,Statikk Shiv,None,MIDDLE,3521.0,0.0,-28.58,1
Fizz,The Collector,Statikk Shiv,MIDDLE,7094.0,0.0,1.48,1
Fizz,Chainlaced Crushers,The Collector,MIDDLE,8601.0,0.0,-1.5,1
Fizz,Immortal Shieldbow,Chainlaced Crushers,MIDDLE,11144.0,0.0,-2.85,1
Fizz,Infinity Edge,Immortal Shieldbow,MIDDLE,13963.0,0.0,0,1
Zed,Kraken Slayer,None,MIDDLE,3474.0,100.0,5.8,1
Zed,Guinsoo's Rageblade,Kraken Slayer,MIDDLE,6606.0,100.0,22.87,1
Zed,Terminus,Guinsoo's Rageblade,MIDDLE,10295.0,100.0,1.07,1
Malzahar,Statikk Shiv,None,MIDDLE,3912.0,0.0,34.09,1
Katarina,Statikk Shiv,None,MIDDLE,4579.0,0.0,0,1
Sona,The Collector,None,UTILITY,3690.0,0.0,0,1
Kassadin,Statikk Shiv,None,MIDDLE,3360.0,100.0,7.43,1
Kassadin,The Collector,Statikk Shiv,MIDDLE,6386.0,100.0,45.09,1
Kassadin,Infinity Edge,The Collector,MIDDLE,11923.0,100.0,63.87,1
Kassadin,Lord Dominik's Regards,Infinity Edge,MIDDLE,13921.0,100.0,0,1
Yone,Swiftmarch,The Collector,MIDDLE,10116.0,100.0,-1.22,1
Yone,Infinity Edge,Swiftmarch,MIDDLE,10998.0,100.0,0,1
Yone,Infinity Edge,The Collector,MIDDLE,10143.0,100.0,25.85,1
Yone,Mortal Reminder,Infinity Edge,MIDDLE,13486.0,100.0,104.2,1
Yone,Rapid Firecannon,Mortal Reminder,MIDDLE,16998.0,100.0,-33.84,1
Yone,Rapid Firecannon,Rapid Firecannon,MIDDLE,17965.0,100.0,13.81,1
Yone,Immortal Shieldbow,Rapid Firecannon,MIDDLE,17965.0,100.0,13.89,1
Yone,Immortal Shieldbow,Immortal Shieldbow,MIDDLE,18715.0,100.0,0,1
Yone,Guardian Angel,Immortal Shieldbow,MIDDLE,18715.0,100.0,0,1
Quinn,Statikk Shiv,None,MIDDLE,4015.0,0.0,-19.91,1
Quinn,The Collector,Statikk Shiv,MIDDLE,7065.0,0.0,4.84,1
Quinn,Infinity Edge,The Collector,MIDDLE,10525.0,0.0,0,1
Ahri,Statikk Shiv,None,MIDDLE,3438.0,0.0,53.22,1
Ahri,The Collector,Statikk Shiv,MIDDLE,6840.0,0.0,-18.81,1
Ahri,Lord Dominik's Regards,The Collector,MIDDLE,10298.0,0.0,-26.07,1
Annie,Lord Dominik's Regards,The Collector,MIDDLE,10461.0,0.0,-15.44,1
Annie,Mortal Reminder,The Collector,MIDDLE,13899.0,100.0,0,1
Annie,Swiftmarch,Mortal Reminder,MIDDLE,13899.0,100.0,0,1
Annie,Kraken Slayer,Swiftmarch,MIDDLE,13899.0,100.0,0,1
Malphite,Statikk Shiv,None,MIDDLE,4563.0,0.0,3.35,1
Malphite,The Collector,Statikk Shiv,MIDDLE,7802.0,0.0,40.97,1
Malphite,Forever Forward,The Collector,MIDDLE,9314.0,0.0,67.16,1
Malphite,Lord Dominik's Regards,Forever Forward,MIDDLE,10772.0,0.0,47.43,1
Malphite,Infinity Edge,Lord Dominik's Regards,MIDDLE,14034.0,0.0,0,1
Volibear,Kraken Slayer,None,JUNGLE,3686.0,100.0,57.39,1
Volibear,The Collector,Kraken Slayer,JUNGLE,8833.0,100.0,14.35,1
Volibear,Gunmetal Greaves,The Collector,JUNGLE,10295.0,100.0,27.97,1
Volibear,Infinity Edge,Gunmetal Greaves,JUNGLE,11421.0,100.0,21.72,1
Volibear,Rapid Firecannon,Infinity Edge,JUNGLE,14199.0,100.0,6.09,1
Volibear,Lord Dominik's Regards,Rapid Firecannon,JUNGLE,17187.0,100.0,-10.48,1
Vex,The Collector,Statikk Shiv,MIDDLE,7380.0,0.0,15.78,1
Vex,Infinity Edge,The Collector,MIDDLE,10708.0,0.0,-8.06,1
Vex,Wit's End,Infinity Edge,MIDDLE,13524.0,0.0,0,1
Jhin,Statikk Shiv,None,MIDDLE,4260.0,0.0,0,1
Smolder,Statikk Shiv,None,MIDDLE,3542.0,100.0,25.97,1
Smolder,The Collector,Statikk Shiv,MIDDLE,7477.0,100.0,39.92,1
Smolder,Infinity Edge,The Collector,MIDDLE,11430.0,100.0,0,1
Smolder,Lord Dominik's Regards,Infinity Edge,MIDDLE,13342.0,100.0,0,1
