VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Seraphine,Locket of the Iron Solari,None,UTILITY,3786.0,100.0,18.14,3
Taric,Locket of the Iron Solari,None,UTILITY,4336.0,50.0,33.92,2
Renata,Locket of the Iron Solari,None,UTILITY,3979.5,50.0,-16.05,2
Neeko,Locket of the Iron Solari,None,UTILITY,4129.5,0.0,-14.14,2
Seraphine,Knight's Vow,Locket of the Iron Solari,UTILITY,5656.0,100.0,-5.66,1
Seraphine,Trailblazer,Knight's Vow,UTILITY,9109.0,100.0,-1.38,1
Seraphine,Swiftmarch,Locket of the Iron Solari,UTILITY,6404.0,100.0,-18.54,1
Seraphine,Frozen Heart,Swiftmarch,UTILITY,7179.0,100.0,0,1
Seraphine,Chainlaced Crushers,Locket of the Iron Solari,UTILITY,5225.0,100.0,-22.09,1
Seraphine,Zeke's Convergence,Chainlaced Crushers,UTILITY,7122.0,100.0,0,1
Seraphine,Redemption,None,UTILITY,3472.0,0.0,32.31,1
Seraphine,Locket of the Iron Solari,Redemption,UTILITY,5779.0,0.0,0,1
Senna,Locket of the Iron Solari,None,UTILITY,4531.0,0.0,0,1
Senna,Stormsurge,None,UTILITY,4925.0,0.0,-10.78,1
Senna,Redemption,None,UTILITY,4318.0,0.0,-5.81,1
Senna,Locket of the Iron Solari,Redemption,UTILITY,8624.0,0.0,0,1
Senna,Zeke's Convergence,Locket of the Iron Solari,UTILITY,9298.0,0.0,0,1
Ahri,Locket of the Iron Solari,None,UTILITY,4602.0,100.0,-1.89,1
Ahri,Thornmail,Locket of the Iron Solari,UTILITY,6908.0,100.0,0,1
Karma,Locket of the Iron Solari,None,UTILITY,3873.0,0.0,-17.69,1
Thresh,Heartsteel,None,UTILITY,4212.0,0.0,-0.93,1
Thresh,Thornmail,Heartsteel,UTILITY,7983.0,0.0,49.18,1
Thresh,Sunfire Aegis,Thornmail,UTILITY,10800.0,0.0,-36.03,1
Thresh,Knight's Vow,Sunfire Aegis,UTILITY,12487.0,0.0,0,1
Thresh,Zeke's Convergence,None,UTILITY,3577.0,0.0,28.41,1
Thresh,Redemption,None,UTILITY,4864.0,0.0,-17.39,1
Thresh,Swiftmarch,Redemption,UTILITY,4864.0,0.0,-16.91,1
Thresh,Zeke's Convergence,Swiftmarch,UTILITY,7352.0,0.0,-4.42,1
Thresh,Locket of the Iron Solari,Zeke's Convergence,UTILITY,9977.0,0.0,-3.27,1
Thresh,Knight's Vow,Locket of the Iron Solari,UTILITY,12681.0,0.0,0,1
Thresh,Locket of the Iron Solari,None,UTILITY,3599.0,0.0,-15.72,1
Taric,Zeke's Convergence,Locket of the Iron Solari,UTILITY,7114.0,100.0,0,1
Taric,Forever Forward,Zeke's Convergence,UTILITY,7114.0,100.0,0,1
Nami,Locket of the Iron Solari,None,UTILITY,4264.0,100.0,0,1
Nami,Redemption,None,UTILITY,3222.0,0.0,-27.58,1
Nami,Locket of the Iron Solari,Redemption,UTILITY,5929.0,0.0,0,1
Nami,Zeke's Convergence,None,UTILITY,4305.0,0.0,-43.04,1
Velkoz,Locket of the Iron Solari,None,UTILITY,3901.0,100.0,-28.5,1
Velkoz,Zeke's Convergence,Locket of the Iron Solari,UTILITY,6630.0,100.0,-6.91,1
Poppy,Heartsteel,None,UTILITY,4582.0,0.0,-23.98,1
Milio,Locket of the Iron Solari,None,UTILITY,4297.0,0.0,-19.23,1
Milio,Redemption,None,UTILITY,5026.0,100.0,-23.26,1
Milio,Locket of the Iron Solari,Redemption,UTILITY,6225.0,100.0,56.51,1
Milio,Zeke's Convergence,Locket of the Iron Solari,UTILITY,8959.0,100.0,0,1
Nautilus,Locket of the Iron Solari,None,UTILITY,3374.0,0.0,50.08,1
Nautilus,Thornmail,Locket of the Iron Solari,UTILITY,6576.0,0.0,15.27,1
Zyra,Heartsteel,None,UTILITY,3636.0,100.0,-23.97,1
Zyra,Locket of the Iron Solari,Heartsteel,UTILITY,7738.0,100.0,35.57,1
Zyra,Thornmail,Locket of the Iron Solari,UTILITY,10047.0,100.0,-7.95,1
Zyra,Unending Despair,Thornmail,UTILITY,12772.0,100.0,0,1
Zyra,Locket of the Iron Solari,None,UTILITY,3367.0,100.0,21.68,1
Zyra,Swiftmarch,Locket of the Iron Solari,UTILITY,5300.0,100.0,91.14,1
Zyra,Redemption,Swiftmarch,UTILITY,7309.0,100.0,0,1
Renata,Swiftmarch,Locket of the Iron Solari,UTILITY,4494.0,100.0,-15.81,1
Renata,Redemption,Swiftmarch,UTILITY,6756.0,100.0,0,1
Renata,Redemption,Locket of the Iron Solari,UTILITY,6896.0,0.0,0,1
Darius,Sunfire Aegis,None,TOP,4854.0,0.0,-11.21,1
Darius,Winter's Approach,Sunfire Aegis,TOP,7413.0,0.0,0,1
Darius,Winter's Approach,Winter's Approach,TOP,7413.0,0.0,0,1
Neeko,Zeke's Convergence,Locket of the Iron Solari,UTILITY,6546.0,0.0,-4.34,1
Neeko,Thornmail,Zeke's Convergence,UTILITY,8641.0,0.0,-44.08,1
Neeko,Redemption,None,UTILITY,4001.0,0.0,24.01,1
Janna,Locket of the Iron Solari,None,UTILITY,4959.0,100.0,0,1
Janna,Chainlaced Crushers,Locket of the Iron Solari,UTILITY,5769.0,100.0,0,1
Nidalee,Heartsteel,None,UTILITY,5628.0,100.0,34.93,1
Nidalee,Armored Advance,Heartsteel,UTILITY,5628.0,100.0,35.63,1
Nidalee,Knight's Vow,Armored Advance,UTILITY,7678.0,100.0,18.93,1
Morgana,Locket of the Iron Solari,None,UTILITY,3515.0,0.0,-17.71,1
Morgana,Locket of the Iron Solari,Locket of the Iron Solari,UTILITY,4251.0,0.0,-35.15,1
Morgana,Redemption,None,UTILITY,4889.0,0.0,0,1
Bard,Unending Despair,None,UTILITY,6153.0,100.0,55.11,1
Bard,Sunfire Aegis,Unending Despair,UTILITY,7223.0,100.0,20.77,1
