VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Warwick,Eclipse,None,TOP,4129.0,33.3,13.06,3
Warwick,Spear of Shojin,Eclipse,TOP,8112.0,33.3,-2.59,3
Pantheon,Eclipse,None,TOP,3727.0,100.0,26.66,3
Pantheon,Spear of Shojin,Eclipse,TOP,7453.0,100.0,50.46,3
Sett,Eclipse,None,TOP,4195.5,50.0,5.7,2
Singed,Spear of Shojin,Eclipse,TOP,9438.5,50.0,8.88,2
Warwick,Voltaic Cyclosword,None,TOP,4411.5,0.0,5.99,2
Camille,Eclipse,None,TOP,3450.0,50.0,22.61,2
Pantheon,Death's Dance,Spear of Shojin,TOP,10720.0,100.0,-11.56,2
Renekton,Death's Dance,Spear of Shojin,TOP,10003.5,100.0,-51.2,2
Yasuo,Eclipse,None,TOP,4223.5,50.0,25.33,2
Yasuo,Spear of Shojin,Eclipse,TOP,7909.0,50.0,-2.45,2
Shen,Eclipse,None,TOP,3589.0,0.0,35.56,2
Garen,Eclipse,None,TOP,4032.5,50.0,30.84,2
Riven,Eclipse,None,TOP,3555.0,50.0,61.08,2
Mordekaiser,Eclipse,None,TOP,4692.5,0.0,30.37,2
Mordekaiser,Spear of Shojin,Eclipse,TOP,7901.5,0.0,0,2
DrMundo,Eclipse,None,TOP,4969.0,100.0,-18.07,2
DrMundo,Spear of Shojin,Eclipse,TOP,8100.5,100.0,18.22,2
Malphite,Eclipse,None,TOP,4040.5,0.0,10.72,2
Fiora,Eclipse,None,TOP,3863.5,100.0,-13.83,2
Jayce,Eclipse,None,TOP,4238.0,0.0,20.56,1
Jayce,Voltaic Cyclosword,Eclipse,TOP,8193.0,0.0,-25.56,1
Jayce,Crimson Lucidity,Voltaic Cyclosword,TOP,8582.0,0.0,-10.89,1
Jayce,Death's Dance,Crimson Lucidity,TOP,11527.0,0.0,15.24,1
Sett,Spear of Shojin,Eclipse,TOP,8022.0,0.0,0,1
Sett,Voltaic Cyclosword,Eclipse,TOP,7269.0,100.0,19.39,1
Sett,Edge of Night,Voltaic Cyclosword,TOP,11133.0,100.0,0,1
Singed,Ravenous Hydra,None,TOP,4602.0,0.0,20.15,1
Singed,Eclipse,Ravenous Hydra,TOP,8157.0,0.0,-22.83,1
Singed,Eclipse,None,TOP,3852.0,100.0,1.5,1
Singed,Death's Dance,Spear of Shojin,TOP,10502.0,100.0,113.07,1
Warwick,Edge of Night,Voltaic Cyclosword,TOP,8693.0,0.0,-0.57,1
Warwick,Youmuu's Ghostblade,Edge of Night,TOP,10719.0,0.0,58.23,1
Warwick,Mortal Reminder,Youmuu's Ghostblade,TOP,13930.0,0.0,3.6,1
Warwick,Serpent's Fang,Voltaic Cyclosword,TOP,7142.0,0.0,49.26,1
Warwick,Axiom Arc,Serpent's Fang,TOP,10411.0,0.0,0,1
Warwick,Death's Dance,Spear of Shojin,TOP,12667.0,100.0,0,1
Warwick,Maw of Malmortius,Spear of Shojin,TOP,11449.0,0.0,0,1
Camille,Ravenous Hydra,Eclipse,TOP,7733.0,100.0,-30.18,1
Camille,Armored Advance,Ravenous Hydra,TOP,8165.0,100.0,-31.51,1
Camille,Maw of Malmortius,Armored Advance,TOP,11313.0,100.0,0,1
Pantheon,Swiftmarch,Death's Dance,TOP,11196.0,100.0,0,1
Pantheon,Bloodthirster,Death's Dance,TOP,14768.0,100.0,-10.51,1
Pantheon,Black Cleaver,Bloodthirster,TOP,17022.0,100.0,0,1
Pantheon,Spear of Shojin,None,TOP,4010.0,0.0,72.12,1
Pantheon,Eclipse,Spear of Shojin,TOP,8157.0,0.0,0,1
Pantheon,Armored Advance,Spear of Shojin,TOP,9293.0,100.0,0,1
Renekton,Spear of Shojin,None,TOP,6429.0,100.0,-2.53,1
Renekton,Voltaic Cyclosword,None,TOP,4924.0,100.0,-37.38,1
Renekton,Spear of Shojin,Voltaic Cyclosword,TOP,7785.0,100.0,80.5,1
Ahri,Eclipse,None,MIDDLE,4086.0,0.0,1.26,1
Ahri,Spear of Shojin,Eclipse,MIDDLE,6606.0,0.0,36.79,1
Teemo,Eclipse,None,TOP,6189.0,0.0,-3.28,1
Teemo,Black Cleaver,Eclipse,TOP,9068.0,0.0,0,1
Teemo,Voltaic Cyclosword,None,TOP,4995.0,0.0,7.18,1
Yasuo,Randuin's Omen,Spear of Shojin,TOP,11197.0,100.0,0,1
Shen,Spear of Shojin,Eclipse,TOP,7694.0,0.0,63.44,1
Shen,Black Cleaver,Eclipse,TOP,8292.0,0.0,-11.76,1
Shen,Spear of Shojin,Black Cleaver,TOP,10798.0,0.0,21.88,1
Shen,Sterak's Gage,Spear of Shojin,TOP,14027.0,0.0,0.14,1
Garen,Black Cleaver,Eclipse,TOP,7423.0,100.0,4.5,1
Garen,Armored Advance,Black Cleaver,TOP,9687.0,100.0,44.12,1
Garen,Spear of Shojin,Eclipse,TOP,6949.0,0.0,67.09,1
Garen,Death's Dance,Spear of Shojin,TOP,11179.0,0.0,0,1
Akali,Voltaic Cyclosword,None,TOP,5122.0,0.0,50.08,1
Akali,Eclipse,Voltaic Cyclosword,TOP,8609.0,0.0,32.93,1
Akali,Profane Hydra,Eclipse,TOP,11804.0,0.0,43.97,1
Akali,Maw of Malmortius,Profane Hydra,TOP,13942.0,0.0,-4.6,1
Kassadin,Voltaic Cyclosword,None,MIDDLE,4333.0,100.0,11.8,1
Kassadin,Opportunity,Voltaic Cyclosword,MIDDLE,7305.0,100.0,-8.76,1
Kassadin,Spear of Shojin,Opportunity,MIDDLE,10926.0,100.0,0,1
Vex,Eclipse,None,MIDDLE,4896.0,0.0,-43.71,1
Riven,Spear of Shojin,Eclipse,TOP,8304.0,100.0,20.47,1
Riven,Serpent's Fang,Spear of Shojin,TOP,11445.0,100.0,46.77,1
Hecarim,Voltaic Cyclosword,None,JUNGLE,4171.0,0.0,54.11,1
Hecarim,Death's Dance,Voltaic Cyclosword,JUNGLE,8265.0,0.0,-8.21,1
DrMundo,Spear of Shojin,Spear of Shojin,TOP,8431.0,100.0,0,1
DrMundo,Crimson Lucidity,Spear of Shojin,TOP,8788.0,100.0,0,1
XinZhao,Eclipse,None,TOP,4264.0,100.0,55.24,1
XinZhao,Voltaic Cyclosword,Eclipse,TOP,8169.0,100.0,45.97,1
XinZhao,Death's Dance,Voltaic Cyclosword,TOP,11980.0,100.0,-3.59,1
Quinn,Eclipse,None,TOP,3961.0,0.0,-16.72,1
Quinn,Spear of Shojin,Eclipse,TOP,7975.0,0.0,-23.43,1
Quinn,Armored Advance,Spear of Shojin,TOP,9371.0,0.0,0,1
Gwen,Maw of Malmortius,None,TOP,3715.0,100.0,20.0,1
Gwen,Sundered Sky,Maw of Malmortius,TOP,7159.0,100.0,50.2,1
Gwen,Death's Dance,Sundered Sky,TOP,10756.0,100.0,50.65,1
Gwen,Black Cleaver,Death's Dance,TOP,14783.0,100.0,18.41,1
Gwen,Eclipse,None,JUNGLE,3795.0,0.0,-0.79,1
Gwen,Spear of Shojin,Eclipse,JUNGLE,7916.0,0.0,0,1
Olaf,Eclipse,None,TOP,4538.0,0.0,1.53,1
Olaf,Spear of Shojin,Eclipse,TOP,7617.0,0.0,0,1
Malphite,Black Cleaver,Eclipse,TOP,7889.0,0.0,0,1
Malphite,Spear of Shojin,Eclipse,TOP,8414.0,0.0,-7.27,1
Malphite,Maw of Malmortius,Spear of Shojin,TOP,10759.0,0.0,0,1
Gnar,Eclipse,None,TOP,4905.0,100.0,52.67,1
Gnar,Voltaic Cyclosword,Eclipse,TOP,7683.0,100.0,0,1
Fiora,Spear of Shojin,Eclipse,TOP,8165.0,100.0,18.82,1
Fiora,Death's Dance,Spear of Shojin,TOP,11107.0,100.0,0,1
Fiora,Black Cleaver,Eclipse,TOP,7810.0,100.0,28.44,1
Fiora,Death's Dance,Black Cleaver,TOP,12219.0,100.0,-34.52,1
Vayne,Eclipse,None,TOP,3816.0,0.0,50.54,1
Vayne,Spear of Shojin,Eclipse,TOP,9392.0,0.0,-46.61,1
Vayne,Armored Advance,Spear of Shojin,TOP,9392.0,0.0,-45.75,1
Vayne,Death's Dance,Armored Advance,TOP,11191.0,0.0,0,1
Irelia,Eclipse,None,TOP,3766.0,100.0,46.02,1
Irelia,Spear of Shojin,Eclipse,TOP,7664.0,100.0,62.0,1
Irelia,Armored Advance,Spear of Shojin,TOP,9878.0,100.0,0,1
Vi,Profane Hydra,None,JUNGLE,3766.0,0.0,58.72,1
Vi,Sundered Sky,Profane Hydra,JUNGLE,6696.0,0.0,31.58,1
Vi,Armored Advance,Sundered Sky,JUNGLE,9251.0,0.0,-28.27,1
Vi,Death's Dance,Armored Advance,JUNGLE,11358.0,0.0,0,1
LeeSin,Eclipse,None,JUNGLE,3813.0,100.0,-1.02,1
LeeSin,Spear of Shojin,Eclipse,JUNGLE,6628.0,100.0,59.55,1
Evelynn,Eclipse,None,JUNGLE,3541.0,0.0,98.44,1
Evelynn,Voltaic Cyclosword,Eclipse,JUNGLE,6931.0,0.0,41.18,1
Evelynn,Death's Dance,Voltaic Cyclosword,JUNGLE,11192.0,0.0,-24.51,1
Evelynn,Spear of Shojin,Death's Dance,JUNGLE,14541.0,0.0,0,1
Evelynn,Guardian Angel,Spear of Shojin,JUNGLE,17578.0,0.0,0,1
MasterYi,Eclipse,None,JUNGLE,4624.0,100.0,20.77,1
MasterYi,Voltaic Cyclosword,Eclipse,JUNGLE,6486.0,100.0,49.46,1
MasterYi,Spear of Shojin,Voltaic Cyclosword,JUNGLE,10817.0,100.0,0,1
Khazix,Hubris,None,JUNGLE,3952.0,0.0,-7.63,1
Khazix,Sundered Sky,Hubris,JUNGLE,8226.0,0.0,-14.81,1
