VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Diana,Liandry's Torment,None,JUNGLE,4123.8,25.0,11.75,4
JarvanIV,Liandry's Torment,None,JUNGLE,4642.5,25.0,2.25,4
DrMundo,Liandry's Torment,None,JUNGLE,4298.7,33.3,8.9,3
DrMundo,Sunfire Aegis,Liandry's Torment,JUNGLE,8133.7,33.3,-18.77,3
FiddleSticks,Liandry's Torment,None,JUNGLE,5458.0,33.3,13.45,3
Viego,Liandry's Torment,None,JUNGLE,4786.0,50.0,6.04,2
Poppy,Liandry's Torment,None,JUNGLE,4929.5,50.0,15.49,2
Diana,Hollow Radiance,Liandry's Torment,JUNGLE,8058.0,0.0,-22.64,2
Ekko,Liandry's Torment,None,JUNGLE,4196.5,50.0,115.19,2
JarvanIV,Sunfire Aegis,Liandry's Torment,JUNGLE,7640.5,50.0,-26.98,2
FiddleSticks,Thornmail,Sunfire Aegis,JUNGLE,8282.0,0.0,5.09,2
FiddleSticks,Sunfire Aegis,Liandry's Torment,JUNGLE,8430.0,50.0,-20.68,2
Viego,"Jak'Sho, The Protean",Liandry's Torment,JUNGLE,8105.0,0.0,-55.6,1
Poppy,Thornmail,Liandry's Torment,JUNGLE,7193.0,0.0,0.08,1
Poppy,Thornmail,Thornmail,JUNGLE,7193.0,0.0,0.65,1
Poppy,Sunfire Aegis,Thornmail,JUNGLE,10422.0,0.0,-42.37,1
Poppy,Sunfire Aegis,Liandry's Torment,JUNGLE,8332.0,100.0,-12.3,1
Poppy,Chainlaced Crushers,Sunfire Aegis,JUNGLE,8855.0,100.0,10.42,1
Poppy,Thornmail,Chainlaced Crushers,JUNGLE,11053.0,100.0,-8.77,1
Kindred,Sunfire Aegis,None,JUNGLE,3463.0,0.0,-16.0,1
Kindred,Thornmail,Sunfire Aegis,JUNGLE,7134.0,0.0,0,1
Kindred,Hollow Radiance,None,JUNGLE,4372.0,100.0,0.27,1
Kindred,Liandry's Torment,Hollow Radiance,JUNGLE,8484.0,100.0,6.45,1
Nocturne,Liandry's Torment,None,JUNGLE,5240.0,100.0,10.99,1
Nocturne,Sunfire Aegis,Liandry's Torment,JUNGLE,9099.0,100.0,19.92,1
Nocturne,Sunfire Aegis,None,JUNGLE,3923.0,0.0,6.7,1
Nocturne,Kaenic Rookern,Sunfire Aegis,JUNGLE,7499.0,0.0,-28.82,1
Nocturne,Armored Advance,Kaenic Rookern,JUNGLE,8194.0,0.0,-40.81,1
Diana,Sunfire Aegis,Liandry's Torment,JUNGLE,6339.0,0.0,19.52,1
Diana,Chainlaced Crushers,Sunfire Aegis,JUNGLE,9481.0,0.0,-9.49,1
Diana,"Jak'Sho, The Protean",Chainlaced Crushers,JUNGLE,12541.0,0.0,-42.11,1
Diana,Abyssal Mask,Hollow Radiance,JUNGLE,10214.0,0.0,16.2,1
Diana,Spirit Visage,Abyssal Mask,JUNGLE,14230.0,0.0,0,1
Diana,Chainlaced Crushers,Spirit Visage,JUNGLE,14230.0,0.0,0,1
Diana,Kaenic Rookern,Liandry's Torment,JUNGLE,7882.0,100.0,1.56,1
Ekko,Sunfire Aegis,Liandry's Torment,JUNGLE,7871.0,0.0,-9.03,1
Ekko,Abyssal Mask,Sunfire Aegis,JUNGLE,12199.0,0.0,0,1
Ekko,"Jak'Sho, The Protean",Abyssal Mask,JUNGLE,13321.0,0.0,0,1
Ekko,Abyssal Mask,Liandry's Torment,JUNGLE,9320.0,100.0,-14.58,1
Ekko,Thornmail,Abyssal Mask,JUNGLE,10283.0,100.0,-12.63,1
Ekko,Sunfire Aegis,Thornmail,JUNGLE,13578.0,100.0,-16.29,1
Evelynn,Liandry's Torment,None,JUNGLE,4175.0,100.0,7.85,1
Evelynn,Hollow Radiance,Liandry's Torment,JUNGLE,9385.0,100.0,7.19,1
Evelynn,Hollow Radiance,None,JUNGLE,4129.0,100.0,6.62,1
Evelynn,Sunfire Aegis,None,JUNGLE,4253.0,100.0,28.57,1
