VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Ahri,Rod of Ages,None,MIDDLE,4600.8,75.0,24.56,4
Yasuo,Rod of Ages,None,MIDDLE,3849.3,0.0,11.09,3
Fizz,Rod of Ages,None,MIDDLE,4405.7,66.7,44.75,3
Fizz,Archangel's Staff,Rod of Ages,MIDDLE,8169.3,66.7,42.04,3
Fizz,Archangel's Staff,Archangel's Staff,MIDDLE,8359.0,66.7,41.26,3
Syndra,Rod of Ages,None,MIDDLE,4140.0,0.0,34.22,2
Syndra,Archangel's Staff,Archangel's Staff,MIDDLE,9196.5,0.0,33.43,2
Ryze,Archangel's Staff,Archangel's Staff,MIDDLE,7169.0,50.0,24.18,2
Aurora,Rod of Ages,None,MIDDLE,4680.0,0.0,-14.21,2
Aurora,Archangel's Staff,Rod of Ages,MIDDLE,7420.0,0.0,-6.1,2
Aurora,Archangel's Staff,Archangel's Staff,MIDDLE,7649.5,0.0,0,2
Katarina,Rod of Ages,None,MIDDLE,3694.0,100.0,5.43,2
Yasuo,Archangel's Staff,Rod of Ages,MIDDLE,7303.0,0.0,20.19,2
Yasuo,Archangel's Staff,Archangel's Staff,MIDDLE,7303.0,0.0,20.21,2
Fizz,Zhonya's Hourglass,Archangel's Staff,MIDDLE,11165.0,50.0,22.94,2
Ahri,Archangel's Staff,Archangel's Staff,MIDDLE,8791.5,50.0,-3.27,2
Ahri,Liandry's Torment,Archangel's Staff,MIDDLE,12208.0,100.0,22.2,2
Ahri,Archangel's Staff,Rod of Ages,MIDDLE,7633.0,50.0,3.77,2
Diana,Rod of Ages,None,MIDDLE,3935.0,50.0,-1.65,2
Diana,Archangel's Staff,Rod of Ages,MIDDLE,7266.5,50.0,20.53,2
Diana,Archangel's Staff,Archangel's Staff,MIDDLE,7449.5,50.0,20.34,2
Diana,Zhonya's Hourglass,Archangel's Staff,MIDDLE,10766.5,50.0,-26.52,2
Galio,Rod of Ages,None,MIDDLE,3710.5,0.0,3.41,2
Galio,Archangel's Staff,Rod of Ages,MIDDLE,6299.0,0.0,18.94,2
Galio,Archangel's Staff,Archangel's Staff,MIDDLE,6299.0,0.0,18.96,2
Galio,Liandry's Torment,Archangel's Staff,MIDDLE,10324.0,0.0,6.74,2
Vex,Rod of Ages,None,MIDDLE,4786.0,0.0,-34.37,1
Vex,Malignance,Rod of Ages,MIDDLE,7779.0,0.0,0,1
Gragas,Rod of Ages,None,MIDDLE,4613.0,0.0,3.18,1
Gragas,Malignance,Rod of Ages,MIDDLE,7496.0,0.0,90.82,1
Gragas,Liandry's Torment,Malignance,MIDDLE,10917.0,0.0,0,1
Jhin,Rod of Ages,None,BOTTOM,4844.0,100.0,-5.15,1
Jhin,Archangel's Staff,Rod of Ages,BOTTOM,7378.0,100.0,-43.54,1
Jhin,Archangel's Staff,Archangel's Staff,BOTTOM,7378.0,100.0,-41.78,1
Jhin,Spellslinger's Shoes,Archangel's Staff,BOTTOM,8437.0,100.0,49.36,1
Syndra,Malignance,Rod of Ages,MIDDLE,8296.0,0.0,-2.93,1
Syndra,Archangel's Staff,Malignance,MIDDLE,10399.0,0.0,33.4,1
Syndra,Liandry's Torment,Archangel's Staff,MIDDLE,12981.0,0.0,0,1
Syndra,Archangel's Staff,Rod of Ages,MIDDLE,7994.0,0.0,0,1
TwistedFate,Rod of Ages,None,MIDDLE,3953.0,100.0,26.02,1
TwistedFate,Archangel's Staff,Rod of Ages,MIDDLE,6774.0,100.0,17.89,1
TwistedFate,Archangel's Staff,Archangel's Staff,MIDDLE,9195.0,100.0,12.36,1
Ryze,Rod of Ages,None,MIDDLE,4645.0,100.0,37.03,1
Ryze,Archangel's Staff,Rod of Ages,MIDDLE,8107.0,100.0,38.46,1
Ryze,Malignance,Archangel's Staff,MIDDLE,10904.0,100.0,0,1
Ryze,Spellslinger's Shoes,Malignance,MIDDLE,10904.0,100.0,0,1
Ryze,Malignance,None,MIDDLE,3732.0,0.0,-0.33,1
Ryze,Archangel's Staff,Malignance,MIDDLE,6231.0,0.0,9.88,1
Ryze,Spellslinger's Shoes,Archangel's Staff,MIDDLE,7758.0,0.0,14.04,1
Ryze,Liandry's Torment,Spellslinger's Shoes,MIDDLE,11916.0,0.0,-24.43,1
