VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Mel,Nashor's Tooth,None,MIDDLE,3832.3,33.3,12.71,3
Xerath,Nashor's Tooth,None,MIDDLE,4344.0,100.0,24.97,2
Xerath,Shadowflame,Nashor's Tooth,MIDDLE,7743.0,100.0,16.15,2
Malzahar,Nashor's Tooth,None,MIDDLE,3715.5,0.0,52.25,2
Yasuo,Nashor's Tooth,None,MIDDLE,3579.5,0.0,5.06,2
Mel,Liandry's Torment,Nashor's Tooth,MIDDLE,7702.5,50.0,47.92,2
Viktor,Nashor's Tooth,None,MIDDLE,4176.5,0.0,36.42,2
Katarina,Nashor's Tooth,None,MIDDLE,4647.5,50.0,38.83,2
Shyvana,Nashor's Tooth,None,MIDDLE,3789.0,100.0,40.86,1
Shyvana,Liandry's Torment,Nashor's Tooth,MIDDLE,8258.0,100.0,-3.85,1
Shyvana,Spellslinger's Shoes,Liandry's Torment,MIDDLE,10184.0,100.0,3.65,1
Shyvana,Zhonya's Hourglass,Spellslinger's Shoes,MIDDLE,11786.0,100.0,0,1
Xerath,Banshee's Veil,Shadowflame,MIDDLE,11672.0,100.0,8.3,1
Xerath,Rabadon's Deathcap,Banshee's Veil,MIDDLE,14461.0,100.0,18.55,1
Xerath,Rabadon's Deathcap,Shadowflame,MIDDLE,11663.0,100.0,0,1
Diana,Nashor's Tooth,None,MIDDLE,4352.0,100.0,19.27,1
Diana,Zhonya's Hourglass,Nashor's Tooth,MIDDLE,8836.0,100.0,18.47,1
Diana,Rabadon's Deathcap,Zhonya's Hourglass,MIDDLE,11412.0,100.0,0,1
Sylas,Nashor's Tooth,None,MIDDLE,4180.0,100.0,45.58,1
Sylas,Shadowflame,Nashor's Tooth,MIDDLE,8139.0,100.0,58.27,1
Sylas,Spellslinger's Shoes,Shadowflame,MIDDLE,8139.0,100.0,61.23,1
Sylas,Zhonya's Hourglass,Spellslinger's Shoes,MIDDLE,12210.0,100.0,0,1
Malzahar,Rylai's Crystal Scepter,Nashor's Tooth,MIDDLE,7368.0,0.0,-11.62,1
Malzahar,Zhonya's Hourglass,Rylai's Crystal Scepter,MIDDLE,10951.0,0.0,0,1
Rell,Nashor's Tooth,None,UTILITY,4276.0,0.0,15.08,1
Rell,Rylai's Crystal Scepter,Nashor's Tooth,UTILITY,7384.0,0.0,-28.66,1
Akali,Nashor's Tooth,None,MIDDLE,3694.0,100.0,21.17,1
Akali,Rylai's Crystal Scepter,Nashor's Tooth,MIDDLE,8136.0,100.0,61.6,1
Akali,Zhonya's Hourglass,Rylai's Crystal Scepter,MIDDLE,10628.0,100.0,34.34,1
Akali,Spellslinger's Shoes,Zhonya's Hourglass,MIDDLE,11092.0,100.0,36.82,1
Akali,Rabadon's Deathcap,Spellslinger's Shoes,MIDDLE,14219.0,100.0,0,1
Yasuo,Liandry's Torment,Nashor's Tooth,MIDDLE,7434.0,0.0,-12.69,1
Yasuo,Rylai's Crystal Scepter,Liandry's Torment,MIDDLE,10110.0,0.0,0,1
