VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Kayn,Titanic Hydra,None,JUNGLE,4668.0,0.0,30.65,4
LeeSin,Blade of The Ruined King,None,JUNGLE,4469.0,66.7,-0.46,3
LeeSin,Black Cleaver,Blade of The Ruined King,JUNGLE,7713.7,66.7,41.77,3
Viego,Titanic Hydra,None,JUNGLE,4884.5,0.0,32.71,2
Viego,Black Cleaver,Titanic Hydra,JUNGLE,8246.0,0.0,-2.2,2
Viego,Blade of The Ruined King,None,JUNGLE,4440.5,50.0,16.73,2
LeeSin,Death's Dance,Black Cleaver,JUNGLE,11390.0,100.0,17.03,2
Ekko,Blade of The Ruined King,None,JUNGLE,4562.0,100.0,-8.02,2
Kayn,Black Cleaver,Titanic Hydra,JUNGLE,8376.0,0.0,-13.84,2
Jax,Death's Dance,Sterak's Gage,JUNGLE,16544.5,50.0,11.54,2
Evelynn,The Collector,None,JUNGLE,4808.5,50.0,13.06,2
Brand,Blade of The Ruined King,None,JUNGLE,4578.0,50.0,43.52,2
Shaco,Blade of The Ruined King,None,JUNGLE,4314.5,0.0,40.78,2
Viego,Chempunk Chainsword,Black Cleaver,JUNGLE,11949.0,0.0,0,1
Viego,Eclipse,None,JUNGLE,3619.0,100.0,36.92,1
Viego,Sundered Sky,Eclipse,JUNGLE,6311.0,100.0,28.57,1
Viego,Death's Dance,Sundered Sky,JUNGLE,11559.0,100.0,0,1
Viego,Armored Advance,Death's Dance,JUNGLE,11559.0,100.0,0,1
Viego,Titanic Hydra,Blade of The Ruined King,JUNGLE,8303.0,0.0,2.99,1
Viego,Death's Dance,Titanic Hydra,JUNGLE,11571.0,0.0,-16.38,1
Viego,Immortal Shieldbow,Death's Dance,JUNGLE,14313.0,0.0,-38.88,1
Viego,Kraken Slayer,None,JUNGLE,4191.0,100.0,92.23,1
Viego,Titanic Hydra,Kraken Slayer,JUNGLE,9511.0,100.0,0,1
LeeSin,Kraken Slayer,None,JUNGLE,3815.0,100.0,56.07,1
LeeSin,Blade of The Ruined King,Kraken Slayer,JUNGLE,7395.0,100.0,39.83,1
LeeSin,The Collector,Blade of The Ruined King,JUNGLE,11312.0,100.0,38.01,1
LeeSin,Infinity Edge,The Collector,JUNGLE,15030.0,100.0,21.78,1
LeeSin,Lord Dominik's Regards,Infinity Edge,JUNGLE,17706.0,100.0,0,1
Ekko,Titanic Hydra,None,JUNGLE,4278.0,0.0,12.54,1
Ekko,Black Cleaver,Titanic Hydra,JUNGLE,8652.0,0.0,26.24,1
Ekko,Riftmaker,Black Cleaver,JUNGLE,11647.0,0.0,0,1
Ekko,Profane Hydra,None,JUNGLE,4592.0,100.0,15.38,1
Ekko,The Collector,Profane Hydra,JUNGLE,7216.0,100.0,-10.77,1
Ekko,Edge of Night,The Collector,JUNGLE,11027.0,100.0,59.99,1
Ekko,Lord Dominik's Regards,Edge of Night,JUNGLE,14149.0,100.0,0,1
Ekko,Mortal Reminder,Lord Dominik's Regards,JUNGLE,14741.0,100.0,0,1
Ekko,Chainlaced Crushers,Mortal Reminder,JUNGLE,14741.0,100.0,0,1
Ekko,Black Cleaver,Blade of The Ruined King,JUNGLE,7633.0,100.0,36.71,1
