VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
MissFortune,The Collector,None,BOTTOM,4580.8,64.7,15.98,17
Jinx,The Collector,None,BOTTOM,4399.5,62.5,8.44,16
Kaisa,The Collector,None,BOTTOM,4516.9,46.7,2.1,15
MissFortune,Infinity Edge,The Collector,BOTTOM,8445.4,73.3,11.07,15
Jhin,The Collector,None,BOTTOM,4157.1,50.0,20.3,14
Kaisa,Infinity Edge,The Collector,BOTTOM,8261.8,41.7,6.86,12
Jhin,Infinity Edge,The Collector,BOTTOM,8354.9,45.5,35.16,11
Ezreal,The Collector,None,BOTTOM,4681.7,80.0,26.2,10
Jinx,Infinity Edge,The Collector,BOTTOM,8457.8,70.0,19.66,10
Ashe,The Collector,None,BOTTOM,4462.8,30.0,5.79,10
Vayne,The Collector,None,BOTTOM,4101.9,77.8,28.87,9
Ashe,Infinity Edge,The Collector,BOTTOM,8609.7,33.3,29.43,9
Sivir,The Collector,None,BOTTOM,4595.9,55.6,16.18,9
Ezreal,Infinity Edge,The Collector,BOTTOM,8151.6,85.7,1.33,7
Vayne,Infinity Edge,The Collector,BOTTOM,8417.1,71.4,7.71,7
Kaisa,Yun Tal Wildarrows,None,BOTTOM,4716.0,57.1,12.98,7
Samira,The Collector,None,BOTTOM,4710.0,85.7,12.05,7
Kaisa,Rapid Firecannon,Infinity Edge,BOTTOM,10396.2,33.3,11.42,6
Yunara,The Collector,None,BOTTOM,4839.8,50.0,-0.66,6
Aphelios,The Collector,None,BOTTOM,4662.8,100.0,25.0,6
Aphelios,Infinity Edge,The Collector,BOTTOM,8644.8,100.0,42.99,6
Samira,Infinity Edge,The Collector,BOTTOM,8476.5,83.3,29.34,6
Sivir,Infinity Edge,The Collector,BOTTOM,8322.5,66.7,38.42,6
Smolder,The Collector,None,BOTTOM,4545.5,66.7,40.89,6
Smolder,Infinity Edge,The Collector,BOTTOM,8835.3,66.7,-0.65,6
Jhin,Yun Tal Wildarrows,None,BOTTOM,5051.2,60.0,3.51,5
Yunara,Infinity Edge,The Collector,BOTTOM,8230.6,40.0,1.17,5
MissFortune,Gunmetal Greaves,Infinity Edge,BOTTOM,9623.0,100.0,12.62,5
Ezreal,Rapid Firecannon,Infinity Edge,BOTTOM,13263.0,100.0,-1.42,4
Jhin,Rapid Firecannon,Infinity Edge,BOTTOM,10686.8,25.0,-5.59,4
Jhin,Gunmetal Greaves,Infinity Edge,BOTTOM,9960.8,100.0,65.2,4
Jinx,Lord Dominik's Regards,Infinity Edge,BOTTOM,11397.0,100.0,36.18,4
Kaisa,Gunmetal Greaves,Infinity Edge,BOTTOM,10924.5,50.0,12.01,4
Xayah,The Collector,None,BOTTOM,4442.5,50.0,18.88,4
Sivir,Rapid Firecannon,Infinity Edge,BOTTOM,11252.2,75.0,44.06,4
MissFortune,Yun Tal Wildarrows,None,BOTTOM,4450.5,25.0,-21.28,4
MissFortune,Infinity Edge,Yun Tal Wildarrows,BOTTOM,8930.0,25.0,-23.93,4
Ezreal,Infinity Edge,Yun Tal Wildarrows,BOTTOM,9393.7,66.7,-14.03,3
Jhin,Infinity Edge,Yun Tal Wildarrows,BOTTOM,8278.0,33.3,11.53,3
Jinx,Yun Tal Wildarrows,None,BOTTOM,4704.7,33.3,35.0,3
Vayne,Lord Dominik's Regards,Infinity Edge,BOTTOM,11567.7,100.0,28.82,3
