VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Garen,Trinity Force,None,TOP,4367.6,85.7,36.46,7
Garen,Ravenous Hydra,Trinity Force,TOP,8093.3,85.7,44.03,7
Sett,Trinity Force,None,TOP,4744.2,25.0,7.22,4
Sett,Ravenous Hydra,Trinity Force,TOP,8563.7,33.3,12.16,3
Ambessa,Trinity Force,None,TOP,4435.5,50.0,31.6,2
Garen,Spear of Shojin,Ravenous Hydra,TOP,12158.5,100.0,-4.28,2
Urgot,Trinity Force,None,TOP,4326.0,0.0,17.09,2
Zaahen,Trinity Force,None,TOP,4479.5,50.0,21.03,2
Gangplank,Trinity Force,None,TOP,4758.0,50.0,95.01,2
Gangplank,Ravenous Hydra,Trinity Force,TOP,8237.0,50.0,120.73,2
Gangplank,Spear of Shojin,Ravenous Hydra,TOP,12005.0,50.0,-37.21,2
Leona,Eclipse,None,UTILITY,4571.0,100.0,-29.82,1
Leona,Sundered Sky,Eclipse,UTILITY,7115.0,100.0,0,1
Gwen,Trinity Force,None,TOP,4797.0,100.0,-7.58,1
Gwen,Ravenous Hydra,Trinity Force,TOP,9795.0,100.0,68.87,1
Gwen,Maw of Malmortius,Ravenous Hydra,TOP,11943.0,100.0,29.87,1
Gwen,"Jak'Sho, The Protean",Maw of Malmortius,TOP,14863.0,100.0,12.66,1
Gwen,Death's Dance,"Jak'Sho, The Protean",TOP,17884.0,100.0,-8.42,1
Gwen,Death's Dance,Death's Dance,TOP,21028.0,100.0,0,1
Gwen,Thornmail,Death's Dance,TOP,21028.0,100.0,0,1
Ambessa,Ravenous Hydra,Trinity Force,TOP,8477.0,0.0,0,1
Aatrox,Trinity Force,None,TOP,3863.0,100.0,7.3,1
Aatrox,Ravenous Hydra,Trinity Force,TOP,8504.0,100.0,-5.74,1
Aatrox,Sterak's Gage,Ravenous Hydra,TOP,11234.0,100.0,0,1
Garen,Ravenous Hydra,None,TOP,3934.0,0.0,25.31,1
Garen,Trinity Force,Ravenous Hydra,TOP,8660.0,0.0,44.28,1
Garen,Armored Advance,Trinity Force,TOP,9077.0,0.0,26.31,1
Garen,Armored Advance,Ravenous Hydra,TOP,9017.0,100.0,48.41,1
Garen,Sterak's Gage,Armored Advance,TOP,12058.0,100.0,4.19,1
Garen,Sterak's Gage,Ravenous Hydra,TOP,12042.0,0.0,8.34,1
Garen,Spear of Shojin,Sterak's Gage,TOP,14318.0,0.0,46.34,1
Garen,Guardian Angel,Spear of Shojin,TOP,17727.0,0.0,-16.07,1
Garen,Armored Advance,Spear of Shojin,TOP,13182.0,100.0,-4.23,1
Nami,Eclipse,None,UTILITY,5010.0,0.0,32.2,1
Nami,Umbral Glaive,Eclipse,UTILITY,6996.0,0.0,-18.96,1
Nami,Ravenous Hydra,Umbral Glaive,UTILITY,10252.0,0.0,0,1
Nami,Forever Forward,Ravenous Hydra,UTILITY,10828.0,0.0,0,1
Sett,Armored Advance,Ravenous Hydra,TOP,10266.0,0.0,55.59,1
Sett,Death's Dance,Armored Advance,TOP,12032.0,0.0,7.95,1
Sett,Spear of Shojin,Death's Dance,TOP,15503.0,0.0,0,1
Sett,Sundered Sky,Trinity Force,TOP,8503.0,0.0,0,1
Sett,Sterak's Gage,Ravenous Hydra,TOP,11134.0,0.0,0,1
Sett,Sundered Sky,Ravenous Hydra,TOP,11517.0,100.0,8.0,1
Sett,Armored Advance,Sundered Sky,TOP,12372.0,100.0,0,1
Urgot,Titanic Hydra,Trinity Force,TOP,8405.0,0.0,-16.98,1
Urgot,Ravenous Hydra,Trinity Force,TOP,8296.0,0.0,38.93,1
Urgot,Spear of Shojin,Ravenous Hydra,TOP,10516.0,0.0,27.06,1
Urgot,Death's Dance,Spear of Shojin,TOP,14825.0,0.0,-29.96,1
Urgot,Sterak's Gage,Death's Dance,TOP,17602.0,0.0,0,1
Volibear,Trinity Force,None,TOP,4360.0,0.0,-25.42,1
Volibear,Ravenous Hydra,Trinity Force,TOP,8622.0,0.0,26.88,1
Volibear,Sterak's Gage,Ravenous Hydra,TOP,12090.0,0.0,-44.36,1
Renekton,Ravenous Hydra,None,TOP,4437.0,0.0,73.71,1
Renekton,Trinity Force,Ravenous Hydra,TOP,7828.0,0.0,-4.53,1
Renekton,Spear of Shojin,Trinity Force,TOP,11077.0,0.0,0,1
Malphite,Trinity Force,None,TOP,4476.0,100.0,85.53,1
Malphite,Ravenous Hydra,Trinity Force,TOP,7321.0,100.0,-33.43,1
Malphite,Spear of Shojin,Ravenous Hydra,TOP,10753.0,100.0,-14.52,1
Lulu,Eclipse,None,UTILITY,3705.0,0.0,-16.99,1
Lulu,Sundered Sky,Eclipse,UTILITY,8641.0,0.0,-61.19,1
