VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Malphite,Stridebreaker,None,TOP,5122.0,20.0,-0.99,5
Yasuo,Stridebreaker,None,TOP,5268.2,50.0,37.99,4
Renekton,Stridebreaker,None,TOP,4925.0,50.0,27.06,4
Zaahen,Trinity Force,None,TOP,5521.8,25.0,43.34,4
Sett,Stridebreaker,None,TOP,4823.3,33.3,33.78,3
DrMundo,Stridebreaker,None,TOP,4272.3,100.0,4.82,3
DrMundo,Sterak's Gage,Stridebreaker,TOP,8686.0,100.0,-2.2,3
Kled,Stridebreaker,None,TOP,5071.7,33.3,3.85,3
Kled,Sterak's Gage,Stridebreaker,TOP,8656.3,33.3,-35.86,3
Malphite,Trinity Force,None,TOP,4764.7,100.0,67.89,3
Garen,Trinity Force,None,TOP,5559.7,66.7,9.24,3
Yasuo,Sterak's Gage,Stridebreaker,TOP,8455.7,66.7,44.5,3
Yone,Trinity Force,None,TOP,6055.7,100.0,23.19,3
Zaahen,Stridebreaker,None,TOP,4878.7,0.0,19.56,3
Yorick,Trinity Force,None,TOP,4722.5,100.0,32.7,2
Akali,Stridebreaker,None,TOP,4172.0,50.0,55.71,2
Sett,Sterak's Gage,Stridebreaker,TOP,8311.0,50.0,34.54,2
Elise,Youmuu's Ghostblade,None,JUNGLE,4994.0,0.0,49.06,2
Elise,Dead Man's Plate,Youmuu's Ghostblade,JUNGLE,8132.0,0.0,-11.5,2
Mordekaiser,Stridebreaker,None,TOP,4455.0,0.0,11.23,2
Mordekaiser,Dead Man's Plate,Sterak's Gage,TOP,13399.0,0.0,-18.83,2
Mordekaiser,Trinity Force,None,TOP,4462.0,50.0,19.18,2
DrMundo,Trinity Force,None,TOP,5246.0,50.0,41.55,2
DrMundo,Dead Man's Plate,Armored Advance,TOP,12629.0,50.0,40.22,2
Chogath,Stridebreaker,None,TOP,5387.0,100.0,3.68,2
Fiora,Force of Nature,Dead Man's Plate,TOP,10698.5,50.0,36.19,2
Kled,Armored Advance,Sterak's Gage,TOP,9311.5,50.0,-46.65,2
Malphite,Black Cleaver,Stridebreaker,TOP,8415.5,50.0,25.15,2
Malphite,Dead Man's Plate,Trinity Force,TOP,8088.5,100.0,6.91,2
Malphite,Force of Nature,Sterak's Gage,TOP,11907.0,50.0,-51.78,2
Illaoi,Stridebreaker,None,TOP,4865.5,50.0,-10.82,2
MonkeyKing,Stridebreaker,None,TOP,4515.0,50.0,6.41,2
Quinn,Stridebreaker,None,TOP,6095.5,50.0,8.11,2
Quinn,Dead Man's Plate,Stridebreaker,TOP,8426.0,50.0,72.45,2
Nasus,Stridebreaker,None,TOP,6417.5,50.0,106.66,2
Nasus,Dead Man's Plate,Stridebreaker,TOP,8002.5,50.0,68.81,2
Nasus,Sterak's Gage,Dead Man's Plate,TOP,10833.0,50.0,70.11,2
Garen,Force of Nature,Dead Man's Plate,TOP,13117.0,100.0,20.78,2
Garen,Stridebreaker,None,TOP,5428.5,50.0,35.1,2
Garen,Force of Nature,Sterak's Gage,TOP,13455.0,50.0,-13.51,2
Teemo,Stridebreaker,None,TOP,4657.0,50.0,-3.4,2
Volibear,Trinity Force,None,TOP,5424.5,50.0,59.29,2
Zaahen,Sterak's Gage,Stridebreaker,TOP,9315.5,0.0,5.05,2
Urgot,Trinity Force,None,TOP,5061.5,50.0,-1.08,2
Urgot,Sterak's Gage,Trinity Force,TOP,8376.0,50.0,-2.27,2
Yorick,Stridebreaker,None,TOP,5623.0,100.0,-19.8,1
Yorick,Sterak's Gage,Stridebreaker,TOP,9842.0,100.0,0,1
Yorick,Armored Advance,Sterak's Gage,TOP,9842.0,100.0,0,1
Yorick,Dead Man's Plate,Trinity Force,TOP,8069.0,100.0,0,1
Yorick,Force of Nature,Trinity Force,TOP,8009.0,100.0,0,1
Akali,Force of Nature,Stridebreaker,TOP,8199.0,100.0,31.42,1
Akali,Kaenic Rookern,Stridebreaker,TOP,8979.0,0.0,0,1
Sett,Dead Man's Plate,Stridebreaker,TOP,8102.0,0.0,57.92,1
Sett,Randuin's Omen,Dead Man's Plate,TOP,10774.0,0.0,0,1
Sett,Armored Advance,Sterak's Gage,TOP,10462.0,100.0,-28.58,1
Sett,Dead Man's Plate,Armored Advance,TOP,11926.0,100.0,0,1
Sett,Thornmail,Sterak's Gage,TOP,10630.0,0.0,-42.87,1
Sett,Randuin's Omen,Thornmail,TOP,13205.0,0.0,0,1
Sett,Trinity Force,None,TOP,4931.0,100.0,-11.44,1
Sett,Spear of Shojin,Trinity Force,TOP,8763.0,100.0,-4.47,1
Sett,Thornmail,Spear of Shojin,TOP,10978.0,100.0,-53.22,1
Udyr,Stridebreaker,None,TOP,4177.0,100.0,-14.85,1
Udyr,Sterak's Gage,Stridebreaker,TOP,9151.0,100.0,33.72,1
Elise,Stridebreaker,None,TOP,5941.0,0.0,-8.03,1
Elise,Sterak's Gage,Stridebreaker,TOP,9351.0,0.0,14.79,1
Elise,Chainlaced Crushers,Sterak's Gage,TOP,9701.0,0.0,34.31,1
Elise,Dead Man's Plate,Chainlaced Crushers,TOP,12503.0,0.0,0,1
Elise,Swiftmarch,Dead Man's Plate,JUNGLE,8671.0,0.0,-19.19,1
Elise,Force of Nature,Swiftmarch,JUNGLE,11062.0,0.0,-2.78,1
Elise,Stridebreaker,Force of Nature,JUNGLE,14447.0,0.0,-14.44,1
Mordekaiser,Sundered Sky,Stridebreaker,TOP,8211.0,0.0,27.24,1
Mordekaiser,Sterak's Gage,Sundered Sky,TOP,10966.0,0.0,133.4,1
Mordekaiser,Swiftmarch,Dead Man's Plate,TOP,16804.0,0.0,0,1
Mordekaiser,Force of Nature,Trinity Force,TOP,8921.0,0.0,8.55,1
Mordekaiser,Dead Man's Plate,Force of Nature,TOP,10884.0,0.0,0,1
Mordekaiser,Dead Man's Plate,Trinity Force,TOP,8417.0,100.0,4.58,1
Mordekaiser,Sterak's Gage,Dead Man's Plate,TOP,11191.0,100.0,-20.63,1
Mordekaiser,Armored Advance,Sterak's Gage,TOP,12950.0,100.0,0,1
Mordekaiser,Sterak's Gage,Stridebreaker,TOP,8425.0,0.0,57.57,1
Mordekaiser,Force of Nature,Dead Man's Plate,TOP,13805.0,0.0,0,1
Vladimir,Youmuu's Ghostblade,None,TOP,3940.0,100.0,-15.49,1
Vladimir,Mortal Reminder,Youmuu's Ghostblade,TOP,7744.0,100.0,4.93,1
Vladimir,Dead Man's Plate,Mortal Reminder,TOP,10583.0,100.0,0,1
Vladimir,Stridebreaker,None,TOP,4152.0,100.0,31.2,1
