VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Viego,Stormsurge,None,JUNGLE,4010.8,75.0,15.05,4
Milio,Stormsurge,None,UTILITY,4560.0,66.7,-10.78,3
Darius,Lich Bane,None,JUNGLE,5614.0,100.0,-17.61,2
Kayn,Stormsurge,None,JUNGLE,5485.5,50.0,45.6,2
Kayn,Shadowflame,Stormsurge,JUNGLE,7890.5,50.0,33.91,2
Shaco,Stormsurge,None,JUNGLE,5845.5,50.0,-3.34,2
Talon,Stormsurge,None,JUNGLE,3994.5,50.0,-0.03,2
Talon,Shadowflame,Stormsurge,JUNGLE,8200.5,50.0,34.98,2
Talon,Zhonya's Hourglass,Shadowflame,JUNGLE,11522.0,50.0,32.27,2
Khazix,Stormsurge,None,JUNGLE,4238.5,50.0,20.21,2
Khazix,Shadowflame,Stormsurge,JUNGLE,8100.5,50.0,-27.06,2
Xerath,Stormsurge,None,UTILITY,4119.0,100.0,-1.59,2
Viego,Shadowflame,Stormsurge,JUNGLE,7631.0,50.0,8.45,2
Viego,Zhonya's Hourglass,Shadowflame,JUNGLE,12091.5,50.0,-4.01,2
Darius,Shadowflame,Lich Bane,JUNGLE,10950.0,100.0,0,1
Darius,Bloodletter's Curse,None,TOP,5416.0,100.0,116.66,1
Darius,Liandry's Torment,Bloodletter's Curse,TOP,8712.0,100.0,27.24,1
Darius,Abyssal Mask,Liandry's Torment,TOP,10745.0,100.0,14.91,1
Darius,Riftmaker,Abyssal Mask,TOP,13251.0,100.0,0,1
Darius,Stormsurge,Lich Bane,JUNGLE,7686.0,100.0,106.87,1
Darius,Shadowflame,Stormsurge,JUNGLE,11631.0,100.0,-5.72,1
Darius,Void Staff,Shadowflame,JUNGLE,14134.0,100.0,1.21,1
Sylas,Stormsurge,None,UTILITY,5438.0,0.0,33.47,1
Sylas,Shadowflame,Stormsurge,UTILITY,9356.0,0.0,-24.2,1
Sylas,Zhonya's Hourglass,Shadowflame,UTILITY,12815.0,0.0,0,1
Sylas,Stormsurge,None,JUNGLE,6824.0,0.0,-30.41,1
Sylas,Liandry's Torment,Stormsurge,JUNGLE,8006.0,0.0,27.07,1
Sylas,Shadowflame,Liandry's Torment,JUNGLE,11898.0,0.0,0,1
Sylas,Lich Bane,None,JUNGLE,5636.0,100.0,4.83,1
Sylas,Shadowflame,Lich Bane,JUNGLE,10003.0,100.0,30.91,1
Sylas,Zhonya's Hourglass,Shadowflame,JUNGLE,11550.0,100.0,-1.64,1
Kayn,Spellslinger's Shoes,Shadowflame,JUNGLE,9700.0,100.0,-42.62,1
Kayn,Void Staff,Spellslinger's Shoes,JUNGLE,13908.0,100.0,0,1
Kayn,Rabadon's Deathcap,Void Staff,JUNGLE,14835.0,100.0,0,1
Kayn,Zhonya's Hourglass,Shadowflame,JUNGLE,11580.0,0.0,-18.09,1
Kayn,Spellslinger's Shoes,Zhonya's Hourglass,JUNGLE,11580.0,0.0,-17.95,1
Kayn,Banshee's Veil,Spellslinger's Shoes,JUNGLE,14633.0,0.0,92.23,1
Kayn,Rabadon's Deathcap,Banshee's Veil,JUNGLE,18021.0,0.0,29.71,1
Diana,Stormsurge,None,JUNGLE,6232.0,100.0,46.5,1
Diana,Shadowflame,Stormsurge,JUNGLE,9830.0,100.0,27.52,1
Diana,Spellslinger's Shoes,Shadowflame,JUNGLE,9830.0,100.0,27.76,1
Diana,Rabadon's Deathcap,Spellslinger's Shoes,JUNGLE,13690.0,100.0,0,1
MasterYi,Stormsurge,None,JUNGLE,3685.0,100.0,4.43,1
MasterYi,Lich Bane,Stormsurge,JUNGLE,7991.0,100.0,-14.02,1
MasterYi,Spellslinger's Shoes,Lich Bane,JUNGLE,8296.0,100.0,17.68,1
MasterYi,Zhonya's Hourglass,Spellslinger's Shoes,JUNGLE,11604.0,100.0,0,1
MonkeyKing,Stormsurge,None,JUNGLE,4154.0,100.0,14.46,1
MonkeyKing,Shadowflame,Stormsurge,JUNGLE,9152.0,100.0,54.45,1
MonkeyKing,Spellslinger's Shoes,Shadowflame,JUNGLE,10279.0,100.0,0,1
MonkeyKing,Zhonya's Hourglass,Spellslinger's Shoes,JUNGLE,12837.0,100.0,0,1
MonkeyKing,Rabadon's Deathcap,Zhonya's Hourglass,JUNGLE,12837.0,100.0,0,1
Udyr,Stormsurge,None,JUNGLE,4435.0,0.0,10.79,1
Udyr,Shadowflame,Stormsurge,JUNGLE,8604.0,0.0,20.16,1
Udyr,Spirit Visage,Shadowflame,JUNGLE,10352.0,0.0,0,1
LeeSin,Stormsurge,None,JUNGLE,3487.0,100.0,-27.12,1
LeeSin,Lich Bane,Stormsurge,JUNGLE,8856.0,100.0,23.79,1
LeeSin,Shadowflame,Lich Bane,JUNGLE,11139.0,100.0,0,1
Shaco,Shadowflame,Stormsurge,JUNGLE,9083.0,100.0,54.5,1
Shaco,Zhonya's Hourglass,Shadowflame,JUNGLE,9083.0,100.0,54.94,1
Shaco,Shadowflame,Zhonya's Hourglass,JUNGLE,12697.0,100.0,0,1
Nocturne,Stormsurge,None,JUNGLE,4695.0,100.0,0.46,1
Nocturne,Shadowflame,Stormsurge,JUNGLE,7962.0,100.0,74.71,1
Vi,Lich Bane,None,JUNGLE,4131.0,0.0,77.25,1
Vi,Stormsurge,Lich Bane,JUNGLE,7652.0,0.0,12.67,1
Vi,Stormsurge,Stormsurge,JUNGLE,7652.0,0.0,13.32,1
Vi,Shadowflame,Stormsurge,JUNGLE,10670.0,0.0,1.2,1
Milio,Shadowflame,Stormsurge,UTILITY,8725.0,100.0,0,1
Milio,Spellslinger's Shoes,Shadowflame,UTILITY,8725.0,100.0,0,1
Milio,Hextech Rocketbelt,Stormsurge,UTILITY,8644.0,0.0,0,1
Milio,Forever Forward,Stormsurge,UTILITY,5069.0,100.0,47.31,1
Milio,Shadowflame,Forever Forward,UTILITY,8259.0,100.0,0,1
Talon,Spellslinger's Shoes,Zhonya's Hourglass,JUNGLE,12948.0,100.0,0,1
Talon,Stormsurge,Stormsurge,JUNGLE,4844.0,0.0,81.91,1
Talon,Rabadon's Deathcap,Zhonya's Hourglass,JUNGLE,15357.0,0.0,-25.8,1
Khazix,Zhonya's Hourglass,Shadowflame,JUNGLE,11535.0,100.0,18.58,1
Khazix,Void Staff,Zhonya's Hourglass,JUNGLE,14121.0,100.0,0,1
Braum,Stormsurge,None,UTILITY,4898.0,0.0,7.33,1
Xerath,Spellslinger's Shoes,Stormsurge,UTILITY,6207.0,100.0,1.42,1
Xerath,Shadowflame,Spellslinger's Shoes,UTILITY,8375.0,100.0,-17.85,1
Xerath,Shadowflame,Stormsurge,UTILITY,8034.0,100.0,22.78,1
Xerath,Spellslinger's Shoes,Shadowflame,UTILITY,9045.0,100.0,94.71,1
Xerath,Banshee's Veil,Spellslinger's Shoes,UTILITY,13296.0,100.0,0,1
Skarner,Stormsurge,None,JUNGLE,4422.0,100.0,0.31,1
Skarner,Shadowflame,Stormsurge,JUNGLE,8895.0,100.0,32.74,1
Skarner,Zhonya's Hourglass,Shadowflame,JUNGLE,12215.0,100.0,0,1
