VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Zaahen,Stridebreaker,None,TOP,5041.6,44.4,37.37,9
Camille,Stridebreaker,None,TOP,4790.4,25.0,37.54,8
Sett,Stridebreaker,None,TOP,4874.1,42.9,29.06,7
Zaahen,Phantom Dancer,Stridebreaker,TOP,8734.7,42.9,16.43,7
Darius,Stridebreaker,None,TOP,4995.3,33.3,46.48,6
Camille,Phantom Dancer,Stridebreaker,TOP,8284.2,40.0,1.92,5
Malphite,Stridebreaker,None,TOP,5044.8,40.0,19.55,5
Renekton,Stridebreaker,None,TOP,5088.8,80.0,42.54,5
Kayle,Stridebreaker,None,TOP,5660.0,80.0,31.78,5
Jax,Stridebreaker,None,TOP,5214.5,25.0,65.26,4
Malphite,Black Cleaver,Stridebreaker,TOP,8287.8,50.0,30.38,4
Mordekaiser,Stridebreaker,None,TOP,5309.0,50.0,8.16,4
Renekton,Phantom Dancer,Stridebreaker,TOP,8536.0,75.0,19.09,4
Yone,Stridebreaker,None,TOP,4853.8,75.0,32.44,4
Yone,Phantom Dancer,Stridebreaker,TOP,7606.8,75.0,69.6,4
Darius,Phantom Dancer,Stridebreaker,TOP,8625.5,25.0,36.46,4
Teemo,Stridebreaker,None,TOP,5579.2,25.0,24.1,4
Jax,Phantom Dancer,Stridebreaker,TOP,7935.3,33.3,29.98,3
Rumble,Stridebreaker,None,TOP,5383.3,33.3,-2.18,3
Urgot,Stridebreaker,None,TOP,5514.3,100.0,45.85,3
Yasuo,Stridebreaker,None,MIDDLE,4876.3,66.7,29.36,3
Tryndamere,Stridebreaker,None,TOP,5616.0,66.7,19.25,3
Fiora,Stridebreaker,None,TOP,4899.0,33.3,57.27,3
Fiora,Phantom Dancer,Stridebreaker,TOP,7960.0,33.3,27.72,3
Kayle,Phantom Dancer,Stridebreaker,TOP,8625.7,66.7,37.81,3
Sion,Stridebreaker,None,TOP,4826.3,33.3,48.63,3
Urgot,Phantom Dancer,Stridebreaker,TOP,8230.0,100.0,12.26,2
Urgot,Gunmetal Greaves,Black Cleaver,TOP,10302.0,100.0,41.16,2
Akali,Stridebreaker,None,MIDDLE,5634.5,50.0,42.14,2
Akali,Phantom Dancer,Stridebreaker,MIDDLE,8189.0,50.0,41.47,2
Camille,Mortal Reminder,Phantom Dancer,TOP,11344.5,50.0,-5.61,2
Sett,Black Cleaver,Stridebreaker,TOP,9171.0,50.0,-12.58,2
Sett,Phantom Dancer,Stridebreaker,TOP,7876.0,100.0,6.41,2
Ambessa,Stridebreaker,None,TOP,4188.5,50.0,0.67,2
Malphite,Spear of Shojin,Black Cleaver,TOP,13459.0,50.0,0,2
Mordekaiser,Phantom Dancer,Stridebreaker,TOP,7824.0,50.0,21.1,2
Renekton,Gunmetal Greaves,Phantom Dancer,TOP,9015.5,100.0,22.6,2
Heimerdinger,Stridebreaker,None,TOP,4285.5,50.0,82.72,2
Heimerdinger,Phantom Dancer,Stridebreaker,TOP,8192.0,50.0,40.17,2
Yasuo,Phantom Dancer,Stridebreaker,MIDDLE,7707.5,50.0,91.23,2
