VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Ornn,Rod of Ages,None,TOP,3401.0,0.0,3.85,2
Cassiopeia,Hextech Rocketbelt,None,TOP,5863.0,50.0,-7.91,2
Fiora,Rod of Ages,None,TOP,4117.0,0.0,36.89,2
Fiora,Winter's Approach,Rod of Ages,TOP,6544.5,0.0,-2.35,2
Fiora,Winter's Approach,Winter's Approach,TOP,6544.5,0.0,-2.35,2
MasterYi,Lich Bane,None,JUNGLE,5150.0,100.0,8.57,1
MasterYi,Zhonya's Hourglass,Lich Bane,JUNGLE,9163.0,100.0,0,1
MasterYi,Stormsurge,None,JUNGLE,5145.0,0.0,60.88,1
MasterYi,Shadowflame,Stormsurge,JUNGLE,8385.0,0.0,-0.46,1
Anivia,Stormsurge,None,MIDDLE,5636.0,100.0,36.21,1
Anivia,Shadowflame,Stormsurge,MIDDLE,7872.0,100.0,-19.73,1
Anivia,Forever Forward,Shadowflame,MIDDLE,8696.0,100.0,-11.5,1
Anivia,Lich Bane,Forever Forward,MIDDLE,11743.0,100.0,0,1
Garen,Rod of Ages,None,TOP,3943.0,0.0,5.67,1
Garen,Winter's Approach,Rod of Ages,TOP,7284.0,0.0,55.03,1
Garen,Winter's Approach,Winter's Approach,TOP,7284.0,0.0,55.03,1
Garen,Cosmic Drive,Winter's Approach,TOP,9930.0,0.0,-44.3,1
Yone,Hextech Rocketbelt,None,MIDDLE,3570.0,0.0,4.15,1
Yone,Stormsurge,Hextech Rocketbelt,MIDDLE,7121.0,0.0,-27.86,1
Yone,Spellslinger's Shoes,Stormsurge,MIDDLE,8238.0,0.0,-59.59,1
JarvanIV,Lich Bane,None,JUNGLE,3876.0,0.0,-7.55,1
Malphite,Cosmic Drive,None,TOP,4592.0,0.0,7.13,1
Malphite,Shadowflame,Cosmic Drive,TOP,8704.0,0.0,13.35,1
Malphite,Spellslinger's Shoes,Shadowflame,TOP,10219.0,0.0,-22.82,1
Malphite,Void Staff,Spellslinger's Shoes,TOP,11998.0,0.0,0,1
Malphite,Rod of Ages,None,TOP,4650.0,0.0,-6.94,1
Malphite,Winter's Approach,Rod of Ages,TOP,6995.0,0.0,0,1
Malphite,Winter's Approach,Winter's Approach,TOP,6995.0,0.0,0,1
Gwen,Stormsurge,None,JUNGLE,3373.0,0.0,27.05,1
Gwen,Shadowflame,Stormsurge,JUNGLE,8047.0,0.0,69.85,1
Gwen,Spellslinger's Shoes,Shadowflame,JUNGLE,8047.0,0.0,70.99,1
Chogath,Rod of Ages,None,TOP,4756.0,0.0,30.84,1
Chogath,Winter's Approach,Rod of Ages,TOP,7204.0,0.0,-28.1,1
Chogath,Winter's Approach,Winter's Approach,TOP,7204.0,0.0,-28.1,1
Chogath,Cosmic Drive,Winter's Approach,TOP,9622.0,0.0,-20.22,1
Ornn,Hextech Rocketbelt,Rod of Ages,TOP,7346.0,0.0,-19.94,1
Ornn,Lich Bane,Rod of Ages,TOP,7600.0,0.0,69.43,1
Ornn,Cosmic Drive,Lich Bane,TOP,10682.0,0.0,-20.46,1
Ornn,Zhonya's Hourglass,Cosmic Drive,TOP,13573.0,0.0,-23.87,1
Vex,Luden's Companion,None,MIDDLE,4014.0,0.0,-15.15,1
Vex,Stormsurge,Luden's Companion,MIDDLE,7415.0,0.0,-21.98,1
Vex,Shadowflame,Stormsurge,MIDDLE,10484.0,0.0,0,1
Sett,Rod of Ages,None,TOP,3475.0,0.0,103.74,1
Sett,Winter's Approach,Rod of Ages,TOP,6328.0,0.0,-22.76,1
Sett,Winter's Approach,Winter's Approach,TOP,6328.0,0.0,-22.75,1
Sett,Cosmic Drive,Winter's Approach,TOP,9293.0,0.0,0,1
Teemo,Locket of the Iron Solari,None,UTILITY,3638.0,0.0,27.67,1
Teemo,Cosmic Drive,Locket of the Iron Solari,UTILITY,6548.0,0.0,-8.1,1
Teemo,Frozen Heart,Cosmic Drive,UTILITY,9346.0,0.0,0,1
Teemo,Rod of Ages,None,TOP,4505.0,0.0,15.92,1
Teemo,Winter's Approach,Rod of Ages,TOP,6197.0,0.0,-40.18,1
Teemo,Crimson Lucidity,Winter's Approach,TOP,7311.0,0.0,-4.47,1
Teemo,Winter's Approach,Crimson Lucidity,TOP,7311.0,0.0,-2.48,1
Teemo,Cosmic Drive,Winter's Approach,TOP,10099.0,0.0,0,1
Cassiopeia,Luden's Companion,None,TOP,3361.0,0.0,-15.27,1
Cassiopeia,Lich Bane,Luden's Companion,TOP,7457.0,0.0,33.56,1
Cassiopeia,Stormsurge,Hextech Rocketbelt,TOP,9513.0,0.0,0,1
Cassiopeia,Shadowflame,Hextech Rocketbelt,TOP,8140.0,100.0,51.71,1
