VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Sion,Nashor's Tooth,None,TOP,3740.7,33.3,23.37,3
Mordekaiser,Nashor's Tooth,None,TOP,4370.3,33.3,40.64,3
Malphite,Riftmaker,None,TOP,4286.0,50.0,14.11,2
Ekko,Nashor's Tooth,None,JUNGLE,3634.0,50.0,33.89,2
Chogath,Nashor's Tooth,None,TOP,4083.5,50.0,56.06,2
Aatrox,Nashor's Tooth,None,TOP,4031.5,100.0,-15.39,2
Sion,Riftmaker,Nashor's Tooth,TOP,7714.5,50.0,-0.86,2
Mordekaiser,Riftmaker,Nashor's Tooth,TOP,8413.0,50.0,39.26,2
Zaahen,Nashor's Tooth,None,TOP,5454.5,100.0,45.77,2
Zaahen,Shadowflame,Nashor's Tooth,TOP,7861.0,100.0,38.95,2
XinZhao,Nashor's Tooth,None,JUNGLE,3718.0,50.0,28.17,2
XinZhao,Riftmaker,Nashor's Tooth,JUNGLE,7156.5,50.0,40.72,2
Sylas,Riftmaker,None,TOP,3766.0,100.0,-3.82,1
Sylas,Nashor's Tooth,Riftmaker,TOP,7673.0,100.0,16.5,1
Sylas,Rabadon's Deathcap,Nashor's Tooth,TOP,12676.0,100.0,0,1
Sylas,Nashor's Tooth,None,JUNGLE,4358.0,0.0,-27.31,1
Sylas,Riftmaker,Nashor's Tooth,JUNGLE,6776.0,0.0,0,1
Sylas,Nashor's Tooth,None,MIDDLE,3610.0,100.0,74.2,1
Sylas,Shadowflame,Nashor's Tooth,MIDDLE,6937.0,100.0,83.67,1
Sylas,Spellslinger's Shoes,Shadowflame,MIDDLE,9694.0,100.0,58.7,1
Sylas,Lich Bane,Spellslinger's Shoes,MIDDLE,12564.0,100.0,19.29,1
Sylas,Rabadon's Deathcap,Lich Bane,MIDDLE,15546.0,100.0,0,1
Sylas,Stormsurge,Rabadon's Deathcap,MIDDLE,18769.0,100.0,0,1
Malphite,Nashor's Tooth,Riftmaker,TOP,7287.0,100.0,126.3,1
Malphite,Chainlaced Crushers,Nashor's Tooth,TOP,10167.0,100.0,10.26,1
Malphite,Zhonya's Hourglass,Chainlaced Crushers,TOP,11335.0,100.0,25.32,1
Viego,Nashor's Tooth,None,JUNGLE,5325.0,100.0,45.32,1
Viego,Shadowflame,Nashor's Tooth,JUNGLE,7382.0,100.0,29.01,1
Viego,Rabadon's Deathcap,Shadowflame,JUNGLE,12799.0,100.0,-23.27,1
Viego,Armored Advance,Rabadon's Deathcap,JUNGLE,12799.0,100.0,-23.24,1
Viego,Void Staff,Armored Advance,JUNGLE,14895.0,100.0,-14.12,1
Viego,Banshee's Veil,Void Staff,JUNGLE,17641.0,100.0,0,1
Viego,Armored Advance,Banshee's Veil,JUNGLE,18653.0,100.0,0,1
Hecarim,Nashor's Tooth,None,JUNGLE,3789.0,100.0,87.12,1
Hecarim,Lich Bane,Nashor's Tooth,JUNGLE,8381.0,100.0,31.41,1
Hecarim,Shadowflame,Lich Bane,JUNGLE,10899.0,100.0,11.63,1
Hecarim,Spellslinger's Shoes,Shadowflame,JUNGLE,12783.0,100.0,0,1
Camille,Riftmaker,None,TOP,4406.0,0.0,43.71,1
Camille,Nashor's Tooth,Riftmaker,TOP,7767.0,0.0,10.53,1
Camille,Rabadon's Deathcap,Nashor's Tooth,TOP,11433.0,0.0,-1.26,1
Camille,Shadowflame,Rabadon's Deathcap,TOP,14698.0,0.0,-48.68,1
Camille,Armored Advance,Shadowflame,TOP,15874.0,0.0,25.2,1
Camille,Lich Bane,Armored Advance,TOP,18585.0,0.0,18.01,1
Camille,Armored Advance,Lich Bane,TOP,20865.0,0.0,-34.62,1
Camille,Cosmic Drive,Armored Advance,TOP,20865.0,0.0,-34.57,1
Volibear,Nashor's Tooth,None,TOP,3557.0,0.0,17.47,1
Volibear,Riftmaker,Nashor's Tooth,TOP,7834.0,0.0,-14.97,1
Vayne,Riftmaker,None,TOP,4452.0,0.0,-4.03,1
Kindred,Nashor's Tooth,None,TOP,4813.0,100.0,38.44,1
Kindred,Zhonya's Hourglass,Nashor's Tooth,TOP,8535.0,100.0,15.07,1
Kindred,Rabadon's Deathcap,Zhonya's Hourglass,TOP,12146.0,100.0,9.31,1
Kindred,Cosmic Drive,Rabadon's Deathcap,TOP,14185.0,100.0,-12.64,1
Lillia,Nashor's Tooth,None,TOP,4156.0,100.0,35.55,1
Lillia,Rabadon's Deathcap,Nashor's Tooth,TOP,8663.0,100.0,57.47,1
Lillia,Chainlaced Crushers,Rabadon's Deathcap,TOP,10578.0,100.0,28.08,1
Lillia,Riftmaker,Chainlaced Crushers,TOP,12762.0,100.0,3.3,1
Lillia,Cosmic Drive,Riftmaker,TOP,16753.0,100.0,0,1
Veigar,Nashor's Tooth,None,TOP,3687.0,100.0,38.57,1
Veigar,Rabadon's Deathcap,Nashor's Tooth,TOP,7916.0,100.0,60.1,1
Veigar,Cosmic Drive,Rabadon's Deathcap,TOP,12177.0,100.0,0,1
Gragas,Nashor's Tooth,None,JUNGLE,3717.0,100.0,-6.81,1
Gragas,Shadowflame,Nashor's Tooth,JUNGLE,8473.0,100.0,8.77,1
Gragas,Rabadon's Deathcap,Shadowflame,JUNGLE,11143.0,100.0,9.83,1
Ekko,Zhonya's Hourglass,Nashor's Tooth,JUNGLE,7990.0,100.0,-4.07,1
Ekko,Rabadon's Deathcap,Zhonya's Hourglass,JUNGLE,11099.0,100.0,88.07,1
Ekko,Riftmaker,Nashor's Tooth,JUNGLE,6778.0,0.0,3.62,1
Ivern,Nashor's Tooth,None,JUNGLE,3770.0,0.0,1.68,1
Ivern,Shadowflame,Nashor's Tooth,JUNGLE,7888.0,0.0,61.91,1
Ivern,Rabadon's Deathcap,Shadowflame,JUNGLE,11122.0,0.0,28.07,1
Singed,Nashor's Tooth,None,TOP,3466.0,0.0,29.13,1
Singed,Horizon Focus,Nashor's Tooth,TOP,6724.0,0.0,32.63,1
Singed,Rabadon's Deathcap,Horizon Focus,TOP,9426.0,0.0,35.05,1
Singed,Void Staff,Rabadon's Deathcap,TOP,15676.0,0.0,0,1
DrMundo,Nashor's Tooth,None,TOP,3975.0,0.0,35.66,1
DrMundo,Riftmaker,Nashor's Tooth,TOP,8240.0,0.0,24.39,1
DrMundo,Spellslinger's Shoes,Riftmaker,TOP,10082.0,0.0,52.81,1
DrMundo,Shadowflame,Spellslinger's Shoes,TOP,12983.0,0.0,-14.69,1
DrMundo,Rabadon's Deathcap,Shadowflame,TOP,16382.0,0.0,-0.75,1
DrMundo,Cosmic Drive,Rabadon's Deathcap,TOP,19009.0,0.0,0,1
Shen,Riftmaker,None,TOP,4383.0,0.0,-17.57,1
Shen,Nashor's Tooth,Riftmaker,TOP,8345.0,0.0,36.83,1
Shen,Rabadon's Deathcap,Nashor's Tooth,TOP,12685.0,0.0,0,1
Zac,Nashor's Tooth,None,JUNGLE,3969.0,0.0,21.43,1
Zac,Shadowflame,Nashor's Tooth,JUNGLE,6911.0,0.0,14.77,1
Evelynn,Horizon Focus,None,JUNGLE,3524.0,100.0,-2.21,1
Evelynn,Shadowflame,Horizon Focus,JUNGLE,8904.0,100.0,-28.83,1
Evelynn,Rabadon's Deathcap,Shadowflame,JUNGLE,12092.0,100.0,76.31,1
Evelynn,Banshee's Veil,Rabadon's Deathcap,JUNGLE,14229.0,100.0,26.14,1
Evelynn,Void Staff,Banshee's Veil,JUNGLE,18637.0,100.0,-5.43,1
Ambessa,Riftmaker,None,TOP,3888.0,0.0,44.2,1
Ambessa,Nashor's Tooth,Riftmaker,TOP,7961.0,0.0,-3.91,1
Ambessa,Spellslinger's Shoes,Nashor's Tooth,TOP,8456.0,0.0,-26.57,1
Ambessa,Nashor's Tooth,None,JUNGLE,4394.0,100.0,59.26,1
Ambessa,Riftmaker,Nashor's Tooth,JUNGLE,7233.0,100.0,0,1
Kayn,Nashor's Tooth,None,JUNGLE,4468.0,100.0,47.54,1
Kayn,Riftmaker,Nashor's Tooth,JUNGLE,6822.0,100.0,0,1
Chogath,Riftmaker,Nashor's Tooth,TOP,8254.0,100.0,80.89,1
Chogath,Rabadon's Deathcap,Riftmaker,TOP,11067.0,100.0,17.72,1
Chogath,Shadowflame,Rabadon's Deathcap,TOP,13985.0,100.0,0,1
Shaco,Nashor's Tooth,None,JUNGLE,3921.0,0.0,-8.77,1
