VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Viego,Redemption,None,JUNGLE,4058.5,50.0,-7.73,2
Khazix,Redemption,None,JUNGLE,4459.5,50.0,-2.41,2
Viego,Staff of Flowing Water,Redemption,JUNGLE,6374.0,100.0,48.49,1
Viego,Moonstone Renewer,Staff of Flowing Water,JUNGLE,8792.0,100.0,0,1
Viego,Malignance,None,JUNGLE,4316.0,0.0,-34.96,1
Viego,Rylai's Crystal Scepter,Malignance,JUNGLE,6756.0,0.0,15.06,1
Viego,Forever Forward,Rylai's Crystal Scepter,JUNGLE,7231.0,0.0,49.94,1
Viego,Ardent Censer,Forever Forward,JUNGLE,9881.0,0.0,0,1
Viego,Moonstone Renewer,Redemption,JUNGLE,6273.0,0.0,-12.99,1
Viego,Crimson Lucidity,Moonstone Renewer,JUNGLE,6832.0,0.0,17.63,1
Viego,Cosmic Drive,Crimson Lucidity,JUNGLE,9540.0,0.0,-23.85,1
Khazix,Locket of the Iron Solari,Redemption,JUNGLE,6359.0,0.0,-15.57,1
Khazix,Moonstone Renewer,Locket of the Iron Solari,JUNGLE,8103.0,0.0,2.78,1
Khazix,Moonstone Renewer,Redemption,JUNGLE,7712.0,100.0,-24.53,1
Khazix,Crimson Lucidity,Moonstone Renewer,JUNGLE,7712.0,100.0,-24.37,1
Khazix,Ardent Censer,Crimson Lucidity,JUNGLE,9705.0,100.0,0,1
Khazix,Cosmic Drive,None,JUNGLE,5547.0,0.0,-14.14,1
TahmKench,Malignance,None,TOP,3525.0,100.0,8.98,1
TahmKench,Bloodletter's Curse,Malignance,TOP,7349.0,100.0,-8.64,1
TahmKench,Liandry's Torment,Bloodletter's Curse,TOP,10064.0,100.0,13.16,1
TahmKench,Rylai's Crystal Scepter,Liandry's Torment,TOP,14232.0,100.0,0.64,1
TahmKench,Crimson Lucidity,Rylai's Crystal Scepter,TOP,15003.0,100.0,0,1
Warwick,Malignance,None,JUNGLE,4540.0,100.0,11.4,1
Warwick,Bloodletter's Curse,Malignance,JUNGLE,7381.0,100.0,12.76,1
Warwick,Liandry's Torment,Bloodletter's Curse,JUNGLE,10047.0,100.0,10.49,1
Warwick,Zhonya's Hourglass,Liandry's Torment,JUNGLE,13685.0,100.0,0,1
Gwen,Shurelya's Battlesong,None,JUNGLE,3783.0,100.0,3.89,1
Gwen,Redemption,Shurelya's Battlesong,JUNGLE,6245.0,100.0,-17.51,1
Gwen,Forever Forward,Redemption,JUNGLE,7590.0,100.0,0.93,1
Gwen,Moonstone Renewer,Forever Forward,JUNGLE,9280.0,100.0,25.09,1
Gwen,Locket of the Iron Solari,Moonstone Renewer,JUNGLE,9280.0,100.0,25.62,1
Gwen,Moonstone Renewer,Locket of the Iron Solari,JUNGLE,10826.0,100.0,0,1
Kayn,Redemption,None,JUNGLE,3333.0,100.0,18.25,1
Kayn,Moonstone Renewer,Redemption,JUNGLE,6507.0,100.0,14.06,1
Kayn,Dawncore,Moonstone Renewer,JUNGLE,9658.0,100.0,25.16,1
Kayn,Crimson Lucidity,Dawncore,JUNGLE,9658.0,100.0,25.23,1
Kayn,Shurelya's Battlesong,None,JUNGLE,3408.0,0.0,20.03,1
Kayn,Moonstone Renewer,Shurelya's Battlesong,JUNGLE,6508.0,0.0,-13.3,1
MasterYi,Redemption,None,JUNGLE,4226.0,0.0,-25.94,1
MasterYi,Moonstone Renewer,Redemption,JUNGLE,6428.0,0.0,-26.39,1
MasterYi,Ardent Censer,Moonstone Renewer,JUNGLE,8771.0,0.0,0,1
JarvanIV,Redemption,None,JUNGLE,4252.0,0.0,6.47,1
JarvanIV,Moonstone Renewer,Redemption,JUNGLE,6797.0,0.0,-12.51,1
JarvanIV,Crimson Lucidity,Moonstone Renewer,JUNGLE,6797.0,0.0,-12.11,1
JarvanIV,Dawncore,Crimson Lucidity,JUNGLE,9277.0,0.0,-31.63,1
Shaco,Malignance,None,JUNGLE,5329.0,100.0,-2.41,1
Shaco,Redemption,Malignance,JUNGLE,8458.0,100.0,63.25,1
Shaco,Ardent Censer,Redemption,JUNGLE,9202.0,100.0,43.11,1
Shaco,Shurelya's Battlesong,Ardent Censer,JUNGLE,11780.0,100.0,-34.38,1
Shaco,Crimson Lucidity,Shurelya's Battlesong,JUNGLE,13480.0,100.0,-50.11,1
Shaco,Moonstone Renewer,Crimson Lucidity,JUNGLE,14168.0,100.0,13.01,1
Shaco,Randuin's Omen,Moonstone Renewer,JUNGLE,15688.0,100.0,-25.78,1
Shaco,Randuin's Omen,Randuin's Omen,JUNGLE,16095.0,100.0,0,1
Pantheon,Moonstone Renewer,None,UTILITY,4781.0,100.0,17.11,1
Pantheon,Crimson Lucidity,Moonstone Renewer,UTILITY,5639.0,100.0,18.31,1
Pantheon,Redemption,Crimson Lucidity,UTILITY,7309.0,100.0,-12.14,1
Pantheon,Ardent Censer,Redemption,UTILITY,8868.0,100.0,0,1
Nocturne,Cosmic Drive,None,JUNGLE,5340.0,100.0,31.21,1
Nocturne,Moonstone Renewer,Cosmic Drive,JUNGLE,7391.0,100.0,-29.54,1
Nocturne,Ardent Censer,Moonstone Renewer,JUNGLE,9670.0,100.0,57.95,1
Nocturne,Dawncore,Ardent Censer,JUNGLE,12014.0,100.0,16.9,1
Ambessa,Redemption,None,JUNGLE,4124.0,0.0,0,1
