VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Maokai,Moonstone Renewer,None,UTILITY,3854.5,0.0,-31.48,2
Lulu,Moonstone Renewer,None,UTILITY,4212.5,0.0,19.91,2
Nami,Moonstone Renewer,None,UTILITY,4466.5,50.0,-17.65,2
Lux,Moonstone Renewer,None,UTILITY,4181.0,50.0,3.13,2
TahmKench,Moonstone Renewer,None,UTILITY,3591.5,50.0,-11.16,2
Rakan,Moonstone Renewer,None,UTILITY,4103.0,0.0,4.57,2
Thresh,Moonstone Renewer,None,UTILITY,3780.5,0.0,-32.49,2
Zilean,Moonstone Renewer,None,UTILITY,3557.0,0.0,-36.57,2
Shaco,Echoes of Helia,None,UTILITY,3368.0,100.0,11.05,1
Shaco,Moonstone Renewer,Echoes of Helia,UTILITY,6366.0,100.0,52.05,1
Braum,Moonstone Renewer,None,UTILITY,3434.0,100.0,-22.33,1
Leona,Redemption,None,UTILITY,4263.0,100.0,-8.73,1
Leona,Moonstone Renewer,Redemption,UTILITY,6850.0,100.0,29.86,1
Leona,Moonstone Renewer,None,UTILITY,4180.0,100.0,-3.61,1
Leona,Redemption,Moonstone Renewer,UTILITY,6430.0,100.0,8.03,1
Zyra,Ardent Censer,None,UTILITY,4142.0,100.0,11.1,1
Zyra,Swiftmarch,Ardent Censer,UTILITY,4142.0,100.0,11.92,1
Zyra,Moonstone Renewer,Swiftmarch,UTILITY,6958.0,100.0,12.65,1
Maokai,Imperial Mandate,Moonstone Renewer,UTILITY,6022.0,0.0,-24.62,1
Maokai,Redemption,Moonstone Renewer,UTILITY,6449.0,0.0,56.55,1
Maokai,Ardent Censer,Redemption,UTILITY,7087.0,0.0,0,1
Taric,Imperial Mandate,None,UTILITY,3243.0,0.0,-33.67,1
Veigar,Moonstone Renewer,None,UTILITY,4291.0,100.0,-8.89,1
Veigar,Redemption,Moonstone Renewer,UTILITY,6679.0,100.0,21.49,1
Lulu,Mikael's Blessing,None,UTILITY,3743.0,0.0,31.99,1
Lulu,Dawncore,Mikael's Blessing,UTILITY,7061.0,0.0,-23.08,1
Lulu,Ardent Censer,Dawncore,UTILITY,8914.0,0.0,44.51,1
Lulu,Crimson Lucidity,Ardent Censer,UTILITY,9702.0,0.0,-1.38,1
Lulu,Shurelya's Battlesong,Moonstone Renewer,UTILITY,6439.0,0.0,-27.05,1
Lulu,Swiftmarch,Moonstone Renewer,UTILITY,4764.0,0.0,4.77,1
Lulu,Shurelya's Battlesong,Swiftmarch,UTILITY,7272.0,0.0,0,1
Nami,Redemption,Moonstone Renewer,UTILITY,6436.0,0.0,5.98,1
Nami,Ardent Censer,Redemption,UTILITY,8256.0,0.0,-45.64,1
Nami,Ardent Censer,Moonstone Renewer,UTILITY,6160.0,100.0,2.57,1
Nami,Swiftmarch,Ardent Censer,UTILITY,7887.0,100.0,31.99,1
Swain,Redemption,None,UTILITY,4115.0,100.0,19.53,1
Swain,Crimson Lucidity,Redemption,UTILITY,5313.0,100.0,51.98,1
Swain,Ardent Censer,Crimson Lucidity,UTILITY,7167.0,100.0,35.99,1
Mel,Moonstone Renewer,None,UTILITY,3094.0,100.0,32.37,1
Mel,Imperial Mandate,None,UTILITY,4115.0,0.0,21.38,1
Mel,Imperial Mandate,Imperial Mandate,UTILITY,4268.0,0.0,29.92,1
Lux,Crimson Lucidity,Moonstone Renewer,UTILITY,5191.0,100.0,0,1
Lux,Shurelya's Battlesong,None,UTILITY,4295.0,100.0,42.25,1
Lux,Swiftmarch,Shurelya's Battlesong,UTILITY,5020.0,100.0,30.41,1
Lux,Imperial Mandate,Swiftmarch,UTILITY,8642.0,100.0,44.47,1
Lux,Redemption,Moonstone Renewer,UTILITY,7155.0,0.0,0,1
TahmKench,Redemption,Moonstone Renewer,UTILITY,6769.0,100.0,-0.97,1
TahmKench,Ardent Censer,Redemption,UTILITY,8488.0,100.0,0,1
TahmKench,Crimson Lucidity,Moonstone Renewer,UTILITY,5881.0,0.0,-6.01,1
TahmKench,Redemption,Crimson Lucidity,UTILITY,6643.0,0.0,-27.91,1
TahmKench,Dawncore,Redemption,UTILITY,9661.0,0.0,0,1
Rakan,Moonstone Renewer,Moonstone Renewer,UTILITY,4793.0,0.0,-28.16,1
Rakan,Redemption,Moonstone Renewer,UTILITY,6259.0,0.0,0,1
Rakan,Swiftmarch,Moonstone Renewer,UTILITY,4612.0,0.0,-9.34,1
Rakan,Imperial Mandate,Swiftmarch,UTILITY,6761.0,0.0,0,1
Nidalee,Moonstone Renewer,None,UTILITY,4283.0,0.0,-31.06,1
Nidalee,Redemption,Moonstone Renewer,UTILITY,6257.0,0.0,0,1
Velkoz,Moonstone Renewer,None,UTILITY,3584.0,100.0,-19.84,1
Velkoz,Swiftmarch,Moonstone Renewer,UTILITY,4752.0,100.0,-8.78,1
Velkoz,Redemption,Swiftmarch,UTILITY,6550.0,100.0,0,1
Thresh,Imperial Mandate,None,UTILITY,3132.0,100.0,31.4,1
Thresh,Shurelya's Battlesong,Imperial Mandate,UTILITY,5945.0,100.0,96.9,1
Thresh,Moonstone Renewer,Shurelya's Battlesong,UTILITY,8467.0,100.0,0,1
Thresh,Redemption,Moonstone Renewer,UTILITY,6715.0,0.0,13.66,1
Thresh,Shurelya's Battlesong,Redemption,UTILITY,8299.0,0.0,0,1
Rell,Imperial Mandate,None,UTILITY,4356.0,100.0,-11.53,1
Rell,Moonstone Renewer,Imperial Mandate,UTILITY,6616.0,100.0,0,1
Alistar,Shurelya's Battlesong,None,UTILITY,4698.0,0.0,0,1
Viego,Nashor's Tooth,None,JUNGLE,4387.0,0.0,0,1
Zilean,Redemption,Moonstone Renewer,UTILITY,6324.0,0.0,1.45,1
Zilean,Shurelya's Battlesong,Redemption,UTILITY,8984.0,0.0,18.41,1
Elise,Shurelya's Battlesong,None,UTILITY,4707.0,100.0,48.26,1
Elise,Moonstone Renewer,Shurelya's Battlesong,UTILITY,6218.0,100.0,0,1
Pantheon,Moonstone Renewer,None,UTILITY,3153.0,0.0,0.45,1
Pantheon,Redemption,Moonstone Renewer,UTILITY,6693.0,0.0,-35.72,1
Nautilus,Moonstone Renewer,None,UTILITY,3199.0,0.0,-16.13,1
Nautilus,Shurelya's Battlesong,Moonstone Renewer,UTILITY,6294.0,0.0,-40.72,1
Nautilus,Swiftmarch,Shurelya's Battlesong,UTILITY,6787.0,0.0,-36.28,1
