VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Trundle,Sundered Sky,None,JUNGLE,4229.0,100.0,30.84,3
Warwick,Sundered Sky,None,JUNGLE,3958.7,100.0,2.89,3
Viego,Sundered Sky,None,JUNGLE,3974.3,66.7,8.81,3
Diana,Sundered Sky,None,JUNGLE,4187.0,66.7,-8.23,3
Zac,Sundered Sky,None,JUNGLE,4389.7,33.3,13.32,3
Nocturne,Eclipse,None,JUNGLE,3679.5,0.0,-7.2,2
Nocturne,Sundered Sky,Eclipse,JUNGLE,6799.5,0.0,-51.08,2
Nocturne,Sundered Sky,None,JUNGLE,3877.0,100.0,43.12,2
Rengar,Eclipse,None,JUNGLE,4186.0,50.0,18.13,2
Trundle,Black Cleaver,Sundered Sky,JUNGLE,8708.5,100.0,-19.16,2
Warwick,Eclipse,Sundered Sky,JUNGLE,8064.5,100.0,3.14,2
Warwick,Eclipse,None,JUNGLE,5752.5,50.0,3.05,2
Hecarim,Eclipse,None,JUNGLE,3964.5,100.0,20.73,2
Hecarim,Sundered Sky,Eclipse,JUNGLE,6893.0,100.0,1.31,2
Viego,Black Cleaver,Sundered Sky,JUNGLE,8316.5,50.0,-18.43,2
Viego,Frozen Heart,Black Cleaver,JUNGLE,12135.0,100.0,-28.76,2
Viego,Eclipse,None,JUNGLE,4987.0,50.0,76.29,2
Shaco,Sundered Sky,None,JUNGLE,4086.5,0.0,14.22,2
Shaco,Black Cleaver,Sundered Sky,JUNGLE,8782.5,0.0,-19.9,2
Shaco,Profane Hydra,None,JUNGLE,4658.0,100.0,43.18,2
Lillia,Sundered Sky,None,JUNGLE,4013.0,0.0,-32.33,2
Udyr,Sundered Sky,None,JUNGLE,4143.5,0.0,18.61,2
Evelynn,Sundered Sky,None,JUNGLE,3734.0,50.0,19.02,2
Amumu,Sundered Sky,None,JUNGLE,3827.0,50.0,-5.34,2
Amumu,Black Cleaver,Sundered Sky,JUNGLE,8998.0,50.0,-1.23,2
Amumu,Sterak's Gage,Black Cleaver,JUNGLE,11491.0,50.0,62.21,2
Diana,Black Cleaver,Sundered Sky,JUNGLE,7849.0,50.0,1.31,2
Diana,Profane Hydra,None,JUNGLE,4342.5,50.0,12.91,2
Fizz,Profane Hydra,None,JUNGLE,3965.5,50.0,5.07,2
Chogath,Sundered Sky,None,JUNGLE,4521.5,100.0,24.71,2
Chogath,Black Cleaver,Sundered Sky,JUNGLE,8394.5,100.0,12.38,2
Malphite,Eclipse,None,JUNGLE,3815.0,0.0,25.05,2
Malphite,Sundered Sky,Eclipse,JUNGLE,7004.0,0.0,-32.66,2
Nocturne,Sterak's Gage,Sundered Sky,JUNGLE,7301.0,100.0,-19.64,1
Nocturne,Chainlaced Crushers,Sterak's Gage,JUNGLE,9759.0,100.0,19.13,1
Nocturne,Black Cleaver,Chainlaced Crushers,JUNGLE,11219.0,100.0,0,1
Nocturne,Eclipse,Sundered Sky,JUNGLE,8736.0,100.0,-35.8,1
Nocturne,Armored Advance,Eclipse,JUNGLE,9533.0,100.0,-33.76,1
Nocturne,Spirit Visage,Armored Advance,JUNGLE,10422.0,100.0,-5.47,1
Nocturne,Frozen Heart,Spirit Visage,JUNGLE,13299.0,100.0,0,1
Belveth,Eclipse,None,JUNGLE,3545.0,100.0,104.24,1
Belveth,Sundered Sky,Eclipse,JUNGLE,7533.0,100.0,1.11,1
Belveth,Frozen Heart,Sundered Sky,JUNGLE,9601.0,100.0,-14.27,1
Belveth,Spirit Visage,Frozen Heart,JUNGLE,13004.0,100.0,10.07,1
Belveth,Black Cleaver,Spirit Visage,JUNGLE,16013.0,100.0,0,1
Belveth,Sundered Sky,None,JUNGLE,4077.0,100.0,35.57,1
Belveth,Black Cleaver,Sundered Sky,JUNGLE,7908.0,100.0,36.18,1
Belveth,Eclipse,Black Cleaver,JUNGLE,11371.0,100.0,20.37,1
Belveth,Guardian Angel,Eclipse,JUNGLE,13992.0,100.0,9.86,1
Belveth,Randuin's Omen,Guardian Angel,JUNGLE,17168.0,100.0,0,1
Ekko,Eclipse,None,JUNGLE,3371.0,100.0,71.54,1
Ekko,Black Cleaver,Eclipse,JUNGLE,7701.0,100.0,14.41,1
Ekko,Sundered Sky,Black Cleaver,JUNGLE,11553.0,100.0,-13.23,1
Ekko,Frozen Heart,Sundered Sky,JUNGLE,13786.0,100.0,0,1
Ekko,Sundered Sky,None,JUNGLE,4735.0,100.0,40.69,1
Ekko,Spear of Shojin,Sundered Sky,JUNGLE,8536.0,100.0,26.58,1
Ekko,Chainlaced Crushers,Spear of Shojin,JUNGLE,11039.0,100.0,0,1
Ekko,Profane Hydra,None,JUNGLE,5422.0,100.0,42.64,1
Ekko,Axiom Arc,Profane Hydra,JUNGLE,7406.0,100.0,20.0,1
Ekko,Edge of Night,Axiom Arc,JUNGLE,10457.0,100.0,0,1
