VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Aatrox,Youmuu's Ghostblade,None,TOP,4496.5,50.0,29.39,2
Aatrox,Manamune,Youmuu's Ghostblade,TOP,7121.0,50.0,5.6,2
Aatrox,Manamune,Manamune,TOP,7228.0,50.0,9.21,2
Riven,Eclipse,None,TOP,3742.0,50.0,29.78,2
Riven,Manamune,Eclipse,TOP,7204.0,50.0,46.12,2
Riven,Manamune,Manamune,TOP,8060.5,50.0,30.85,2
Singed,Eclipse,None,TOP,4049.5,100.0,27.23,2
Kayle,Manamune,Manamune,TOP,8620.0,100.0,14.38,2
Ambessa,Youmuu's Ghostblade,None,TOP,3825.0,100.0,14.07,1
Ambessa,Manamune,Youmuu's Ghostblade,TOP,7063.0,100.0,-0.24,1
Ambessa,Manamune,Manamune,TOP,7340.0,100.0,-0.93,1
Ambessa,Serylda's Grudge,Manamune,TOP,10285.0,100.0,9.12,1
Pantheon,Black Cleaver,None,TOP,4363.0,100.0,-3.92,1
Pantheon,Spear of Shojin,Black Cleaver,TOP,8194.0,100.0,-17.95,1
Pantheon,Manamune,Spear of Shojin,TOP,11416.0,100.0,0,1
Pantheon,Manamune,Manamune,TOP,11416.0,100.0,0,1
Lux,Eclipse,None,MIDDLE,3765.0,100.0,34.28,1
Lux,Manamune,Eclipse,MIDDLE,7454.0,100.0,48.48,1
Lux,Manamune,Manamune,MIDDLE,7454.0,100.0,48.51,1
Lux,Spear of Shojin,Manamune,MIDDLE,11254.0,100.0,0,1
Lux,Chainlaced Crushers,Spear of Shojin,MIDDLE,11254.0,100.0,0,1
Aatrox,Eclipse,Manamune,TOP,12058.0,0.0,0,1
Aatrox,Mortal Reminder,Eclipse,TOP,14559.0,0.0,0,1
Aatrox,Serylda's Grudge,Manamune,TOP,9765.0,100.0,17.65,1
Aatrox,Eclipse,Serylda's Grudge,TOP,13742.0,100.0,15.97,1
Aatrox,Serpent's Fang,Eclipse,TOP,15203.0,100.0,0,1
Shyvana,Youmuu's Ghostblade,None,TOP,4836.0,0.0,-15.43,1
Shyvana,Manamune,Youmuu's Ghostblade,TOP,6706.0,0.0,-34.89,1
Shyvana,Manamune,Manamune,TOP,6706.0,0.0,-33.22,1
Shyvana,Serpent's Fang,Manamune,TOP,8463.0,0.0,-20.65,1
Kennen,Youmuu's Ghostblade,None,TOP,4206.0,0.0,0,1
Syndra,Eclipse,None,MIDDLE,4110.0,0.0,8.78,1
Syndra,Manamune,Eclipse,MIDDLE,7483.0,0.0,-27.34,1
Syndra,Crimson Lucidity,Manamune,MIDDLE,7606.0,0.0,-25.02,1
Syndra,Manamune,Crimson Lucidity,MIDDLE,8536.0,0.0,0,1
Riven,Serylda's Grudge,Manamune,TOP,10441.0,100.0,12.85,1
Riven,Crimson Lucidity,Serylda's Grudge,TOP,11005.0,100.0,2.37,1
Riven,Youmuu's Ghostblade,Crimson Lucidity,TOP,13233.0,100.0,-46.69,1
Riven,Black Cleaver,Manamune,TOP,11035.0,0.0,-28.0,1
