VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Caitlyn,The Collector,None,BOTTOM,4435.4,43.8,22.45,16
Caitlyn,Infinity Edge,The Collector,BOTTOM,8501.8,38.5,54.66,13
Kaisa,The Collector,None,BOTTOM,4617.1,66.7,20.27,12
MissFortune,The Collector,None,BOTTOM,4483.9,50.0,4.79,12
Smolder,The Collector,None,BOTTOM,4364.3,30.0,11.44,10
Jinx,The Collector,None,BOTTOM,4613.9,30.0,24.51,10
Jinx,Infinity Edge,The Collector,BOTTOM,8742.6,11.1,13.38,9
Lucian,The Collector,None,BOTTOM,4425.4,44.4,25.79,9
Twitch,The Collector,None,BOTTOM,4904.4,62.5,18.12,8
Ezreal,The Collector,None,BOTTOM,4617.0,37.5,15.34,8
Aphelios,The Collector,None,BOTTOM,5038.2,37.5,13.18,8
Twitch,Infinity Edge,The Collector,BOTTOM,8555.1,57.1,2.15,7
Sivir,The Collector,None,BOTTOM,4145.4,71.4,23.58,7
MissFortune,Infinity Edge,The Collector,BOTTOM,8332.0,71.4,2.44,7
Vayne,The Collector,None,BOTTOM,4943.4,28.6,9.05,7
Yunara,The Collector,None,BOTTOM,4523.0,28.6,5.82,7
Smolder,Infinity Edge,The Collector,BOTTOM,8360.0,33.3,7.84,6
Caitlyn,Rapid Firecannon,Infinity Edge,BOTTOM,11013.3,33.3,-17.73,6
Lucian,Infinity Edge,The Collector,BOTTOM,8309.3,50.0,26.37,6
Kaisa,Rapid Firecannon,The Collector,BOTTOM,8304.3,83.3,11.17,6
Yunara,Infinity Edge,The Collector,BOTTOM,9099.2,50.0,12.47,6
Zeri,The Collector,None,BOTTOM,4503.5,83.3,8.27,6
Caitlyn,Lord Dominik's Regards,Infinity Edge,BOTTOM,12272.6,60.0,-20.33,5
Jinx,Youmuu's Ghostblade,None,BOTTOM,4380.4,60.0,13.25,5
Kaisa,Infinity Edge,The Collector,BOTTOM,8718.6,80.0,49.98,5
Kaisa,Lord Dominik's Regards,Rapid Firecannon,BOTTOM,12006.4,60.0,76.31,5
Sivir,Infinity Edge,The Collector,BOTTOM,8263.0,100.0,12.15,5
Tristana,The Collector,None,BOTTOM,4337.0,40.0,4.11,5
Ashe,The Collector,None,BOTTOM,4567.8,80.0,8.32,5
MissFortune,Rapid Firecannon,The Collector,BOTTOM,8865.6,40.0,-16.81,5
Vayne,Infinity Edge,The Collector,BOTTOM,8517.6,20.0,10.96,5
Caitlyn,Youmuu's Ghostblade,None,BOTTOM,4486.5,50.0,2.26,4
Twitch,Swiftmarch,Infinity Edge,BOTTOM,9740.2,100.0,18.06,4
Kaisa,Rapid Firecannon,Infinity Edge,BOTTOM,12927.8,75.0,3.12,4
Sivir,Rapid Firecannon,Infinity Edge,BOTTOM,11445.2,75.0,27.36,4
Xayah,The Collector,None,BOTTOM,4409.2,50.0,23.65,4
Tristana,Infinity Edge,The Collector,BOTTOM,9939.2,25.0,24.36,4
Ashe,Infinity Edge,The Collector,BOTTOM,8188.0,75.0,5.92,4
Aphelios,Infinity Edge,The Collector,BOTTOM,8096.2,50.0,2.65,4
Yunara,Youmuu's Ghostblade,None,BOTTOM,4552.8,75.0,22.57,4
Zeri,Infinity Edge,The Collector,BOTTOM,8385.2,100.0,7.36,4
Varus,Youmuu's Ghostblade,None,BOTTOM,4063.8,75.0,39.31,4
Smolder,Rapid Firecannon,Infinity Edge,BOTTOM,11404.3,33.3,31.43,3
Smolder,Youmuu's Ghostblade,None,BOTTOM,3691.0,66.7,22.8,3
Smolder,Rapid Firecannon,The Collector,BOTTOM,8574.0,0.0,-3.76,3
Ziggs,The Collector,None,BOTTOM,4608.7,33.3,-6.75,3
Caitlyn,Rapid Firecannon,The Collector,BOTTOM,7197.0,33.3,25.08,3
Jinx,Rapid Firecannon,Infinity Edge,BOTTOM,12366.7,33.3,-4.28,3
Jinx,Rapid Firecannon,The Collector,BOTTOM,7546.0,66.7,37.67,3
Jinx,Infinity Edge,Rapid Firecannon,BOTTOM,10686.3,100.0,33.23,3
Jinx,The Collector,Youmuu's Ghostblade,BOTTOM,7980.0,33.3,40.9,3
Lucian,Lord Dominik's Regards,Infinity Edge,BOTTOM,11276.7,66.7,39.27,3
Kaisa,Youmuu's Ghostblade,None,BOTTOM,4233.7,66.7,32.99,3
Ezreal,Infinity Edge,The Collector,BOTTOM,8322.0,0.0,-1.9,3
Ezreal,Lord Dominik's Regards,Rapid Firecannon,BOTTOM,12650.3,33.3,27.0,3
