VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
MissFortune,Kraken Slayer,None,BOTTOM,4281.1,33.3,27.19,27
MissFortune,Guinsoo's Rageblade,Kraken Slayer,BOTTOM,7841.7,30.8,17.05,26
Caitlyn,Kraken Slayer,None,BOTTOM,4045.7,54.5,28.95,22
Caitlyn,Guinsoo's Rageblade,Kraken Slayer,BOTTOM,7736.9,60.0,35.32,20
Jinx,Kraken Slayer,None,BOTTOM,4300.0,80.0,23.76,15
Jinx,Guinsoo's Rageblade,Kraken Slayer,BOTTOM,7913.8,85.7,16.46,14
Caitlyn,Nashor's Tooth,Guinsoo's Rageblade,BOTTOM,10495.9,53.8,37.54,13
Ashe,Kraken Slayer,None,BOTTOM,4309.7,50.0,21.53,12
Jhin,Kraken Slayer,None,BOTTOM,3984.5,25.0,16.66,12
MissFortune,Nashor's Tooth,Guinsoo's Rageblade,BOTTOM,10694.5,33.3,25.83,12
Smolder,Kraken Slayer,None,BOTTOM,3921.0,41.7,25.58,12
Smolder,Guinsoo's Rageblade,Kraken Slayer,BOTTOM,7778.2,41.7,24.38,12
Ashe,Guinsoo's Rageblade,Kraken Slayer,BOTTOM,8073.5,45.5,25.23,11
Vayne,Kraken Slayer,None,BOTTOM,3923.4,63.6,28.38,11
Vayne,Guinsoo's Rageblade,Kraken Slayer,BOTTOM,7634.5,63.6,33.45,11
Ezreal,Kraken Slayer,None,BOTTOM,4154.9,60.0,25.34,10
Jhin,Guinsoo's Rageblade,Kraken Slayer,BOTTOM,8000.4,20.0,16.92,10
Sivir,Kraken Slayer,None,BOTTOM,3968.6,55.6,33.89,9
Sivir,Guinsoo's Rageblade,Kraken Slayer,BOTTOM,7589.1,55.6,53.48,9
Yunara,Kraken Slayer,None,BOTTOM,4144.3,44.4,27.64,9
Ezreal,Guinsoo's Rageblade,Kraken Slayer,BOTTOM,7883.6,50.0,5.84,8
Yunara,Guinsoo's Rageblade,Kraken Slayer,BOTTOM,7562.9,50.0,2.08,8
Lucian,Kraken Slayer,None,BOTTOM,3909.9,50.0,14.56,8
Lucian,Guinsoo's Rageblade,Kraken Slayer,BOTTOM,7665.2,50.0,32.39,8
KogMaw,Kraken Slayer,None,BOTTOM,4093.7,16.7,14.79,6
Tristana,Kraken Slayer,None,BOTTOM,4620.2,50.0,18.58,6
Tristana,Guinsoo's Rageblade,Kraken Slayer,BOTTOM,7602.5,50.0,16.53,6
Jhin,Nashor's Tooth,Guinsoo's Rageblade,BOTTOM,10930.5,16.7,55.4,6
Jinx,Gunmetal Greaves,Guinsoo's Rageblade,BOTTOM,9157.7,100.0,16.77,6
Jinx,Nashor's Tooth,Guinsoo's Rageblade,BOTTOM,10386.5,50.0,25.26,6
Twitch,Kraken Slayer,None,BOTTOM,3872.3,33.3,23.11,6
Samira,Kraken Slayer,None,BOTTOM,4181.0,83.3,31.55,6
Samira,Guinsoo's Rageblade,Kraken Slayer,BOTTOM,7808.0,83.3,16.05,6
Ashe,Nashor's Tooth,Guinsoo's Rageblade,BOTTOM,10431.4,20.0,-9.65,5
Draven,Kraken Slayer,None,BOTTOM,3858.4,40.0,31.28,5
Draven,Guinsoo's Rageblade,Kraken Slayer,BOTTOM,7666.8,40.0,42.6,5
MissFortune,Gunmetal Greaves,Guinsoo's Rageblade,BOTTOM,9541.2,60.0,-11.43,5
Sivir,Nashor's Tooth,Guinsoo's Rageblade,BOTTOM,10808.6,60.0,19.57,5
Twitch,Guinsoo's Rageblade,Kraken Slayer,BOTTOM,7623.4,40.0,32.72,5
Vayne,Nashor's Tooth,Guinsoo's Rageblade,BOTTOM,11233.4,40.0,20.78,5
Ezreal,Nashor's Tooth,Guinsoo's Rageblade,BOTTOM,10931.2,25.0,-14.34,4
Kalista,Kraken Slayer,None,BOTTOM,3956.8,25.0,17.93,4
Kalista,Guinsoo's Rageblade,Kraken Slayer,BOTTOM,7661.8,25.0,44.0,4
KogMaw,Guinsoo's Rageblade,Kraken Slayer,BOTTOM,7497.0,25.0,3.61,4
