VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Sylas,Blackfire Torch,None,JUNGLE,4365.5,50.0,-16.93,2
Jax,Blackfire Torch,None,JUNGLE,5252.0,50.0,29.58,2
Nunu,Malignance,None,JUNGLE,3374.0,100.0,-2.26,1
Nunu,Liandry's Torment,Malignance,JUNGLE,7415.0,100.0,17.67,1
Nunu,Shadowflame,Liandry's Torment,JUNGLE,10440.0,100.0,0,1
Aurora,Rod of Ages,None,MIDDLE,3110.0,100.0,14.16,1
Aurora,Zhonya's Hourglass,Rod of Ages,MIDDLE,7504.0,100.0,29.02,1
Aurora,Liandry's Torment,Zhonya's Hourglass,MIDDLE,10750.0,100.0,-15.79,1
Aurora,Rabadon's Deathcap,Liandry's Torment,MIDDLE,13345.0,100.0,0,1
Udyr,Blackfire Torch,None,JUNGLE,5943.0,100.0,0,1
Zac,Blackfire Torch,None,JUNGLE,4893.0,0.0,26.45,1
Zac,Liandry's Torment,Blackfire Torch,JUNGLE,8179.0,0.0,11.82,1
Caitlyn,Blackfire Torch,None,BOTTOM,4052.0,100.0,-19.49,1
Caitlyn,Liandry's Torment,Blackfire Torch,BOTTOM,7604.0,100.0,49.97,1
Caitlyn,Zhonya's Hourglass,Liandry's Torment,BOTTOM,11598.0,100.0,2.89,1
Sylas,Liandry's Torment,Blackfire Torch,JUNGLE,8646.0,100.0,6.0,1
Sylas,Spellslinger's Shoes,Liandry's Torment,JUNGLE,8646.0,100.0,6.15,1
Sylas,Shadowflame,Blackfire Torch,JUNGLE,7984.0,0.0,0,1
Evelynn,Blackfire Torch,None,JUNGLE,4157.0,0.0,-12.43,1
Evelynn,Shadowflame,Blackfire Torch,JUNGLE,7903.0,0.0,-33.96,1
Evelynn,Spellslinger's Shoes,Shadowflame,JUNGLE,8497.0,0.0,-12.22,1
Evelynn,Zhonya's Hourglass,Spellslinger's Shoes,JUNGLE,11918.0,0.0,0,1
Qiyana,Blackfire Torch,None,JUNGLE,3309.0,0.0,22.86,1
Qiyana,Void Staff,Blackfire Torch,JUNGLE,9037.0,0.0,48.27,1
Qiyana,Rabadon's Deathcap,Void Staff,JUNGLE,10928.0,0.0,41.39,1
Qiyana,Rabadon's Deathcap,Rabadon's Deathcap,JUNGLE,10928.0,0.0,42.25,1
Qiyana,Zhonya's Hourglass,Rabadon's Deathcap,JUNGLE,16071.0,0.0,-0.54,1
Qiyana,Morellonomicon,Zhonya's Hourglass,JUNGLE,17297.0,0.0,53.55,1
Qiyana,Shadowflame,Morellonomicon,JUNGLE,19912.0,0.0,31.56,1
Qiyana,Morellonomicon,Shadowflame,JUNGLE,23522.0,0.0,0,1
Qiyana,Stormsurge,Morellonomicon,JUNGLE,23522.0,0.0,0,1
Briar,Blackfire Torch,None,JUNGLE,4176.0,0.0,-4.37,1
Briar,Shadowflame,Blackfire Torch,JUNGLE,8435.0,0.0,21.69,1
Briar,Spellslinger's Shoes,Shadowflame,JUNGLE,9515.0,0.0,-31.75,1
Briar,Rabadon's Deathcap,Spellslinger's Shoes,JUNGLE,12292.0,0.0,-13.95,1
Viego,Liandry's Torment,None,JUNGLE,3972.0,0.0,-16.43,1
Viego,Malignance,Liandry's Torment,JUNGLE,7752.0,0.0,-9.68,1
Viego,Rabadon's Deathcap,Malignance,JUNGLE,11479.0,0.0,33.66,1
Viego,Shadowflame,Rabadon's Deathcap,JUNGLE,14359.0,0.0,-26.67,1
Viego,Void Staff,Shadowflame,JUNGLE,17819.0,0.0,-16.36,1
Viego,Horizon Focus,Void Staff,JUNGLE,20842.0,0.0,73.67,1
Aphelios,Blackfire Torch,None,BOTTOM,3432.0,0.0,-23.16,1
Aphelios,Malignance,Blackfire Torch,BOTTOM,6506.0,0.0,10.36,1
Aphelios,Spellslinger's Shoes,Malignance,BOTTOM,7551.0,0.0,29.5,1
Aphelios,Shadowflame,Spellslinger's Shoes,BOTTOM,10756.0,0.0,0,1
Shaco,Malignance,None,JUNGLE,3796.0,100.0,45.61,1
Shaco,Blackfire Torch,Malignance,JUNGLE,7854.0,100.0,51.72,1
Shaco,Rabadon's Deathcap,Blackfire Torch,JUNGLE,11512.0,100.0,7.2,1
Shaco,Shadowflame,Rabadon's Deathcap,JUNGLE,14717.0,100.0,0,1
Jax,Shadowflame,Blackfire Torch,JUNGLE,7742.0,0.0,-22.23,1
Jax,Liandry's Torment,Shadowflame,JUNGLE,11416.0,0.0,-7.7,1
Jax,Rabadon's Deathcap,Liandry's Torment,JUNGLE,13974.0,0.0,0,1
Jax,Liandry's Torment,Blackfire Torch,JUNGLE,8670.0,100.0,47.04,1
Jax,Shadowflame,Liandry's Torment,JUNGLE,10587.0,100.0,39.96,1
Jax,Spellslinger's Shoes,Shadowflame,JUNGLE,12966.0,100.0,0,1
Xayah,Malignance,None,BOTTOM,4487.0,100.0,-7.7,1
Xayah,Liandry's Torment,Malignance,BOTTOM,8342.0,100.0,-3.77,1
Mel,Malignance,None,BOTTOM,4458.0,100.0,-9.7,1
Mel,Shadowflame,Malignance,BOTTOM,7586.0,100.0,-1.25,1
Mel,Spellslinger's Shoes,Shadowflame,BOTTOM,9196.0,100.0,0,1
Zed,Blackfire Torch,None,JUNGLE,4204.0,100.0,32.26,1
Zed,Malignance,Blackfire Torch,JUNGLE,7499.0,100.0,0,1
