VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Sion,Hextech Rocketbelt,None,TOP,4357.5,0.0,9.22,2
Yasuo,Hextech Rocketbelt,None,TOP,3513.0,50.0,21.76,2
Yasuo,Zhonya's Hourglass,Hextech Rocketbelt,TOP,7715.0,50.0,8.8,2
Akali,Hextech Rocketbelt,None,MIDDLE,4147.0,50.0,26.17,2
Akali,Shadowflame,Hextech Rocketbelt,MIDDLE,7708.0,50.0,10.86,2
Riven,Liandry's Torment,None,TOP,4212.5,50.0,43.25,2
Urgot,Hextech Rocketbelt,None,TOP,5103.0,0.0,63.9,1
Urgot,Zhonya's Hourglass,Hextech Rocketbelt,TOP,7955.0,0.0,14.24,1
Urgot,Shadowflame,Zhonya's Hourglass,TOP,10765.0,0.0,-31.16,1
Sion,Shadowflame,Hextech Rocketbelt,TOP,7586.0,0.0,-26.66,1
Sion,Liandry's Torment,Hextech Rocketbelt,TOP,7075.0,0.0,-32.61,1
Sion,Spellslinger's Shoes,Liandry's Torment,TOP,9466.0,0.0,27.2,1
Sion,Zhonya's Hourglass,Spellslinger's Shoes,TOP,11630.0,0.0,-43.73,1
Yasuo,Spellslinger's Shoes,Zhonya's Hourglass,TOP,8498.0,0.0,65.58,1
Yasuo,Rabadon's Deathcap,Spellslinger's Shoes,TOP,12453.0,0.0,-32.08,1
Yasuo,Stormsurge,Rabadon's Deathcap,TOP,14445.0,0.0,0,1
Yasuo,Stormsurge,Stormsurge,TOP,14445.0,0.0,0,1
Yasuo,Armored Advance,Zhonya's Hourglass,TOP,8651.0,100.0,-21.28,1
Yasuo,Shadowflame,Armored Advance,TOP,11421.0,100.0,0,1
Yasuo,Hextech Rocketbelt,None,MIDDLE,3577.0,100.0,23.76,1
Yasuo,Shadowflame,Hextech Rocketbelt,MIDDLE,7453.0,100.0,15.52,1
Yasuo,Rabadon's Deathcap,Shadowflame,MIDDLE,11165.0,100.0,0,1
Trundle,Hextech Rocketbelt,None,TOP,3793.0,0.0,-19.52,1
Trundle,Shadowflame,Hextech Rocketbelt,TOP,7161.0,0.0,-1.66,1
Trundle,Zhonya's Hourglass,Shadowflame,TOP,10260.0,0.0,0,1
Qiyana,Hextech Rocketbelt,None,TOP,4639.0,0.0,-13.69,1
Qiyana,Shadowflame,Hextech Rocketbelt,TOP,7932.0,0.0,0,1
Garen,Hextech Rocketbelt,None,TOP,3299.0,100.0,52.68,1
Garen,Rabadon's Deathcap,Hextech Rocketbelt,TOP,7647.0,100.0,3.89,1
Garen,Void Staff,Rabadon's Deathcap,TOP,10678.0,100.0,69.67,1
Garen,Spellslinger's Shoes,Void Staff,TOP,11391.0,100.0,74.81,1
Garen,Zhonya's Hourglass,Spellslinger's Shoes,TOP,15520.0,100.0,11.29,1
Garen,Banshee's Veil,Zhonya's Hourglass,TOP,17441.0,100.0,35.97,1
Orianna,Hextech Rocketbelt,None,MIDDLE,5259.0,0.0,73.6,1
Orianna,Shadowflame,Hextech Rocketbelt,MIDDLE,8599.0,0.0,33.64,1
Orianna,Zhonya's Hourglass,Shadowflame,MIDDLE,11137.0,0.0,75.07,1
Orianna,Void Staff,Zhonya's Hourglass,MIDDLE,15394.0,0.0,-19.98,1
Jayce,Stormsurge,None,TOP,3604.0,100.0,50.89,1
Yone,Hextech Rocketbelt,None,TOP,3469.0,100.0,11.6,1
Yone,Shadowflame,Hextech Rocketbelt,TOP,7547.0,100.0,36.77,1
Yone,Rabadon's Deathcap,Shadowflame,TOP,13482.0,100.0,0,1
Sylas,Liandry's Torment,None,TOP,4156.0,100.0,9.09,1
Anivia,Stormsurge,None,TOP,3774.0,0.0,28.55,1
Anivia,Hextech Rocketbelt,None,MIDDLE,3635.0,0.0,11.21,1
Anivia,Shadowflame,Hextech Rocketbelt,MIDDLE,7415.0,0.0,85.55,1
Anivia,Zhonya's Hourglass,Shadowflame,MIDDLE,10881.0,0.0,-19.03,1
Vi,Hextech Rocketbelt,None,TOP,4487.0,100.0,60.15,1
Vi,Shadowflame,Hextech Rocketbelt,TOP,8404.0,100.0,-14.84,1
Vi,Void Staff,Shadowflame,TOP,10166.0,100.0,0.48,1
Vi,Rabadon's Deathcap,Void Staff,TOP,13463.0,100.0,61.62,1
Vi,Spellslinger's Shoes,Rabadon's Deathcap,TOP,16086.0,100.0,19.01,1
Vi,Zhonya's Hourglass,Spellslinger's Shoes,TOP,17586.0,100.0,22.57,1
Vi,Hextech Rocketbelt,Zhonya's Hourglass,TOP,20892.0,100.0,0,1
Vi,Banshee's Veil,Hextech Rocketbelt,TOP,21015.0,100.0,0,1
Malzahar,Hextech Rocketbelt,None,MIDDLE,4552.0,0.0,-16.82,1
Malzahar,Shadowflame,Hextech Rocketbelt,MIDDLE,8442.0,0.0,47.7,1
Malzahar,Zhonya's Hourglass,Shadowflame,MIDDLE,10607.0,0.0,-4.08,1
DrMundo,Hextech Rocketbelt,None,TOP,5559.0,0.0,-23.46,1
DrMundo,Zhonya's Hourglass,Hextech Rocketbelt,TOP,8220.0,0.0,-22.6,1
DrMundo,Spellslinger's Shoes,Zhonya's Hourglass,TOP,9406.0,0.0,-18.23,1
DrMundo,Shadowflame,Spellslinger's Shoes,TOP,11319.0,0.0,36.07,1
DrMundo,Stormsurge,Shadowflame,TOP,14032.0,0.0,0,1
Akali,Spellslinger's Shoes,Shadowflame,MIDDLE,9989.0,100.0,0,1
Hwei,Shadowflame,None,MIDDLE,3765.0,0.0,-33.69,1
Hwei,Hextech Rocketbelt,Shadowflame,MIDDLE,7547.0,0.0,-0.62,1
Aatrox,Shadowflame,None,TOP,4870.0,100.0,37.3,1
Aatrox,Zhonya's Hourglass,Shadowflame,TOP,9028.0,100.0,0.02,1
Aatrox,Rabadon's Deathcap,Zhonya's Hourglass,TOP,11177.0,100.0,0,1
Olaf,Morellonomicon,None,TOP,5075.0,100.0,-10.29,1
Olaf,Liandry's Torment,Morellonomicon,TOP,7672.0,100.0,58.38,1
Olaf,Shadowflame,Liandry's Torment,TOP,10966.0,100.0,0,1
Riven,Hextech Rocketbelt,Liandry's Torment,TOP,7434.0,0.0,33.94,1
Riven,Zhonya's Hourglass,Hextech Rocketbelt,TOP,11008.0,0.0,0,1
Riven,Shadowflame,Liandry's Torment,TOP,8160.0,100.0,85.9,1
Riven,Spellslinger's Shoes,Shadowflame,TOP,8160.0,100.0,86.38,1
Riven,Zhonya's Hourglass,Spellslinger's Shoes,TOP,12162.0,100.0,0,1
Fiora,Hextech Rocketbelt,None,TOP,5143.0,100.0,18.37,1
Fiora,Shadowflame,Hextech Rocketbelt,TOP,7685.0,100.0,24.79,1
Fiora,Spellslinger's Shoes,Shadowflame,TOP,8382.0,100.0,25.38,1
Fiora,Banshee's Veil,Spellslinger's Shoes,TOP,11483.0,100.0,0,1
Darius,Hextech Rocketbelt,None,TOP,4346.0,100.0,10.51,1
Shen,Shadowflame,None,TOP,5040.0,100.0,-2.43,1
Chogath,Shadowflame,None,TOP,5992.0,100.0,48.42,1
Chogath,Hextech Rocketbelt,Shadowflame,TOP,8102.0,100.0,68.58,1
Chogath,Spellslinger's Shoes,Hextech Rocketbelt,TOP,9811.0,100.0,0,1
Taliyah,Hextech Rocketbelt,None,MIDDLE,3447.0,100.0,-5.25,1
Taliyah,Shadowflame,Hextech Rocketbelt,MIDDLE,7445.0,100.0,-28.75,1
Taliyah,Zhonya's Hourglass,Shadowflame,MIDDLE,11414.0,100.0,37.32,1
Taliyah,Spellslinger's Shoes,Zhonya's Hourglass,MIDDLE,11414.0,100.0,37.37,1
Taliyah,Rabadon's Deathcap,Spellslinger's Shoes,MIDDLE,15066.0,100.0,-24.73,1
Taliyah,Liandry's Torment,Rabadon's Deathcap,MIDDLE,16844.0,100.0,62.38,1
Taliyah,Liandry's Torment,Liandry's Torment,MIDDLE,21383.0,100.0,0,1
Taliyah,Stormsurge,Liandry's Torment,MIDDLE,21383.0,100.0,0,1
Illaoi,Shadowflame,None,TOP,4683.0,0.0,-0.97,1
Illaoi,Hextech Rocketbelt,Shadowflame,TOP,6943.0,0.0,9.74,1
Illaoi,Rabadon's Deathcap,Hextech Rocketbelt,TOP,11260.0,0.0,0,1
Smolder,Shadowflame,None,TOP,6333.0,100.0,57.1,1
Smolder,Stormsurge,Shadowflame,TOP,8226.0,100.0,33.95,1
Ornn,Liandry's Torment,None,TOP,4029.0,0.0,81.62,1
Ornn,Zhonya's Hourglass,Liandry's Torment,TOP,7787.0,0.0,-17.07,1
Ornn,Shadowflame,Zhonya's Hourglass,TOP,10847.0,0.0,-33.53,1
Ornn,Rabadon's Deathcap,Shadowflame,TOP,14233.0,0.0,0,1
