VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
MonkeyKing,Youmuu's Ghostblade,None,JUNGLE,4090.3,33.3,2.48,3
Nocturne,Youmuu's Ghostblade,None,JUNGLE,4529.7,33.3,18.8,3
Shaco,Youmuu's Ghostblade,None,JUNGLE,4633.0,0.0,-4.24,3
Rengar,Youmuu's Ghostblade,None,JUNGLE,4295.7,33.3,24.82,3
Kayn,Youmuu's Ghostblade,None,JUNGLE,4015.0,0.0,44.53,2
Kayn,Edge of Night,Hubris,JUNGLE,10220.5,0.0,13.54,2
Nocturne,Edge of Night,Profane Hydra,JUNGLE,11305.5,0.0,35.42,2
Jax,Youmuu's Ghostblade,None,JUNGLE,3815.5,100.0,-8.23,2
Jax,Opportunity,Youmuu's Ghostblade,JUNGLE,7228.5,100.0,-8.3,2
Ekko,Youmuu's Ghostblade,None,JUNGLE,2943.5,50.0,42.29,2
Ekko,Maw of Malmortius,Edge of Night,JUNGLE,11955.5,50.0,4.44,2
Ivern,Edge of Night,Opportunity,JUNGLE,12087.0,50.0,4.79,2
Ivern,Youmuu's Ghostblade,None,JUNGLE,4835.0,50.0,49.17,2
Shaco,Edge of Night,Opportunity,JUNGLE,9063.0,50.0,-5.85,2
Viego,Youmuu's Ghostblade,None,JUNGLE,4701.0,50.0,5.69,2
Viego,Opportunity,Youmuu's Ghostblade,JUNGLE,7155.5,50.0,4.68,2
Viego,Edge of Night,Opportunity,JUNGLE,10181.0,50.0,10.27,2
Graves,Youmuu's Ghostblade,None,JUNGLE,3806.5,100.0,64.06,2
Zed,Youmuu's Ghostblade,None,JUNGLE,3969.0,0.0,33.4,2
Zed,Opportunity,Youmuu's Ghostblade,JUNGLE,6597.5,0.0,39.07,2
Briar,Hubris,None,JUNGLE,3612.0,50.0,-4.51,2
Briar,Opportunity,Hubris,JUNGLE,8312.0,50.0,-2.59,2
Qiyana,Opportunity,None,JUNGLE,3682.0,0.0,-32.76,2
Qiyana,Youmuu's Ghostblade,Opportunity,JUNGLE,7287.5,0.0,-15.6,2
Malphite,Youmuu's Ghostblade,None,JUNGLE,4251.0,0.0,-2.23,2
LeeSin,Profane Hydra,None,JUNGLE,4597.0,0.0,30.7,2
LeeSin,Axiom Arc,Profane Hydra,JUNGLE,7820.5,0.0,2.06,2
LeeSin,Edge of Night,Serylda's Grudge,JUNGLE,13669.0,0.0,-19.0,2
MonkeyKing,Edge of Night,Youmuu's Ghostblade,JUNGLE,8458.0,100.0,-8.8,1
MonkeyKing,Opportunity,Edge of Night,JUNGLE,9847.0,100.0,4.19,1
MonkeyKing,Serylda's Grudge,Opportunity,JUNGLE,14726.0,100.0,-13.85,1
MonkeyKing,Chainlaced Crushers,Serylda's Grudge,JUNGLE,14726.0,100.0,-13.78,1
MonkeyKing,Opportunity,Youmuu's Ghostblade,JUNGLE,7620.0,0.0,-29.42,1
MonkeyKing,Edge of Night,Opportunity,JUNGLE,10137.0,0.0,0,1
Kayn,Hubris,Youmuu's Ghostblade,JUNGLE,8640.0,0.0,-18.11,1
Kayn,Profane Hydra,Edge of Night,JUNGLE,14485.0,0.0,-65.34,1
Kayn,Serpent's Fang,Profane Hydra,JUNGLE,14607.0,0.0,0,1
Kayn,Hubris,None,JUNGLE,3797.0,0.0,46.45,1
Kayn,Opportunity,Youmuu's Ghostblade,JUNGLE,6917.0,0.0,-40.51,1
