VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Lillia,Infinity Edge,The Collector,JUNGLE,10098.0,100.0,-10.45,2
Shyvana,Trinity Force,None,JUNGLE,4226.5,50.0,11.71,2
Shyvana,The Collector,Trinity Force,JUNGLE,7905.0,50.0,39.69,2
JarvanIV,Kraken Slayer,None,JUNGLE,4229.0,100.0,42.28,2
JarvanIV,The Collector,Kraken Slayer,JUNGLE,8942.0,100.0,-11.51,2
Diana,Kraken Slayer,None,JUNGLE,4370.0,100.0,53.48,1
Diana,Wit's End,Kraken Slayer,JUNGLE,7776.0,100.0,36.22,1
Diana,Armored Advance,Wit's End,JUNGLE,10271.0,100.0,0,1
Diana,Trinity Force,None,JUNGLE,4170.0,100.0,58.33,1
Diana,The Collector,Trinity Force,JUNGLE,8463.0,100.0,-13.01,1
Diana,Infinity Edge,The Collector,JUNGLE,10937.0,100.0,34.6,1
Diana,Armored Advance,Infinity Edge,JUNGLE,13615.0,100.0,-39.79,1
Diana,Lord Dominik's Regards,Armored Advance,JUNGLE,15869.0,100.0,-25.13,1
Udyr,Kraken Slayer,None,JUNGLE,3995.0,0.0,-3.44,1
Udyr,The Collector,Kraken Slayer,JUNGLE,7147.0,0.0,0,1
Udyr,Trinity Force,None,JUNGLE,4320.0,0.0,40.64,1
Udyr,The Collector,Trinity Force,JUNGLE,8475.0,0.0,69.72,1
Udyr,Lord Dominik's Regards,The Collector,JUNGLE,11575.0,0.0,0,1
Rumble,Trinity Force,None,JUNGLE,4333.0,0.0,-9.4,1
Rumble,The Collector,Trinity Force,JUNGLE,8969.0,0.0,0,1
Amumu,Trinity Force,None,JUNGLE,4129.0,100.0,10.99,1
Amumu,The Collector,Trinity Force,JUNGLE,8607.0,100.0,30.74,1
Amumu,Infinity Edge,The Collector,JUNGLE,11872.0,100.0,37.24,1
Amumu,Lord Dominik's Regards,Infinity Edge,JUNGLE,15558.0,100.0,0,1
Amumu,Gunmetal Greaves,Lord Dominik's Regards,JUNGLE,15558.0,100.0,0,1
Amumu,Kraken Slayer,None,JUNGLE,3897.0,0.0,13.89,1
Amumu,The Collector,Kraken Slayer,JUNGLE,7618.0,0.0,0,1
Lillia,Trinity Force,None,JUNGLE,6269.0,100.0,17.87,1
Lillia,The Collector,Trinity Force,JUNGLE,8864.0,100.0,-18.38,1
Lillia,Rapid Firecannon,Infinity Edge,JUNGLE,14570.0,100.0,98.01,1
Lillia,Guardian Angel,Rapid Firecannon,JUNGLE,16869.0,100.0,0,1
Lillia,The Collector,None,JUNGLE,4205.0,100.0,41.95,1
Lillia,Gunmetal Greaves,Infinity Edge,JUNGLE,9364.0,100.0,18.77,1
Lillia,Rapid Firecannon,Gunmetal Greaves,JUNGLE,11634.0,100.0,0,1
Shyvana,Infinity Edge,The Collector,JUNGLE,11948.0,100.0,0,1
Shyvana,Lord Dominik's Regards,The Collector,JUNGLE,11135.0,0.0,-17.65,1
Shyvana,Infinity Edge,Lord Dominik's Regards,JUNGLE,14414.0,0.0,-27.87,1
Nidalee,Trinity Force,None,JUNGLE,5493.0,0.0,36.71,1
Nidalee,The Collector,Trinity Force,JUNGLE,8215.0,0.0,0,1
Gwen,Kraken Slayer,None,TOP,5160.0,0.0,105.52,1
