VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Darius,Titanic Hydra,None,TOP,4610.0,50.0,67.06,2
Camille,Titanic Hydra,None,TOP,4557.0,0.0,48.7,2
Malphite,Eclipse,None,TOP,3841.0,100.0,50.32,1
Malphite,Profane Hydra,Eclipse,TOP,9922.0,100.0,0,1
Malphite,Chainlaced Crushers,Profane Hydra,TOP,9922.0,100.0,0,1
Malphite,Profane Hydra,Chainlaced Crushers,TOP,9922.0,100.0,0,1
Olaf,Titanic Hydra,None,TOP,5769.0,100.0,-9.59,1
Olaf,Hullbreaker,Titanic Hydra,TOP,8130.0,100.0,-24.1,1
Olaf,Armored Advance,Hullbreaker,TOP,9154.0,100.0,-11.43,1
DrMundo,Titanic Hydra,None,TOP,5372.0,0.0,16.34,1
DrMundo,Hullbreaker,Titanic Hydra,TOP,7982.0,0.0,2.98,1
DrMundo,Armored Advance,Hullbreaker,TOP,10119.0,0.0,-38.3,1
Warwick,Titanic Hydra,None,TOP,6164.0,100.0,6.36,1
Warwick,Black Cleaver,Titanic Hydra,TOP,9865.0,100.0,0,1
Warwick,Armored Advance,Black Cleaver,TOP,9865.0,100.0,0,1
Darius,Hubris,None,TOP,3925.0,100.0,-13.36,1
Darius,Heartsteel,Hubris,TOP,7649.0,100.0,41.34,1
Darius,Armored Advance,Heartsteel,TOP,9479.0,100.0,29.49,1
Darius,Black Cleaver,Armored Advance,TOP,11311.0,100.0,12.24,1
Darius,Hullbreaker,Titanic Hydra,TOP,8261.0,100.0,50.3,1
Darius,Overlord's Bloodmail,Hullbreaker,TOP,11067.0,100.0,-14.4,1
Darius,Black Cleaver,Titanic Hydra,TOP,8639.0,0.0,-4.42,1
Jax,Titanic Hydra,None,TOP,4499.0,0.0,6.93,1
Jax,Black Cleaver,Titanic Hydra,TOP,8101.0,0.0,0,1
Camille,Black Cleaver,Titanic Hydra,TOP,8751.0,0.0,-27.35,1
Camille,Overlord's Bloodmail,Black Cleaver,TOP,11649.0,0.0,0,1
Camille,Hullbreaker,Titanic Hydra,TOP,7820.0,0.0,-13.45,1
Camille,Armored Advance,Hullbreaker,TOP,8647.0,0.0,22.1,1
Camille,Overlord's Bloodmail,Armored Advance,TOP,12778.0,0.0,0,1
Sion,Black Cleaver,None,TOP,4098.0,100.0,12.39,1
Sion,Hullbreaker,Black Cleaver,TOP,7609.0,100.0,0,1
Yone,Titanic Hydra,None,TOP,5642.0,0.0,-9.72,1
Yone,Hullbreaker,Titanic Hydra,TOP,8513.0,0.0,-24.05,1
Yone,Overlord's Bloodmail,Hullbreaker,TOP,13659.0,0.0,-5.9,1
Yone,Thornmail,Overlord's Bloodmail,TOP,15612.0,0.0,0,1
Irelia,Titanic Hydra,None,TOP,3842.0,0.0,57.45,1
Irelia,Black Cleaver,Titanic Hydra,TOP,9273.0,0.0,-25.28,1
Irelia,Armored Advance,Black Cleaver,TOP,9273.0,0.0,-25.12,1
Irelia,Sterak's Gage,Armored Advance,TOP,11703.0,0.0,-48.33,1
Irelia,Eclipse,Sterak's Gage,TOP,14592.0,0.0,-37.5,1
Irelia,Chempunk Chainsword,Eclipse,TOP,19113.0,0.0,0,1
Akali,Titanic Hydra,None,TOP,4241.0,100.0,80.51,1
Akali,Sterak's Gage,Titanic Hydra,TOP,8580.0,100.0,86.81,1
Akali,Chainlaced Crushers,Sterak's Gage,TOP,10500.0,100.0,0,1
TahmKench,Eclipse,None,TOP,3677.0,0.0,0,1
TahmKench,Hullbreaker,None,TOP,4108.0,0.0,10.33,1
TahmKench,Titanic Hydra,Hullbreaker,TOP,8086.0,0.0,5.61,1
Cassiopeia,Titanic Hydra,None,TOP,5216.0,0.0,52.0,1
Cassiopeia,Hullbreaker,Titanic Hydra,TOP,8041.0,0.0,0,1
Cassiopeia,Ravenous Hydra,None,TOP,5327.0,100.0,30.47,1
Cassiopeia,Ravenous Hydra,Ravenous Hydra,TOP,5327.0,100.0,34.5,1
Garen,Titanic Hydra,None,TOP,4372.0,100.0,12.77,1
Garen,Hullbreaker,Titanic Hydra,TOP,10037.0,100.0,30.5,1
Garen,Armored Advance,Hullbreaker,TOP,10037.0,100.0,31.13,1
Garen,Blade of The Ruined King,Armored Advance,TOP,11746.0,100.0,3.15,1
Garen,Armored Advance,Blade of The Ruined King,TOP,11746.0,100.0,6.9,1
Ornn,Eclipse,None,TOP,3844.0,0.0,-4.23,1
Ornn,Black Cleaver,Eclipse,TOP,7766.0,0.0,0.61,1
Ornn,Blade of The Ruined King,Black Cleaver,TOP,11860.0,0.0,-20.58,1
Ornn,Profane Hydra,Blade of The Ruined King,TOP,14064.0,0.0,0,1
Ornn,Titanic Hydra,None,TOP,5323.0,100.0,0,1
Fiora,Titanic Hydra,None,TOP,5758.0,0.0,21.82,1
Fiora,Hullbreaker,Titanic Hydra,TOP,10000.0,0.0,-7.45,1
Fiora,Spear of Shojin,Hullbreaker,TOP,12086.0,0.0,24.87,1
Gragas,Titanic Hydra,None,TOP,4575.0,100.0,-9.49,1
Gragas,Hullbreaker,Titanic Hydra,TOP,8103.0,100.0,19.12,1
Gragas,Overlord's Bloodmail,Hullbreaker,TOP,11946.0,100.0,0,1
