VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Kaisa,Blade of The Ruined King,None,BOTTOM,4707.6,100.0,7.04,5
Kaisa,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,9489.0,100.0,13.14,3
Caitlyn,Guinsoo's Rageblade,None,BOTTOM,4314.5,50.0,29.45,2
Kaisa,Wit's End,Guinsoo's Rageblade,BOTTOM,12366.0,100.0,0,1
Kaisa,Guinsoo's Rageblade,None,BOTTOM,4358.0,0.0,0,1
Kaisa,Luden's Companion,None,BOTTOM,3069.0,0.0,-7.11,1
Kaisa,Shadowflame,Luden's Companion,BOTTOM,6954.0,0.0,30.28,1
Kaisa,Rabadon's Deathcap,Shadowflame,BOTTOM,10215.0,0.0,-9.91,1
Kaisa,Zhonya's Hourglass,Rabadon's Deathcap,BOTTOM,14273.0,0.0,-12.97,1
Kaisa,Void Staff,Zhonya's Hourglass,BOTTOM,17967.0,0.0,0,1
Kaisa,Wit's End,Blade of The Ruined King,BOTTOM,7724.0,100.0,20.82,1
Kaisa,Gunmetal Greaves,Wit's End,BOTTOM,9595.0,100.0,1.13,1
Kaisa,Runaan's Hurricane,Gunmetal Greaves,BOTTOM,11128.0,100.0,47.67,1
Kaisa,Terminus,Runaan's Hurricane,BOTTOM,14256.0,100.0,0,1
Kaisa,Gunmetal Greaves,Guinsoo's Rageblade,BOTTOM,8874.0,100.0,54.95,1
Kaisa,Terminus,Gunmetal Greaves,BOTTOM,11840.0,100.0,0,1
Kaisa,Runaan's Hurricane,Guinsoo's Rageblade,BOTTOM,11813.0,100.0,41.86,1
Senna,Blade of The Ruined King,None,BOTTOM,4860.0,100.0,16.87,1
Senna,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,7963.0,100.0,46.65,1
Senna,Runaan's Hurricane,Guinsoo's Rageblade,BOTTOM,10439.0,100.0,23.41,1
Vayne,Blade of The Ruined King,None,BOTTOM,4408.0,0.0,18.81,1
Vayne,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,8267.0,0.0,11.31,1
Ekko,Luden's Companion,None,MIDDLE,4587.0,0.0,2.43,1
Ekko,Archangel's Staff,Luden's Companion,MIDDLE,7547.0,0.0,-1.75,1
Ekko,Archangel's Staff,Archangel's Staff,MIDDLE,7547.0,0.0,-1.75,1
Veigar,Guinsoo's Rageblade,None,BOTTOM,4441.0,0.0,-10.86,1
Veigar,Runaan's Hurricane,Guinsoo's Rageblade,BOTTOM,7691.0,0.0,-11.89,1
Veigar,Wit's End,Runaan's Hurricane,BOTTOM,10232.0,0.0,0,1
Leona,Rod of Ages,None,UTILITY,3185.0,100.0,12.81,1
Leona,Liandry's Torment,Rod of Ages,UTILITY,8330.0,100.0,24.17,1
Leona,Archangel's Staff,Liandry's Torment,UTILITY,10262.0,100.0,95.3,1
Leona,Archangel's Staff,Archangel's Staff,UTILITY,10262.0,100.0,95.3,1
Mel,Blade of The Ruined King,None,BOTTOM,3745.0,0.0,10.37,1
Mel,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,7813.0,0.0,89.67,1
Mel,Gunmetal Greaves,Guinsoo's Rageblade,BOTTOM,10252.0,0.0,-30.75,1
Mel,Runaan's Hurricane,Gunmetal Greaves,BOTTOM,10622.0,0.0,0,1
Mel,Gunmetal Greaves,Runaan's Hurricane,BOTTOM,11249.0,0.0,0,1
Smolder,Nashor's Tooth,None,BOTTOM,4494.0,0.0,7.95,1
Smolder,Archangel's Staff,Nashor's Tooth,BOTTOM,7720.0,0.0,-32.83,1
Smolder,Archangel's Staff,Archangel's Staff,BOTTOM,8079.0,0.0,-43.14,1
Smolder,Cosmic Drive,Archangel's Staff,BOTTOM,10684.0,0.0,0,1
MissFortune,Luden's Companion,None,BOTTOM,3760.0,0.0,32.53,1
MissFortune,Cryptbloom,Luden's Companion,BOTTOM,7725.0,0.0,-12.81,1
MissFortune,Spellslinger's Shoes,Cryptbloom,BOTTOM,9211.0,0.0,1.72,1
MissFortune,Shadowflame,Spellslinger's Shoes,BOTTOM,11616.0,0.0,29.69,1
MissFortune,Liandry's Torment,Shadowflame,BOTTOM,14122.0,0.0,0,1
MissFortune,Guinsoo's Rageblade,None,BOTTOM,3954.0,0.0,144.2,1
MissFortune,Terminus,Guinsoo's Rageblade,BOTTOM,7017.0,0.0,-43.9,1
Zeri,Guinsoo's Rageblade,None,BOTTOM,5292.0,100.0,3.33,1
Zeri,Blade of The Ruined King,Guinsoo's Rageblade,BOTTOM,7870.0,100.0,17.04,1
Zeri,Runaan's Hurricane,Blade of The Ruined King,BOTTOM,10971.0,100.0,53.95,1
Zeri,Gunmetal Greaves,Runaan's Hurricane,BOTTOM,10971.0,100.0,54.23,1
Zeri,Wit's End,Gunmetal Greaves,BOTTOM,13702.0,100.0,28.34,1
Zeri,"Jak'Sho, The Protean",Wit's End,BOTTOM,16919.0,100.0,0,1
Jhin,Luden's Companion,None,BOTTOM,4902.0,0.0,32.3,1
Jhin,Malignance,Luden's Companion,BOTTOM,7332.0,0.0,0,1
Jhin,Guinsoo's Rageblade,None,BOTTOM,4442.0,100.0,-3.02,1
Jhin,Terminus,Guinsoo's Rageblade,BOTTOM,7464.0,100.0,7.53,1
Jhin,Mercurial Scimitar,Terminus,BOTTOM,10988.0,100.0,0,1
Jhin,Blade of The Ruined King,None,BOTTOM,4833.0,100.0,1.19,1
Jhin,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,7974.0,100.0,53.23,1
Jhin,Runaan's Hurricane,Guinsoo's Rageblade,BOTTOM,10747.0,100.0,43.72,1
Jhin,Terminus,Runaan's Hurricane,BOTTOM,14403.0,100.0,-34.05,1
Caitlyn,Blade of The Ruined King,Guinsoo's Rageblade,BOTTOM,8667.0,100.0,0,1
Caitlyn,Gunmetal Greaves,Blade of The Ruined King,BOTTOM,8667.0,100.0,0,1
Caitlyn,Runaan's Hurricane,Guinsoo's Rageblade,BOTTOM,7775.0,0.0,-10.47,1
Caitlyn,Terminus,Runaan's Hurricane,BOTTOM,10342.0,0.0,0,1
Samira,Guinsoo's Rageblade,None,BOTTOM,5228.0,100.0,22.64,1
Samira,Terminus,Guinsoo's Rageblade,BOTTOM,8481.0,100.0,-8.15,1
Samira,Wit's End,Terminus,BOTTOM,11933.0,100.0,8.22,1
Jinx,Luden's Companion,None,BOTTOM,3338.0,0.0,36.23,1
Jinx,Shadowflame,Luden's Companion,BOTTOM,8204.0,0.0,34.73,1
Jinx,Terminus,Shadowflame,BOTTOM,10095.0,0.0,-8.35,1
Jinx,Blade of The Ruined King,None,BOTTOM,4770.0,0.0,-20.92,1
Yunara,Blade of The Ruined King,None,BOTTOM,5291.0,100.0,24.09,1
Yunara,Guinsoo's Rageblade,Blade of The Ruined King,BOTTOM,7675.0,100.0,36.6,1
Yunara,Runaan's Hurricane,Guinsoo's Rageblade,BOTTOM,10518.0,100.0,0,1
Ashe,Blade of The Ruined King,None,BOTTOM,6178.0,0.0,6.09,1
Ashe,Runaan's Hurricane,Blade of The Ruined King,BOTTOM,8048.0,0.0,0.07,1
Ashe,Mortal Reminder,Runaan's Hurricane,BOTTOM,10729.0,0.0,161.6,1
Ashe,Guardian Angel,Mortal Reminder,BOTTOM,15322.0,0.0,-57.04,1
Ashe,Gunmetal Greaves,Guardian Angel,BOTTOM,15322.0,0.0,-56.87,1
