VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Mel,Luden's Companion,None,MIDDLE,4082.6,40.0,43.31,5
Syndra,Luden's Companion,None,MIDDLE,3766.5,25.0,11.12,4
Syndra,Shadowflame,Luden's Companion,MIDDLE,7547.5,25.0,37.26,4
Yone,Luden's Companion,None,MIDDLE,4013.8,75.0,-1.51,4
Ahri,Luden's Companion,None,MIDDLE,4054.7,66.7,26.89,3
Ahri,Shadowflame,Luden's Companion,MIDDLE,8157.7,66.7,6.78,3
Mel,Stormsurge,Luden's Companion,MIDDLE,8057.7,33.3,-17.86,3
Malzahar,Luden's Companion,None,MIDDLE,4270.5,50.0,-1.35,2
Malzahar,Shadowflame,Luden's Companion,MIDDLE,7645.5,50.0,32.76,2
Malzahar,Rabadon's Deathcap,Shadowflame,MIDDLE,11212.0,50.0,-48.37,2
Yone,Shadowflame,Luden's Companion,MIDDLE,8106.5,50.0,43.78,2
Yone,Spellslinger's Shoes,Shadowflame,MIDDLE,8775.5,50.0,36.75,2
Kassadin,Luden's Companion,None,MIDDLE,4552.0,50.0,-4.21,2
Morgana,Luden's Companion,None,MIDDLE,3985.0,100.0,13.58,2
Morgana,Shadowflame,Luden's Companion,MIDDLE,8050.0,100.0,73.23,2
Xerath,Luden's Companion,None,MIDDLE,3890.5,50.0,-13.65,2
Diana,Luden's Companion,None,MIDDLE,4206.5,0.0,-19.03,2
Vladimir,Luden's Companion,None,MIDDLE,3805.5,100.0,15.77,2
Vladimir,Stormsurge,Luden's Companion,MIDDLE,7468.5,100.0,48.17,2
Mel,Spellslinger's Shoes,Stormsurge,MIDDLE,10036.0,50.0,28.45,2
Mel,Shadowflame,Luden's Companion,MIDDLE,8058.0,50.0,-23.16,2
Syndra,Void Staff,Shadowflame,MIDDLE,10958.0,0.0,0,1
Syndra,Zhonya's Hourglass,Shadowflame,MIDDLE,13000.0,0.0,-38.63,1
Syndra,Rabadon's Deathcap,Zhonya's Hourglass,MIDDLE,13000.0,0.0,-38.57,1
Syndra,Zhonya's Hourglass,Rabadon's Deathcap,MIDDLE,14414.0,0.0,34.89,1
Syndra,Spellslinger's Shoes,Zhonya's Hourglass,MIDDLE,15285.0,0.0,7.64,1
Syndra,Rabadon's Deathcap,Shadowflame,MIDDLE,13969.0,0.0,0,1
Syndra,Stormsurge,Rabadon's Deathcap,MIDDLE,14671.0,0.0,0,1
Nautilus,Luden's Companion,None,UTILITY,4090.0,100.0,62.21,1
Nautilus,Spellslinger's Shoes,Luden's Companion,UTILITY,5376.0,100.0,92.51,1
Nautilus,Shadowflame,Spellslinger's Shoes,UTILITY,7994.0,100.0,20.77,1
Nautilus,Stormsurge,Shadowflame,UTILITY,11023.0,100.0,69.42,1
Nautilus,Rabadon's Deathcap,Stormsurge,UTILITY,14441.0,100.0,12.1,1
Malzahar,Shadowflame,None,MIDDLE,5276.0,100.0,-15.05,1
Malzahar,Stormsurge,Shadowflame,MIDDLE,10368.0,100.0,34.31,1
Malzahar,Zhonya's Hourglass,Stormsurge,MIDDLE,12702.0,100.0,50.89,1
Lux,Luden's Companion,None,MIDDLE,3681.0,0.0,-5.37,1
Lux,Stormsurge,Luden's Companion,MIDDLE,7701.0,0.0,101.78,1
Lux,Rabadon's Deathcap,Stormsurge,MIDDLE,11529.0,0.0,-24.51,1
Yone,Stormsurge,Luden's Companion,MIDDLE,7406.0,100.0,11.32,1
Yone,Rabadon's Deathcap,Luden's Companion,MIDDLE,10045.0,100.0,-14.55,1
Yone,Shadowflame,Rabadon's Deathcap,MIDDLE,11731.0,100.0,-30.27,1
Yone,Void Staff,Spellslinger's Shoes,MIDDLE,11161.0,0.0,6.12,1
Kassadin,Cryptbloom,Luden's Companion,MIDDLE,7844.0,100.0,23.24,1
Kassadin,Spellslinger's Shoes,Cryptbloom,MIDDLE,8189.0,100.0,27.18,1
Kassadin,Shadowflame,Spellslinger's Shoes,MIDDLE,12030.0,100.0,17.18,1
Kassadin,Rabadon's Deathcap,Shadowflame,MIDDLE,16269.0,100.0,-16.17,1
Kassadin,Shadowflame,Luden's Companion,MIDDLE,7914.0,0.0,-32.41,1
TwistedFate,Luden's Companion,None,MIDDLE,3557.0,0.0,0.89,1
TwistedFate,Shadowflame,Luden's Companion,MIDDLE,8951.0,0.0,-49.94,1
Ekko,Malignance,None,MIDDLE,4482.0,0.0,32.14,1
Ekko,Stormsurge,Malignance,MIDDLE,7888.0,0.0,-14.13,1
Ekko,Zhonya's Hourglass,Stormsurge,MIDDLE,10662.0,0.0,-5.02,1
Garen,Luden's Companion,None,TOP,3737.0,0.0,-11.05,1
Garen,Shadowflame,Luden's Companion,TOP,7721.0,0.0,0,1
Katarina,Luden's Companion,None,MIDDLE,4991.0,100.0,62.99,1
Katarina,Shadowflame,Luden's Companion,MIDDLE,8278.0,100.0,-13.42,1
Katarina,Rabadon's Deathcap,Shadowflame,MIDDLE,11400.0,100.0,37.89,1
Katarina,Zhonya's Hourglass,Rabadon's Deathcap,MIDDLE,15520.0,100.0,0,1
Ryze,Luden's Companion,None,MIDDLE,4021.0,100.0,82.5,1
Ryze,Shadowflame,Luden's Companion,MIDDLE,9313.0,100.0,-24.01,1
Ryze,Rabadon's Deathcap,Shadowflame,MIDDLE,11360.0,100.0,0,1
Ahri,Rabadon's Deathcap,Shadowflame,MIDDLE,11162.0,100.0,63.1,1
Ahri,Spellslinger's Shoes,Shadowflame,MIDDLE,10196.0,100.0,-10.65,1
Ahri,Zhonya's Hourglass,Spellslinger's Shoes,MIDDLE,11886.0,100.0,-11.04,1
