VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Leona,Ardent Censer,None,UTILITY,3714.4,40.0,1.08,5
Nautilus,Shurelya's Battlesong,None,UTILITY,3792.2,40.0,-17.79,5
Nami,Ardent Censer,None,UTILITY,4217.6,20.0,-0.5,5
Karma,Ardent Censer,None,UTILITY,3538.2,20.0,13.25,5
Milio,Shurelya's Battlesong,None,UTILITY,3671.0,100.0,-3.45,3
Braum,Shurelya's Battlesong,None,UTILITY,3299.3,33.3,-5.37,3
Thresh,Ardent Censer,None,UTILITY,3304.3,33.3,-1.96,3
Nautilus,Crimson Lucidity,Shurelya's Battlesong,UTILITY,4895.3,33.3,24.0,3
Nami,Redemption,None,UTILITY,3460.3,100.0,9.16,3
Bard,Ardent Censer,None,UTILITY,3736.7,66.7,26.39,3
Janna,Ardent Censer,None,UTILITY,3547.0,100.0,4.3,3
Janna,Moonstone Renewer,Ardent Censer,UTILITY,6043.3,100.0,36.11,3
Senna,Ardent Censer,None,UTILITY,4242.3,33.3,8.3,3
Leona,Shurelya's Battlesong,Ardent Censer,UTILITY,6939.0,50.0,-2.35,2
Milio,Ardent Censer,None,UTILITY,3518.5,0.0,7.78,2
Velkoz,Ardent Censer,None,UTILITY,3868.5,50.0,13.9,2
Braum,Ardent Censer,Shurelya's Battlesong,UTILITY,6085.0,50.0,0,2
Thresh,Moonstone Renewer,Shurelya's Battlesong,UTILITY,6927.0,0.0,37.73,2
Soraka,Ardent Censer,None,UTILITY,4342.0,50.0,21.39,2
Nautilus,Redemption,None,UTILITY,3194.0,100.0,-1.24,2
Nautilus,Moonstone Renewer,Shurelya's Battlesong,UTILITY,8105.5,100.0,43.84,2
Nautilus,Ardent Censer,Crimson Lucidity,UTILITY,6733.5,50.0,-36.89,2
Bard,Crimson Lucidity,Ardent Censer,UTILITY,4828.0,100.0,7.36,2
Bard,Crimson Lucidity,Moonstone Renewer,UTILITY,6959.5,50.0,-14.04,2
Lux,Ardent Censer,None,UTILITY,3503.0,100.0,20.72,2
Lux,Moonstone Renewer,Ardent Censer,UTILITY,6393.5,100.0,-1.91,2
Lux,Redemption,Moonstone Renewer,UTILITY,8327.5,100.0,42.36,2
Yuumi,Ardent Censer,None,UTILITY,3471.0,100.0,-23.93,2
Yuumi,Crimson Lucidity,Ardent Censer,UTILITY,5257.0,100.0,-27.53,2
Yuumi,Shurelya's Battlesong,Crimson Lucidity,UTILITY,6994.5,100.0,22.7,2
Blitzcrank,Ardent Censer,None,UTILITY,3738.0,50.0,-21.08,2
Pyke,Redemption,None,UTILITY,4310.0,50.0,-16.25,2
Karma,Moonstone Renewer,Ardent Censer,UTILITY,6146.0,0.0,-14.7,2
Morgana,Ardent Censer,None,UTILITY,3878.0,50.0,-8.96,2
Brand,Ardent Censer,None,UTILITY,4040.0,0.0,21.43,2
Brand,Moonstone Renewer,Ardent Censer,UTILITY,6469.5,0.0,-9.8,2
Leona,Crimson Lucidity,Ardent Censer,UTILITY,5411.0,100.0,1.09,1
Leona,Redemption,Shurelya's Battlesong,UTILITY,8671.0,0.0,0,1
Leona,Shurelya's Battlesong,None,UTILITY,4004.0,0.0,-19.54,1
Leona,Ardent Censer,Shurelya's Battlesong,UTILITY,6557.0,0.0,-20.79,1
Leona,Moonstone Renewer,Ardent Censer,UTILITY,6383.0,0.0,0,1
Milio,Redemption,Shurelya's Battlesong,UTILITY,6492.0,100.0,0,1
Milio,Mikael's Blessing,None,UTILITY,4643.0,100.0,19.8,1
Milio,Crimson Lucidity,Mikael's Blessing,UTILITY,5321.0,100.0,-7.56,1
Milio,Redemption,None,UTILITY,3194.0,0.0,26.93,1
Milio,Ardent Censer,Redemption,UTILITY,6601.0,0.0,0,1
Milio,Crimson Lucidity,Shurelya's Battlesong,UTILITY,4813.0,100.0,65.5,1
Milio,Ardent Censer,Crimson Lucidity,UTILITY,9532.0,100.0,0,1
Milio,Redemption,Ardent Censer,UTILITY,9532.0,100.0,0,1
Milio,Ardent Censer,Shurelya's Battlesong,UTILITY,5069.0,100.0,0,1
Milio,Crimson Lucidity,Ardent Censer,UTILITY,5747.0,0.0,-29.15,1
Milio,Mikael's Blessing,Crimson Lucidity,UTILITY,7310.0,0.0,-42.53,1
Milio,Redemption,Mikael's Blessing,UTILITY,9081.0,0.0,0,1
Velkoz,Mikael's Blessing,Ardent Censer,UTILITY,7062.0,100.0,0,1
Velkoz,Shurelya's Battlesong,Ardent Censer,UTILITY,6392.0,0.0,0,1
Rakan,Ardent Censer,None,UTILITY,3089.0,100.0,-1.07,1
Rakan,Shurelya's Battlesong,Ardent Censer,UTILITY,6096.0,100.0,0,1
Rakan,Shurelya's Battlesong,None,UTILITY,3296.0,0.0,-19.97,1
Rakan,Ardent Censer,Shurelya's Battlesong,UTILITY,6127.0,0.0,-36.75,1
Rakan,Moonstone Renewer,None,UTILITY,3855.0,0.0,-2.78,1
Rakan,Redemption,Moonstone Renewer,UTILITY,6278.0,0.0,-27.12,1
Rakan,Dawncore,Redemption,UTILITY,8842.0,0.0,40.87,1
Rakan,Locket of the Iron Solari,Dawncore,UTILITY,11164.0,0.0,2.5,1
Braum,Ardent Censer,None,UTILITY,3921.0,0.0,36.82,1
Braum,Shurelya's Battlesong,Ardent Censer,UTILITY,6034.0,0.0,40.48,1
