VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Milio,Luden's Companion,None,UTILITY,4536.6,40.0,0.93,5
Akshan,Luden's Companion,None,MIDDLE,4288.5,100.0,5.6,4
Zyra,Luden's Companion,None,UTILITY,4164.2,50.0,-13.11,4
Nautilus,Luden's Companion,None,UTILITY,4226.0,75.0,1.99,4
Morgana,Luden's Companion,None,UTILITY,3567.5,25.0,29.57,4
Mel,Malignance,None,MIDDLE,3696.7,0.0,42.18,3
Lulu,Luden's Companion,None,UTILITY,4233.7,0.0,9.94,3
Ahri,Luden's Companion,None,MIDDLE,4062.7,33.3,47.32,3
Ahri,Stormsurge,Luden's Companion,MIDDLE,7549.0,33.3,37.4,3
Nami,Luden's Companion,None,UTILITY,4307.7,33.3,25.34,3
Akshan,Rabadon's Deathcap,Shadowflame,MIDDLE,11423.5,50.0,14.06,2
Akshan,Stormsurge,Luden's Companion,MIDDLE,8754.5,100.0,16.85,2
Akshan,Spellslinger's Shoes,Stormsurge,MIDDLE,9391.5,100.0,-10.46,2
Syndra,Luden's Companion,None,MIDDLE,3460.0,0.0,28.71,2
Akali,Luden's Companion,None,MIDDLE,4107.0,100.0,46.52,2
Akali,Stormsurge,Luden's Companion,MIDDLE,7895.0,100.0,26.01,2
Hwei,Luden's Companion,None,MIDDLE,4337.5,100.0,-12.28,2
Hwei,Stormsurge,Luden's Companion,MIDDLE,8302.0,100.0,75.74,2
Hwei,Shadowflame,Stormsurge,MIDDLE,11203.0,50.0,45.52,2
Zed,Luden's Companion,None,MIDDLE,3978.0,0.0,-24.74,2
Swain,Luden's Companion,None,UTILITY,3724.5,0.0,-3.1,2
Mel,Stormsurge,Malignance,MIDDLE,7766.5,0.0,-2.03,2
Mel,Stormsurge,Stormsurge,MIDDLE,11542.0,0.0,-10.32,2
Yasuo,Luden's Companion,None,MIDDLE,4525.5,100.0,30.95,2
Vex,Luden's Companion,None,MIDDLE,3391.0,100.0,31.84,2
Talon,Luden's Companion,None,MIDDLE,4220.5,50.0,-6.07,2
Cassiopeia,Luden's Companion,None,MIDDLE,4259.5,50.0,31.21,2
Nautilus,Stormsurge,Luden's Companion,UTILITY,7095.0,100.0,9.73,2
Nautilus,Spellslinger's Shoes,Stormsurge,UTILITY,8684.5,100.0,-26.13,2
Nautilus,Malignance,None,UTILITY,4499.0,0.0,-8.74,2
Morgana,Stormsurge,Luden's Companion,UTILITY,8101.5,0.0,-31.62,2
Ahri,Shadowflame,Stormsurge,MIDDLE,10298.0,0.0,23.47,2
Fizz,Luden's Companion,None,MIDDLE,4659.5,50.0,59.94,2
Fizz,Zhonya's Hourglass,Luden's Companion,MIDDLE,12351.5,50.0,-47.29,2
Pyke,Luden's Companion,None,UTILITY,4692.5,100.0,-4.11,2
Pyke,Stormsurge,Luden's Companion,UTILITY,7197.5,100.0,30.63,2
Katarina,Luden's Companion,None,MIDDLE,4369.0,0.0,-15.57,2
Katarina,Zhonya's Hourglass,Rabadon's Deathcap,MIDDLE,15040.5,0.0,-24.6,2
Orianna,Luden's Companion,None,MIDDLE,4388.0,0.0,49.84,2
