VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Darius,Malignance,None,TOP,4319.4,60.0,4.09,5
Darius,Sunfire Aegis,None,TOP,4907.5,50.0,24.19,4
Garen,Sunfire Aegis,None,TOP,5484.7,66.7,30.02,3
DrMundo,Sunfire Aegis,None,TOP,4245.0,33.3,62.17,3
Fiora,Sunfire Aegis,None,TOP,4581.7,33.3,27.82,3
Fiora,Thornmail,Sunfire Aegis,TOP,6910.3,33.3,25.55,3
Darius,Thornmail,Sunfire Aegis,TOP,7814.7,66.7,28.77,3
Volibear,Malignance,None,JUNGLE,4331.3,33.3,14.54,3
Sylas,Malignance,None,JUNGLE,4464.0,66.7,10.64,3
Renekton,Sunfire Aegis,None,TOP,5040.0,66.7,0.61,3
Zaahen,Sunfire Aegis,None,TOP,4127.3,33.3,4.04,3
Vladimir,Malignance,None,TOP,4122.5,50.0,23.56,2
Mordekaiser,Sunfire Aegis,None,JUNGLE,4397.5,0.0,24.29,2
Mordekaiser,Thornmail,Sunfire Aegis,JUNGLE,7384.0,0.0,7.41,2
Mordekaiser,Kaenic Rookern,Thornmail,JUNGLE,10088.5,0.0,10.87,2
Mordekaiser,Unending Despair,Kaenic Rookern,JUNGLE,13020.0,0.0,23.03,2
Garen,Frozen Heart,None,TOP,5443.5,50.0,55.51,2
Garen,Thornmail,Frozen Heart,TOP,6951.0,50.0,21.15,2
Garen,Thornmail,Sunfire Aegis,TOP,7753.0,50.0,21.98,2
DrMundo,Thornmail,Sunfire Aegis,TOP,7749.5,50.0,6.9,2
Galio,Malignance,None,MIDDLE,3510.5,50.0,148.3,2
Darius,Sunfire Aegis,Malignance,TOP,7852.0,100.0,36.82,2
Darius,Armored Advance,Thornmail,TOP,8953.5,100.0,10.16,2
Darius,Stormsurge,Malignance,TOP,6792.0,50.0,-19.96,2
Volibear,Sunfire Aegis,None,TOP,5346.5,50.0,-12.26,2
Volibear,Stormsurge,Malignance,JUNGLE,7053.0,50.0,6.21,2
Zed,Sunfire Aegis,None,MIDDLE,4977.5,100.0,6.02,2
Zed,Thornmail,Sunfire Aegis,MIDDLE,8594.5,50.0,9.77,2
Zed,Malignance,None,MIDDLE,4561.5,50.0,21.13,2
Quinn,Kaenic Rookern,Frozen Heart,TOP,13699.5,0.0,0,2
Yone,Thornmail,Sunfire Aegis,TOP,6929.0,50.0,24.14,2
Yone,Kaenic Rookern,Thornmail,TOP,10218.0,50.0,6.15,2
Urgot,Sunfire Aegis,None,TOP,5056.5,100.0,41.18,2
Urgot,Armored Advance,Kaenic Rookern,TOP,11505.5,100.0,31.46,2
Yasuo,Sunfire Aegis,None,TOP,5505.0,50.0,30.0,2
Yasuo,Thornmail,Sunfire Aegis,TOP,7698.0,50.0,9.0,2
