VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
DrMundo,Blade of The Ruined King,None,JUNGLE,4368.7,66.7,32.0,3
DrMundo,Guinsoo's Rageblade,Blade of The Ruined King,JUNGLE,7692.7,66.7,33.37,3
LeeSin,Kraken Slayer,None,JUNGLE,3564.7,100.0,84.6,3
LeeSin,Guinsoo's Rageblade,Kraken Slayer,JUNGLE,7333.3,100.0,65.94,3
Rengar,Kraken Slayer,None,JUNGLE,3977.7,100.0,21.27,3
Rengar,Guinsoo's Rageblade,Kraken Slayer,JUNGLE,8154.0,100.0,23.99,3
Viego,Kraken Slayer,None,JUNGLE,4761.3,66.7,-0.51,3
Zaahen,Kraken Slayer,None,JUNGLE,4145.0,100.0,9.27,3
Zaahen,Guinsoo's Rageblade,Kraken Slayer,JUNGLE,7955.7,100.0,47.78,3
Gragas,Blade of The Ruined King,None,JUNGLE,5062.5,50.0,-5.26,2
Gragas,Guinsoo's Rageblade,Blade of The Ruined King,JUNGLE,7914.5,50.0,13.61,2
Gragas,Wit's End,Guinsoo's Rageblade,JUNGLE,10678.5,50.0,17.08,2
Jax,Kraken Slayer,None,JUNGLE,3529.0,50.0,64.17,2
Lillia,Kraken Slayer,None,JUNGLE,4149.5,50.0,2.18,2
Kayn,Kraken Slayer,None,JUNGLE,4682.0,50.0,11.78,2
Nocturne,Kraken Slayer,None,JUNGLE,4054.0,0.0,10.91,2
Nocturne,Guinsoo's Rageblade,Kraken Slayer,JUNGLE,7245.0,0.0,-20.76,2
Shyvana,Blade of The Ruined King,None,JUNGLE,4929.5,100.0,9.71,2
Shyvana,Guinsoo's Rageblade,Blade of The Ruined King,JUNGLE,7363.0,100.0,-9.62,2
Shyvana,Kraken Slayer,Guinsoo's Rageblade,JUNGLE,10999.0,100.0,119.89,2
Shyvana,Kraken Slayer,None,JUNGLE,3634.0,50.0,22.95,2
Shyvana,Guinsoo's Rageblade,Kraken Slayer,JUNGLE,7677.5,50.0,-4.24,2
Sylas,Kraken Slayer,None,JUNGLE,4074.5,50.0,-22.64,2
Sylas,Guinsoo's Rageblade,Kraken Slayer,JUNGLE,7240.0,50.0,51.59,2
Diana,Kraken Slayer,None,JUNGLE,4571.0,100.0,41.09,2
Khazix,Guinsoo's Rageblade,Blade of The Ruined King,JUNGLE,8909.5,0.0,4.85,2
Rengar,Experimental Hexplate,Guinsoo's Rageblade,JUNGLE,10709.5,100.0,27.05,2
Viego,Guinsoo's Rageblade,Blade of The Ruined King,JUNGLE,9142.5,50.0,-45.81,2
Udyr,Kraken Slayer,None,JUNGLE,3917.0,50.0,19.38,2
Udyr,Guinsoo's Rageblade,Kraken Slayer,JUNGLE,7101.0,50.0,20.58,2
Zaahen,Experimental Hexplate,Guinsoo's Rageblade,JUNGLE,11026.0,100.0,26.08,2
Shaco,Blade of The Ruined King,None,JUNGLE,3685.0,0.0,47.26,2
Shaco,Guinsoo's Rageblade,Blade of The Ruined King,JUNGLE,7550.5,0.0,25.52,2
Volibear,Blade of The Ruined King,None,JUNGLE,4057.0,100.0,41.71,1
Volibear,Black Cleaver,Blade of The Ruined King,JUNGLE,8625.0,100.0,-25.11,1
Volibear,Armored Advance,Black Cleaver,JUNGLE,8747.0,100.0,-13.18,1
Volibear,Wit's End,Armored Advance,JUNGLE,11943.0,100.0,0,1
Gragas,Gunmetal Greaves,Wit's End,JUNGLE,11865.0,0.0,0,1
Gragas,Hullbreaker,Wit's End,JUNGLE,13453.0,100.0,0,1
MonkeyKing,Kraken Slayer,None,JUNGLE,5391.0,0.0,69.09,1
MonkeyKing,"Jak'Sho, The Protean",Kraken Slayer,JUNGLE,8265.0,0.0,27.77,1
MonkeyKing,Guinsoo's Rageblade,"Jak'Sho, The Protean",JUNGLE,11389.0,0.0,23.55,1
Jax,Blade of The Ruined King,None,JUNGLE,5179.0,100.0,-12.57,1
Jax,Wit's End,Blade of The Ruined King,JUNGLE,8073.0,100.0,0,1
Jax,Yun Tal Wildarrows,None,JUNGLE,4089.0,0.0,-2.09,1
Jax,The Collector,Yun Tal Wildarrows,JUNGLE,7770.0,0.0,33.61,1
Jax,Immortal Shieldbow,The Collector,JUNGLE,11182.0,0.0,-26.9,1
Jax,Lord Dominik's Regards,Immortal Shieldbow,JUNGLE,14143.0,0.0,0,1
Jax,Titanic Hydra,Kraken Slayer,JUNGLE,7525.0,0.0,47.77,1
Jax,Blade of The Ruined King,Titanic Hydra,JUNGLE,10178.0,0.0,-34.82,1
Jax,Guinsoo's Rageblade,Kraken Slayer,JUNGLE,7580.0,100.0,-6.19,1
Jax,Experimental Hexplate,Guinsoo's Rageblade,JUNGLE,9829.0,100.0,23.83,1
Jax,Wit's End,Experimental Hexplate,JUNGLE,15516.0,100.0,49.56,1
Jax,Chainlaced Crushers,Wit's End,JUNGLE,15516.0,100.0,49.65,1
Jax,Chainlaced Crushers,Chainlaced Crushers,JUNGLE,15516.0,100.0,50.35,1
Jax,Titanic Hydra,Chainlaced Crushers,JUNGLE,17183.0,100.0,35.39,1
Jax,Titanic Hydra,None,TOP,4040.0,0.0,191.1,1
Jax,Blade of The Ruined King,Titanic Hydra,TOP,7588.0,0.0,2.41,1
Jax,Guinsoo's Rageblade,Blade of The Ruined King,TOP,10179.0,0.0,3.96,1
Lillia,Blade of The Ruined King,None,JUNGLE,4429.0,100.0,42.91,1
Lillia,Guinsoo's Rageblade,Blade of The Ruined King,JUNGLE,7564.0,100.0,36.99,1
Lillia,Hullbreaker,Guinsoo's Rageblade,JUNGLE,11006.0,100.0,25.34,1
Lillia,Titanic Hydra,Hullbreaker,JUNGLE,14437.0,100.0,0,1
Lillia,Yun Tal Wildarrows,None,JUNGLE,3765.0,100.0,10.68,1
Lillia,Infinity Edge,Yun Tal Wildarrows,JUNGLE,8518.0,100.0,4.65,1
Lillia,Lord Dominik's Regards,Infinity Edge,JUNGLE,11264.0,100.0,21.94,1
Lillia,Immortal Shieldbow,Lord Dominik's Regards,JUNGLE,15227.0,100.0,91.41,1
Lillia,Death's Dance,Immortal Shieldbow,JUNGLE,18193.0,100.0,0,1
Lillia,Guinsoo's Rageblade,Kraken Slayer,JUNGLE,8361.0,100.0,50.8,1
Lillia,Blade of The Ruined King,Kraken Slayer,JUNGLE,8092.0,0.0,-5.84,1
Talon,Blade of The Ruined King,None,JUNGLE,4327.0,100.0,86.41,1
Talon,Guinsoo's Rageblade,Blade of The Ruined King,JUNGLE,7768.0,100.0,-11.45,1
Talon,Gunmetal Greaves,Guinsoo's Rageblade,JUNGLE,8932.0,100.0,-20.03,1
Talon,Kraken Slayer,Gunmetal Greaves,JUNGLE,11531.0,100.0,16.5,1
Kayn,Blade of The Ruined King,None,JUNGLE,4435.0,0.0,79.52,1
Kayn,Guinsoo's Rageblade,Blade of The Ruined King,JUNGLE,7728.0,0.0,-39.43,1
Kayn,Kraken Slayer,Guinsoo's Rageblade,JUNGLE,11137.0,0.0,-25.8,1
Kayn,Guinsoo's Rageblade,Kraken Slayer,JUNGLE,8016.0,100.0,64.69,1
Kayn,Blade of The Ruined King,Guinsoo's Rageblade,JUNGLE,11784.0,100.0,-0.58,1
Kayn,Death's Dance,Blade of The Ruined King,JUNGLE,14646.0,100.0,13.09,1
Kayn,Wit's End,Death's Dance,JUNGLE,17265.0,100.0,0,1
Kayn,Blade of The Ruined King,Kraken Slayer,JUNGLE,8405.0,0.0,13.71,1
Kayn,Randuin's Omen,Blade of The Ruined King,JUNGLE,10912.0,0.0,0,1
Garen,Blade of The Ruined King,None,TOP,4605.0,0.0,1.52,1
Garen,Guinsoo's Rageblade,Blade of The Ruined King,TOP,7631.0,0.0,0,1
FiddleSticks,Blade of The Ruined King,None,JUNGLE,4700.0,0.0,45.78,1
FiddleSticks,Guinsoo's Rageblade,Blade of The Ruined King,JUNGLE,7951.0,0.0,0.98,1
FiddleSticks,Wit's End,Guinsoo's Rageblade,JUNGLE,12116.0,0.0,0,1
DrMundo,Titanic Hydra,Guinsoo's Rageblade,JUNGLE,12373.0,100.0,6.65,1
DrMundo,Death's Dance,Titanic Hydra,JUNGLE,17021.0,100.0,0,1
DrMundo,Mercurial Scimitar,Death's Dance,JUNGLE,18802.0,100.0,0,1
DrMundo,Chainlaced Crushers,Mercurial Scimitar,JUNGLE,18802.0,100.0,0,1
DrMundo,Kraken Slayer,Guinsoo's Rageblade,JUNGLE,10809.0,0.0,20.96,1
DrMundo,Wit's End,Kraken Slayer,JUNGLE,13610.0,0.0,-8.24,1
DrMundo,Mortal Reminder,Wit's End,JUNGLE,16886.0,0.0,-43.74,1
DrMundo,Gunmetal Greaves,Guinsoo's Rageblade,JUNGLE,9662.0,100.0,10.32,1
DrMundo,Experimental Hexplate,Gunmetal Greaves,JUNGLE,12169.0,100.0,-17.81,1
DrMundo,Death's Dance,Experimental Hexplate,JUNGLE,15333.0,100.0,-15.64,1
DrMundo,Wit's End,Death's Dance,JUNGLE,17438.0,100.0,42.5,1
Nocturne,Blade of The Ruined King,None,JUNGLE,5208.0,0.0,0,1
Nocturne,Kraken Slayer,Guinsoo's Rageblade,JUNGLE,7808.0,0.0,0,1
Nocturne,Blade of The Ruined King,Guinsoo's Rageblade,JUNGLE,10874.0,0.0,-29.55,1
Trundle,Blade of The Ruined King,None,JUNGLE,3391.0,0.0,28.65,1
Trundle,Kraken Slayer,Blade of The Ruined King,JUNGLE,7135.0,0.0,-40.87,1
Elise,Blade of The Ruined King,None,JUNGLE,3449.0,0.0,50.58,1
Elise,Guinsoo's Rageblade,Blade of The Ruined King,JUNGLE,8061.0,0.0,1.56,1
Elise,Wit's End,Guinsoo's Rageblade,JUNGLE,11427.0,0.0,0,1
Shyvana,Armored Advance,Kraken Slayer,JUNGLE,13914.0,100.0,0,1
Shyvana,Blade of The Ruined King,Guinsoo's Rageblade,JUNGLE,10853.0,100.0,26.74,1
Shyvana,Hullbreaker,Blade of The Ruined King,JUNGLE,13311.0,100.0,0,1
Shyvana,Experimental Hexplate,Guinsoo's Rageblade,JUNGLE,10425.0,0.0,14.77,1
Shyvana,Gunmetal Greaves,Experimental Hexplate,JUNGLE,13157.0,0.0,0,1
Shyvana,Guardian Angel,Kraken Slayer,JUNGLE,14238.0,100.0,71.62,1
Shyvana,Death's Dance,Guardian Angel,JUNGLE,18888.0,100.0,30.23,1
Olaf,Kraken Slayer,None,JUNGLE,3434.0,0.0,0,1
Briar,Blade of The Ruined King,None,JUNGLE,4513.0,100.0,45.89,1
Briar,Kraken Slayer,Blade of The Ruined King,JUNGLE,7785.0,100.0,40.76,1
Briar,Wit's End,Kraken Slayer,JUNGLE,10788.0,100.0,40.0,1
Briar,Titanic Hydra,Wit's End,JUNGLE,13729.0,100.0,0,1
Briar,Kraken Slayer,None,JUNGLE,5320.0,0.0,51.42,1
Briar,Infinity Edge,Kraken Slayer,JUNGLE,8349.0,0.0,8.56,1
Briar,Yun Tal Wildarrows,Infinity Edge,JUNGLE,11960.0,0.0,-30.85,1
Teemo,Kraken Slayer,None,JUNGLE,4262.0,0.0,42.04,1
Teemo,Guinsoo's Rageblade,Kraken Slayer,JUNGLE,7374.0,0.0,21.42,1
Teemo,Blade of The Ruined King,Guinsoo's Rageblade,JUNGLE,11279.0,0.0,-35.77,1
Nilah,Blade of The Ruined King,None,JUNGLE,3655.0,0.0,0,1
Hecarim,Blade of The Ruined King,None,JUNGLE,4123.0,0.0,27.7,1
Hecarim,Wit's End,Blade of The Ruined King,JUNGLE,9883.0,0.0,18.07,1
Hecarim,Guinsoo's Rageblade,Wit's End,JUNGLE,12411.0,0.0,9.8,1
Hecarim,Kraken Slayer,Guinsoo's Rageblade,JUNGLE,13536.0,0.0,0,1
Zed,Blade of The Ruined King,None,JUNGLE,4478.0,100.0,10.02,1
Zed,Guinsoo's Rageblade,Blade of The Ruined King,JUNGLE,9645.0,100.0,59.47,1
Zed,Wit's End,Guinsoo's Rageblade,JUNGLE,12795.0,100.0,-10.23,1
Zed,Gunmetal Greaves,Wit's End,JUNGLE,12795.0,100.0,-10.12,1
Zed,Kraken Slayer,Gunmetal Greaves,JUNGLE,14524.0,100.0,-26.23,1
