VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Syndra,Blackfire Torch,None,MIDDLE,4124.0,60.0,8.22,5
Lux,Blackfire Torch,None,MIDDLE,4145.8,75.0,36.46,4
Thresh,Blackfire Torch,None,UTILITY,4563.0,50.0,27.7,4
Katarina,Blackfire Torch,None,MIDDLE,4477.5,50.0,6.53,4
Katarina,Shadowflame,Liandry's Torment,MIDDLE,11318.2,50.0,8.55,4
Syndra,Liandry's Torment,Blackfire Torch,MIDDLE,7835.5,50.0,16.94,4
Syndra,Shadowflame,Liandry's Torment,MIDDLE,11800.5,50.0,49.08,4
Xerath,Blackfire Torch,None,MIDDLE,4071.3,33.3,6.45,3
Ashe,Blackfire Torch,None,BOTTOM,3980.0,100.0,10.87,3
Lux,Liandry's Torment,Blackfire Torch,MIDDLE,8192.3,100.0,-6.96,3
Akali,Blackfire Torch,None,MIDDLE,4694.0,100.0,11.03,3
Fizz,Blackfire Torch,None,MIDDLE,4143.3,33.3,31.8,3
Zoe,Blackfire Torch,None,MIDDLE,4627.0,66.7,10.6,3
Thresh,Liandry's Torment,Blackfire Torch,UTILITY,7786.0,33.3,-17.17,3
Katarina,Liandry's Torment,Blackfire Torch,MIDDLE,8996.3,33.3,-12.74,3
Caitlyn,Blackfire Torch,None,BOTTOM,4035.3,66.7,-3.95,3
Azir,Blackfire Torch,None,MIDDLE,4401.0,66.7,9.75,3
Azir,Liandry's Torment,Blackfire Torch,MIDDLE,8175.7,66.7,-13.92,3
Zed,Blackfire Torch,None,MIDDLE,3961.3,33.3,32.82,3
Leblanc,Blackfire Torch,None,MIDDLE,4142.0,100.0,-6.86,3
Yasuo,Blackfire Torch,None,MIDDLE,4192.0,33.3,3.82,3
Galio,Blackfire Torch,None,MIDDLE,4376.7,33.3,-9.82,3
Seraphine,Luden's Companion,None,UTILITY,3674.0,0.0,8.64,2
Aurora,Blackfire Torch,None,MIDDLE,3394.0,50.0,0.8,2
Xerath,Luden's Companion,None,MIDDLE,3813.5,50.0,33.26,2
Xerath,Horizon Focus,Blackfire Torch,MIDDLE,7489.0,0.0,3.39,2
Morgana,Blackfire Torch,None,MIDDLE,4550.0,100.0,10.63,2
Smolder,Blackfire Torch,None,BOTTOM,4060.5,50.0,30.13,2
Lux,Shadowflame,Liandry's Torment,MIDDLE,11037.0,100.0,4.68,2
Ezreal,Blackfire Torch,None,BOTTOM,4038.5,0.0,-1.27,2
Vladimir,Blackfire Torch,None,MIDDLE,4610.0,50.0,41.96,2
Vladimir,Liandry's Torment,Blackfire Torch,MIDDLE,7597.5,50.0,10.34,2
Vladimir,Spellslinger's Shoes,Liandry's Torment,MIDDLE,8773.0,100.0,29.59,2
Vladimir,Rabadon's Deathcap,Spellslinger's Shoes,MIDDLE,12105.0,100.0,-13.27,2
Veigar,Blackfire Torch,None,MIDDLE,3865.0,0.0,-20.64,2
Fizz,Liandry's Torment,Blackfire Torch,MIDDLE,7856.5,50.0,5.65,2
Yone,Blackfire Torch,None,MIDDLE,4272.5,50.0,16.35,2
Thresh,Luden's Companion,None,UTILITY,4486.5,0.0,-14.38,2
Ahri,Luden's Companion,None,MIDDLE,4226.0,0.0,14.37,2
Ahri,Blackfire Torch,None,MIDDLE,3837.5,0.0,11.24,2
Katarina,Rabadon's Deathcap,Shadowflame,MIDDLE,15110.0,50.0,-43.6,2
Vex,Blackfire Torch,None,MIDDLE,3679.5,50.0,23.73,2
Brand,Blackfire Torch,None,MIDDLE,4206.5,0.0,31.43,2
Hwei,Blackfire Torch,None,MIDDLE,4346.5,50.0,15.8,2
Cassiopeia,Blackfire Torch,None,MIDDLE,4102.5,100.0,11.32,2
Malzahar,Luden's Companion,None,MIDDLE,3949.0,100.0,-0.69,2
Malzahar,Blackfire Torch,None,MIDDLE,3845.5,50.0,45.98,2
Twitch,Blackfire Torch,None,BOTTOM,3455.0,100.0,8.22,2
Twitch,Spellslinger's Shoes,Shadowflame,BOTTOM,10230.0,100.0,34.15,2
Syndra,Rabadon's Deathcap,Shadowflame,MIDDLE,14657.5,50.0,1.14,2
Ekko,Spellslinger's Shoes,Shadowflame,MIDDLE,8598.5,50.0,-19.82,2
Ekko,Blackfire Torch,None,MIDDLE,4190.0,50.0,29.01,2
Taliyah,Blackfire Torch,None,MIDDLE,4426.0,100.0,23.04,2
Taliyah,Liandry's Torment,Blackfire Torch,MIDDLE,9152.0,100.0,-24.46,2
Leblanc,Archangel's Staff,Archangel's Staff,MIDDLE,6575.0,0.0,-16.98,2
Galio,Horizon Focus,Blackfire Torch,MIDDLE,7691.5,50.0,-19.06,2
Galio,Rabadon's Deathcap,Liandry's Torment,MIDDLE,14464.0,50.0,116.83,2
Sylas,Blackfire Torch,None,MIDDLE,3686.0,50.0,11.87,2
Irelia,Horizon Focus,Spellslinger's Shoes,MIDDLE,12242.5,50.0,-9.76,2
Irelia,Rabadon's Deathcap,Horizon Focus,MIDDLE,16102.0,50.0,-25.44,2
Seraphine,Liandry's Torment,None,BOTTOM,4304.0,0.0,34.1,1
Seraphine,Archangel's Staff,Liandry's Torment,BOTTOM,7356.0,0.0,4.64,1
Seraphine,Archangel's Staff,Archangel's Staff,BOTTOM,7625.0,0.0,27.08,1
Seraphine,Cosmic Drive,Archangel's Staff,BOTTOM,10657.0,0.0,0,1
Seraphine,Shadowflame,Luden's Companion,UTILITY,7928.0,0.0,-3.22,1
Seraphine,Spellslinger's Shoes,Shadowflame,UTILITY,9866.0,0.0,-29.55,1
Seraphine,Rabadon's Deathcap,Spellslinger's Shoes,UTILITY,11966.0,0.0,0,1
Seraphine,Blackfire Torch,Luden's Companion,UTILITY,7750.0,0.0,25.98,1
Seraphine,Liandry's Torment,Blackfire Torch,UTILITY,10902.0,0.0,0,1
Aurora,Luden's Companion,None,MIDDLE,4054.0,100.0,-8.7,1
Aurora,Shadowflame,Luden's Companion,MIDDLE,8189.0,100.0,32.66,1
Aurora,Cosmic Drive,Shadowflame,MIDDLE,10695.0,100.0,2.07,1
Aurora,Blackfire Torch,Blackfire Torch,MIDDLE,3644.0,0.0,-0.65,1
Aurora,Archangel's Staff,Blackfire Torch,MIDDLE,7242.0,0.0,15.11,1
Aurora,Archangel's Staff,Archangel's Staff,MIDDLE,7242.0,0.0,17.96,1
Aurora,Cosmic Drive,Archangel's Staff,MIDDLE,10063.0,0.0,0,1
Aurora,Liandry's Torment,Blackfire Torch,MIDDLE,7427.0,100.0,-42.76,1
Aurora,Crimson Lucidity,Liandry's Torment,MIDDLE,7919.0,100.0,8.94,1
Aurora,Rylai's Crystal Scepter,Crimson Lucidity,MIDDLE,11367.0,100.0,17.55,1
Aurora,Horizon Focus,Rylai's Crystal Scepter,MIDDLE,12381.0,100.0,31.46,1
Ryze,Blackfire Torch,None,MIDDLE,3413.0,100.0,-14.53,1
Ryze,Liandry's Torment,Blackfire Torch,MIDDLE,8611.0,100.0,12.26,1
Ryze,Archangel's Staff,Liandry's Torment,MIDDLE,10288.0,100.0,-7.03,1
Ryze,Archangel's Staff,Archangel's Staff,MIDDLE,13269.0,100.0,71.32,1
Ryze,Rabadon's Deathcap,Archangel's Staff,MIDDLE,13269.0,100.0,76.04,1
Ryze,Spellslinger's Shoes,Rabadon's Deathcap,MIDDLE,14828.0,100.0,0,1
Xerath,Cosmic Drive,Blackfire Torch,MIDDLE,8393.0,100.0,68.71,1
Xerath,Liandry's Torment,Cosmic Drive,MIDDLE,11540.0,100.0,18.6,1
Xerath,Archangel's Staff,None,MIDDLE,3117.0,0.0,-27.94,1
Xerath,Archangel's Staff,Archangel's Staff,MIDDLE,4506.0,0.0,-12.46,1
Xerath,Luden's Companion,Archangel's Staff,MIDDLE,7765.0,0.0,98.72,1
Xerath,Spellslinger's Shoes,Luden's Companion,MIDDLE,9588.0,0.0,4.1,1
Xerath,Liandry's Torment,Spellslinger's Shoes,MIDDLE,11650.0,0.0,1.32,1
Xerath,Shadowflame,Liandry's Torment,MIDDLE,13454.0,0.0,0,1
Xerath,Liandry's Torment,Luden's Companion,MIDDLE,8014.0,100.0,-29.23,1
Xerath,Zhonya's Hourglass,Liandry's Torment,MIDDLE,13284.0,100.0,0,1
Xerath,Morellonomicon,Zhonya's Hourglass,MIDDLE,14215.0,100.0,0,1
Xerath,Shadowflame,Luden's Companion,MIDDLE,8208.0,0.0,-36.35,1
Diana,Blackfire Torch,None,MIDDLE,4438.0,100.0,12.28,1
Diana,Shadowflame,Blackfire Torch,MIDDLE,9907.0,100.0,-27.99,1
Diana,Spellslinger's Shoes,Shadowflame,MIDDLE,9907.0,100.0,-27.79,1
Diana,Luden's Companion,None,MIDDLE,4478.0,0.0,-21.44,1
Diana,Shadowflame,Luden's Companion,MIDDLE,7915.0,0.0,-18.35,1
MissFortune,Archangel's Staff,None,BOTTOM,3788.0,100.0,79.2,1
MissFortune,Archangel's Staff,Archangel's Staff,BOTTOM,6859.0,100.0,26.34,1
MissFortune,Liandry's Torment,Archangel's Staff,BOTTOM,7489.0,100.0,13.36,1
