VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Khazix,Trinity Force,None,JUNGLE,4053.7,66.7,38.1,3
Kayn,Trinity Force,None,JUNGLE,4474.3,0.0,50.45,3
Diana,Trinity Force,None,JUNGLE,4460.3,66.7,30.02,3
Lillia,Trinity Force,None,JUNGLE,4505.0,33.3,-6.22,3
Lillia,Sundered Sky,Trinity Force,JUNGLE,8802.0,33.3,12.37,3
Nocturne,Trinity Force,None,JUNGLE,4119.0,0.0,14.15,2
Nocturne,Sundered Sky,Trinity Force,JUNGLE,8209.0,0.0,16.58,2
Shaco,Trinity Force,None,JUNGLE,3958.5,50.0,40.8,2
Shaco,Sundered Sky,Trinity Force,JUNGLE,8180.5,50.0,22.01,2
Kayn,Black Cleaver,Trinity Force,JUNGLE,9735.0,0.0,29.34,2
Darius,Trinity Force,None,TOP,4292.5,50.0,62.3,2
Darius,Black Cleaver,Trinity Force,TOP,7747.5,50.0,100.22,2
Naafiri,Trinity Force,None,JUNGLE,4563.5,100.0,28.36,2
Naafiri,Sundered Sky,Trinity Force,JUNGLE,7965.5,100.0,-14.44,2
Zed,Trinity Force,None,JUNGLE,4147.0,100.0,81.65,2
Zed,Black Cleaver,Sundered Sky,JUNGLE,10303.0,100.0,-16.89,2
Khazix,Black Cleaver,Trinity Force,JUNGLE,8073.0,0.0,10.79,1
Khazix,Maw of Malmortius,Black Cleaver,JUNGLE,12412.0,0.0,4.42,1
Khazix,Death's Dance,Maw of Malmortius,JUNGLE,14366.0,0.0,3.79,1
Khazix,Sundered Sky,Trinity Force,JUNGLE,7632.0,100.0,177.3,1
Khazix,Chainlaced Crushers,Sundered Sky,JUNGLE,8467.0,100.0,109.71,1
MasterYi,Trinity Force,None,JUNGLE,4188.0,100.0,53.87,1
MasterYi,Sundered Sky,Trinity Force,JUNGLE,8024.0,100.0,71.19,1
MasterYi,Death's Dance,Sundered Sky,JUNGLE,11413.0,100.0,0,1
XinZhao,Trinity Force,None,JUNGLE,5205.0,0.0,38.78,1
XinZhao,Sundered Sky,Trinity Force,JUNGLE,8147.0,0.0,-20.61,1
Nocturne,Black Cleaver,Sundered Sky,JUNGLE,11563.0,0.0,-6.31,1
Nocturne,Death's Dance,Black Cleaver,JUNGLE,14810.0,0.0,0,1
Shaco,Black Cleaver,Sundered Sky,JUNGLE,11763.0,100.0,0,1
Shaco,Armored Advance,Black Cleaver,JUNGLE,11763.0,100.0,0,1
Shaco,Black Cleaver,None,JUNGLE,6079.0,100.0,10.4,1
Shaco,Sundered Sky,Black Cleaver,JUNGLE,7434.0,100.0,44.76,1
Riven,Trinity Force,None,TOP,4827.0,100.0,18.98,1
Riven,Sundered Sky,Trinity Force,TOP,9074.0,100.0,12.97,1
