VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Viego,Stridebreaker,None,JUNGLE,5603.8,50.0,22.4,4
JarvanIV,Stridebreaker,None,JUNGLE,4665.0,66.7,28.67,3
Viego,Experimental Hexplate,Stridebreaker,JUNGLE,8895.0,33.3,-28.6,3
MasterYi,Stridebreaker,None,JUNGLE,5167.0,100.0,23.19,3
Sylas,Axiom Arc,Profane Hydra,JUNGLE,9037.3,33.3,7.34,3
Trundle,Stridebreaker,None,JUNGLE,5846.7,0.0,-7.9,3
Trundle,Experimental Hexplate,Stridebreaker,JUNGLE,9538.3,0.0,7.73,3
Trundle,Black Cleaver,Experimental Hexplate,JUNGLE,11575.0,0.0,-27.67,3
JarvanIV,Experimental Hexplate,Stridebreaker,JUNGLE,8562.5,50.0,-9.72,2
LeeSin,Stridebreaker,None,JUNGLE,4868.0,100.0,0.09,2
LeeSin,Experimental Hexplate,Stridebreaker,JUNGLE,8809.0,100.0,-21.27,2
Graves,Stridebreaker,None,JUNGLE,5341.5,100.0,37.36,2
Graves,Armored Advance,Black Cleaver,JUNGLE,10933.0,100.0,0,2
Khazix,Stridebreaker,None,JUNGLE,4277.0,50.0,-20.24,2
Khazix,Experimental Hexplate,Stridebreaker,JUNGLE,8105.0,50.0,-24.43,2
MasterYi,Experimental Hexplate,Stridebreaker,JUNGLE,8712.5,100.0,20.28,2
MasterYi,Armored Advance,Experimental Hexplate,JUNGLE,9439.0,100.0,18.35,2
Sylas,Profane Hydra,None,JUNGLE,4313.0,50.0,45.17,2
Amumu,Stridebreaker,None,JUNGLE,4262.0,50.0,54.98,2
Diana,Stridebreaker,None,JUNGLE,5250.5,100.0,19.24,2
Diana,Experimental Hexplate,Stridebreaker,JUNGLE,8843.0,100.0,2.76,2
Diana,Black Cleaver,Experimental Hexplate,JUNGLE,9990.5,100.0,3.75,2
Diana,Experimental Hexplate,None,JUNGLE,4506.5,50.0,-25.91,2
Talon,Profane Hydra,None,JUNGLE,4825.0,50.0,10.77,2
Talon,Axiom Arc,Profane Hydra,JUNGLE,7686.0,50.0,19.46,2
Ekko,Stridebreaker,None,JUNGLE,4448.0,50.0,-4.38,2
Lillia,Stridebreaker,None,JUNGLE,4235.5,50.0,-4.3,2
Lillia,Experimental Hexplate,Stridebreaker,JUNGLE,8653.5,50.0,-2.66,2
Warwick,Stridebreaker,None,JUNGLE,4929.0,50.0,57.98,2
Hecarim,Stridebreaker,None,JUNGLE,4111.0,100.0,29.0,1
Hecarim,Experimental Hexplate,Stridebreaker,JUNGLE,7602.0,100.0,-23.69,1
Hecarim,Black Cleaver,Experimental Hexplate,JUNGLE,11120.0,100.0,-15.02,1
Hecarim,Armored Advance,Black Cleaver,JUNGLE,12737.0,100.0,-17.81,1
Hecarim,Armored Advance,Armored Advance,JUNGLE,13981.0,100.0,0,1
JarvanIV,Blade of The Ruined King,Stridebreaker,JUNGLE,9094.0,100.0,0,1
JarvanIV,Profane Hydra,None,JUNGLE,4283.0,0.0,39.82,1
JarvanIV,Axiom Arc,Profane Hydra,JUNGLE,6977.0,0.0,69.57,1
JarvanIV,Opportunity,Axiom Arc,JUNGLE,10576.0,0.0,46.13,1
JarvanIV,The Collector,Opportunity,JUNGLE,13189.0,0.0,-57.25,1
Kayn,Stridebreaker,None,JUNGLE,4214.0,0.0,25.02,1
Kayn,Experimental Hexplate,Stridebreaker,JUNGLE,8636.0,0.0,-0.76,1
Kayn,Profane Hydra,None,JUNGLE,3227.0,0.0,110.08,1
Kayn,Axiom Arc,Profane Hydra,JUNGLE,8692.0,0.0,-30.45,1
Kayn,Black Cleaver,Axiom Arc,JUNGLE,10562.0,0.0,-42.18,1
Kayn,Crimson Lucidity,Black Cleaver,JUNGLE,11993.0,0.0,11.32,1
Kayn,Experimental Hexplate,Crimson Lucidity,JUNGLE,14201.0,0.0,0,1
Skarner,Profane Hydra,None,JUNGLE,4172.0,0.0,-26.25,1
Skarner,Axiom Arc,Profane Hydra,JUNGLE,8989.0,0.0,-39.68,1
Skarner,Edge of Night,Axiom Arc,JUNGLE,10769.0,0.0,-4.5,1
Skarner,Experimental Hexplate,Edge of Night,JUNGLE,13947.0,0.0,0,1
Skarner,Stridebreaker,None,JUNGLE,4699.0,0.0,28.19,1
Skarner,Eclipse,Stridebreaker,JUNGLE,7847.0,0.0,-25.89,1
Skarner,Black Cleaver,Eclipse,JUNGLE,9441.0,0.0,30.98,1
Skarner,Blade of The Ruined King,Black Cleaver,JUNGLE,13509.0,0.0,0,1
LeeSin,Sterak's Gage,Experimental Hexplate,JUNGLE,12714.0,100.0,0,1
Graves,Black Cleaver,Stridebreaker,JUNGLE,8074.0,100.0,37.24,1
Graves,Sterak's Gage,Black Cleaver,JUNGLE,11896.0,100.0,0,1
Graves,Eclipse,Stridebreaker,JUNGLE,9264.0,100.0,-19.38,1
Graves,Black Cleaver,Eclipse,JUNGLE,11500.0,100.0,0,1
Graves,Armored Advance,Armored Advance,JUNGLE,12348.0,100.0,0,1
Graves,Experimental Hexplate,None,JUNGLE,4448.0,100.0,19.11,1
Graves,Black Cleaver,Experimental Hexplate,JUNGLE,8909.0,100.0,32.03,1
Khazix,Randuin's Omen,Experimental Hexplate,JUNGLE,10408.0,100.0,32.02,1
Khazix,Axiom Arc,None,JUNGLE,6621.0,100.0,18.09,1
Khazix,Stridebreaker,Axiom Arc,JUNGLE,8874.0,100.0,2.92,1
Khazix,Black Cleaver,Stridebreaker,JUNGLE,12142.0,100.0,0,1
Khazix,Armored Advance,Black Cleaver,JUNGLE,12142.0,100.0,0,1
Khazix,Eclipse,None,JUNGLE,4720.0,100.0,25.44,1
Khazix,Experimental Hexplate,Eclipse,JUNGLE,7495.0,100.0,-34.91,1
Khazix,Voltaic Cyclosword,Experimental Hexplate,JUNGLE,11359.0,100.0,57.51,1
Khazix,Edge of Night,Voltaic Cyclosword,JUNGLE,14388.0,100.0,22.1,1
Khazix,Swiftmarch,Edge of Night,JUNGLE,14388.0,100.0,22.3,1
MonkeyKing,Experimental Hexplate,None,JUNGLE,3625.0,100.0,3.34,1
MonkeyKing,Black Cleaver,Experimental Hexplate,JUNGLE,8880.0,100.0,33.05,1
MonkeyKing,Armored Advance,Black Cleaver,JUNGLE,9617.0,100.0,21.6,1
MonkeyKing,Sterak's Gage,Armored Advance,JUNGLE,11734.0,100.0,-16.76,1
MonkeyKing,Stridebreaker,Sterak's Gage,JUNGLE,15384.0,100.0,0,1
MonkeyKing,Stridebreaker,None,JUNGLE,6015.0,100.0,15.78,1
MonkeyKing,Experimental Hexplate,Stridebreaker,JUNGLE,10173.0,100.0,0,1
MonkeyKing,Armored Advance,Experimental Hexplate,JUNGLE,10173.0,100.0,0,1
Shaco,Stridebreaker,None,JUNGLE,4372.0,0.0,39.29,1
Shaco,Experimental Hexplate,Stridebreaker,JUNGLE,8777.0,0.0,6.25,1
Shaco,Sterak's Gage,Experimental Hexplate,JUNGLE,11851.0,0.0,-20.66,1
Shaco,Serpent's Fang,Sterak's Gage,JUNGLE,13745.0,0.0,0,1
XinZhao,Axiom Arc,None,JUNGLE,4130.0,100.0,0,1
XinZhao,Opportunity,None,JUNGLE,4435.0,0.0,44.39,1
XinZhao,Axiom Arc,Opportunity,JUNGLE,6788.0,0.0,-16.18,1
XinZhao,Edge of Night,Axiom Arc,JUNGLE,10116.0,0.0,0,1
Viego,Black Cleaver,Stridebreaker,JUNGLE,9683.0,100.0,-43.94,1
Viego,Armored Advance,Black Cleaver,JUNGLE,10950.0,100.0,7.24,1
Viego,Sterak's Gage,Armored Advance,JUNGLE,12489.0,100.0,21.65,1
Viego,Experimental Hexplate,None,JUNGLE,5396.0,0.0,29.0,1
Viego,Stridebreaker,Experimental Hexplate,JUNGLE,9167.0,0.0,-11.8,1
Viego,Blade of The Ruined King,Stridebreaker,JUNGLE,11564.0,0.0,0,1
Viego,Sterak's Gage,Experimental Hexplate,JUNGLE,11453.0,0.0,-14.13,1
Viego,Black Cleaver,Sterak's Gage,JUNGLE,14231.0,0.0,0,1
Viego,Black Cleaver,Experimental Hexplate,JUNGLE,11162.0,100.0,0,1
MasterYi,Guardian Angel,Armored Advance,JUNGLE,12104.0,100.0,0,1
Sylas,Stridebreaker,None,JUNGLE,4138.0,100.0,48.06,1
Sylas,Experimental Hexplate,Stridebreaker,JUNGLE,8276.0,100.0,1.04,1
Sylas,Chainlaced Crushers,Experimental Hexplate,JUNGLE,10283.0,100.0,-11.59,1
Sylas,Black Cleaver,Chainlaced Crushers,JUNGLE,11857.0,100.0,20.87,1
Sylas,Youmuu's Ghostblade,None,JUNGLE,4575.0,0.0,31.08,1
Sylas,Serpent's Fang,Youmuu's Ghostblade,JUNGLE,5956.0,0.0,28.99,1
Sylas,Profane Hydra,Serpent's Fang,JUNGLE,9278.0,0.0,18.92,1
Sylas,Edge of Night,Axiom Arc,JUNGLE,15165.0,0.0,47.07,1
Sylas,Experimental Hexplate,None,JUNGLE,4312.0,0.0,-2.38,1
Sylas,Stridebreaker,Experimental Hexplate,JUNGLE,8211.0,0.0,138.27,1
Sylas,Black Cleaver,Stridebreaker,JUNGLE,13522.0,0.0,1.6,1
Sylas,Sterak's Gage,Black Cleaver,JUNGLE,15402.0,0.0,-56.3,1
Sylas,Experimental Hexplate,Axiom Arc,JUNGLE,11782.0,100.0,0,1
Amumu,Eclipse,Stridebreaker,JUNGLE,7902.0,0.0,-33.28,1
Amumu,Experimental Hexplate,Stridebreaker,JUNGLE,8110.0,100.0,3.02,1
Amumu,Sterak's Gage,Experimental Hexplate,JUNGLE,11271.0,100.0,0,1
Udyr,Experimental Hexplate,None,JUNGLE,4377.0,100.0,28.81,1
Udyr,Stridebreaker,Experimental Hexplate,JUNGLE,7030.0,100.0,29.02,1
Udyr,Armored Advance,Stridebreaker,JUNGLE,9781.0,100.0,0,1
Belveth,Stridebreaker,None,JUNGLE,4703.0,100.0,26.82,1
Trundle,Death's Dance,Black Cleaver,JUNGLE,16330.0,0.0,-59.25,1
Diana,Chainlaced Crushers,Black Cleaver,JUNGLE,11916.0,100.0,5.27,1
Diana,Maw of Malmortius,Chainlaced Crushers,JUNGLE,15696.0,100.0,9.59,1
Diana,Stridebreaker,Black Cleaver,JUNGLE,11660.0,100.0,45.28,1
Diana,Sterak's Gage,Stridebreaker,JUNGLE,15498.0,100.0,0,1
Diana,Wit's End,None,JUNGLE,3961.0,100.0,26.41,1
Diana,Terminus,Wit's End,JUNGLE,6539.0,100.0,111.03,1
Diana,Sterak's Gage,Terminus,JUNGLE,10649.0,100.0,-10.41,1
Diana,Stridebreaker,Sterak's Gage,JUNGLE,14355.0,100.0,0,1
Diana,Sterak's Gage,Experimental Hexplate,JUNGLE,12060.0,100.0,0,1
Diana,Wit's End,Experimental Hexplate,JUNGLE,7732.0,0.0,0,1
Zed,Stridebreaker,None,JUNGLE,4570.0,0.0,-12.45,1
Zed,Experimental Hexplate,Stridebreaker,JUNGLE,7905.0,0.0,4.62,1
Elise,Stridebreaker,None,JUNGLE,3949.0,0.0,57.46,1
Elise,Experimental Hexplate,Stridebreaker,JUNGLE,8374.0,0.0,-14.72,1
Elise,Chainlaced Crushers,Experimental Hexplate,JUNGLE,8877.0,0.0,-33.18,1
Talon,Eclipse,Axiom Arc,JUNGLE,10584.0,100.0,-20.89,1
Talon,Armored Advance,Eclipse,JUNGLE,11146.0,100.0,15.81,1
Talon,Black Cleaver,Armored Advance,JUNGLE,15400.0,100.0,0,1
Talon,Stridebreaker,None,JUNGLE,4831.0,0.0,43.76,1
Talon,Black Cleaver,Stridebreaker,JUNGLE,8544.0,0.0,4.22,1
Talon,Death's Dance,Black Cleaver,JUNGLE,12450.0,0.0,26.81,1
Talon,Chempunk Chainsword,Death's Dance,JUNGLE,14723.0,0.0,0,1
Kindred,Stridebreaker,None,JUNGLE,4484.0,100.0,0,1
Ekko,Experimental Hexplate,None,JUNGLE,3903.0,100.0,21.79,1
Ekko,Stridebreaker,Experimental Hexplate,JUNGLE,7968.0,100.0,2.03,1
Ekko,Armored Advance,Stridebreaker,JUNGLE,9969.0,100.0,66.17,1
Ekko,Axiom Arc,Armored Advance,JUNGLE,13271.0,100.0,0,1
Ekko,Experimental Hexplate,Stridebreaker,JUNGLE,8452.0,0.0,36.99,1
Ekko,Chainlaced Crushers,Experimental Hexplate,JUNGLE,10334.0,0.0,26.58,1
Ekko,Black Cleaver,Chainlaced Crushers,JUNGLE,11772.0,0.0,0,1
Briar,Stridebreaker,None,JUNGLE,4143.0,0.0,36.86,1
Briar,Experimental Hexplate,Stridebreaker,JUNGLE,8075.0,0.0,72.06,1
Briar,Black Cleaver,Experimental Hexplate,JUNGLE,11910.0,0.0,0,1
DrMundo,Stridebreaker,None,JUNGLE,5972.0,0.0,52.82,1
DrMundo,Experimental Hexplate,Stridebreaker,JUNGLE,9095.0,0.0,-30.57,1
