VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Viego,Hextech Rocketbelt,None,JUNGLE,4572.3,66.7,32.05,3
Shaco,Liandry's Torment,None,JUNGLE,4426.5,50.0,-12.56,2
Shaco,Frozen Heart,Liandry's Torment,JUNGLE,7655.0,50.0,-12.45,2
Viego,Rabadon's Deathcap,Hextech Rocketbelt,JUNGLE,8237.5,50.0,56.19,2
Kayn,Liandry's Torment,None,JUNGLE,4030.0,0.0,42.16,2
Lillia,Liandry's Torment,None,JUNGLE,6029.0,50.0,-25.25,2
Zaahen,Hextech Rocketbelt,None,JUNGLE,3804.0,50.0,-9.58,2
Qiyana,Liandry's Torment,None,JUNGLE,4205.5,100.0,25.39,2
Karthus,Hextech Rocketbelt,None,JUNGLE,4012.0,0.0,18.72,1
Karthus,Shadowflame,Hextech Rocketbelt,JUNGLE,8243.0,0.0,-48.08,1
FiddleSticks,Liandry's Torment,None,JUNGLE,4649.0,0.0,-26.75,1
FiddleSticks,Dead Man's Plate,Liandry's Torment,JUNGLE,8728.0,0.0,-21.4,1
FiddleSticks,Spirit Visage,Dead Man's Plate,JUNGLE,10761.0,0.0,0,1
Shaco,Thornmail,Frozen Heart,JUNGLE,9836.0,100.0,31.45,1
Shaco,Kaenic Rookern,Thornmail,JUNGLE,12447.0,100.0,57.97,1
Shaco,Hextech Rocketbelt,None,JUNGLE,4336.0,100.0,-13.45,1
Shaco,Shadowflame,Hextech Rocketbelt,JUNGLE,8473.0,100.0,15.01,1
Shaco,Liandry's Torment,Shadowflame,JUNGLE,10735.0,100.0,15.4,1
Morgana,Hextech Rocketbelt,None,JUNGLE,4334.0,100.0,-4.62,1
Morgana,Rabadon's Deathcap,Hextech Rocketbelt,JUNGLE,7916.0,100.0,-1.66,1
Morgana,Shadowflame,Rabadon's Deathcap,JUNGLE,11018.0,100.0,23.66,1
Morgana,Zhonya's Hourglass,Shadowflame,JUNGLE,14807.0,100.0,0,1
Viego,Liandry's Torment,Hextech Rocketbelt,JUNGLE,9889.0,100.0,12.91,1
Viego,Rabadon's Deathcap,Liandry's Torment,JUNGLE,12652.0,100.0,0,1
Viego,Void Staff,Rabadon's Deathcap,JUNGLE,13217.0,0.0,1.26,1
Viego,Shadowflame,Void Staff,JUNGLE,14750.0,0.0,0,1
Viego,Shadowflame,Shadowflame,JUNGLE,14750.0,0.0,0,1
Viego,Liandry's Torment,None,JUNGLE,5572.0,0.0,-16.72,1
Viego,Frozen Heart,Liandry's Torment,JUNGLE,7670.0,0.0,-29.72,1
Viego,Spellslinger's Shoes,Rabadon's Deathcap,JUNGLE,10123.0,100.0,0,1
Kayn,Sunfire Aegis,Liandry's Torment,JUNGLE,7415.0,0.0,64.11,1
