VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Xerath,Archangel's Staff,None,MIDDLE,3938.0,66.7,40.53,3
Xerath,Archangel's Staff,Archangel's Staff,MIDDLE,5232.7,66.7,32.01,3
Xerath,Luden's Companion,None,MIDDLE,4334.0,0.0,10.29,3
Viktor,Archangel's Staff,None,MIDDLE,4852.5,50.0,3.93,2
Viktor,Archangel's Staff,Archangel's Staff,MIDDLE,5855.0,50.0,36.1,2
Aurora,Archangel's Staff,Archangel's Staff,MIDDLE,6566.5,100.0,4.64,2
Lux,Zhonya's Hourglass,Shadowflame,MIDDLE,13079.0,100.0,-5.18,2
Lux,Rabadon's Deathcap,Zhonya's Hourglass,MIDDLE,16691.0,100.0,15.66,2
Veigar,Blackfire Torch,None,MIDDLE,4226.5,100.0,43.52,2
Irelia,Luden's Companion,None,MIDDLE,4168.5,50.0,18.44,2
Zed,Archangel's Staff,Archangel's Staff,MIDDLE,7614.0,0.0,3.81,2
Katarina,Rod of Ages,None,MIDDLE,3496.0,0.0,29.74,2
Katarina,Archangel's Staff,Rod of Ages,MIDDLE,7484.5,0.0,6.36,2
Katarina,Archangel's Staff,Archangel's Staff,MIDDLE,7484.5,0.0,6.37,2
Ahri,Rod of Ages,None,MIDDLE,4293.5,100.0,46.16,2
Syndra,Blackfire Torch,None,MIDDLE,4101.5,50.0,20.93,2
Syndra,Horizon Focus,Blackfire Torch,MIDDLE,6833.5,50.0,-10.99,2
Malzahar,Luden's Companion,None,MIDDLE,3964.0,50.0,27.75,2
Viktor,Shadowflame,Archangel's Staff,MIDDLE,7806.0,0.0,10.42,1
Viktor,Rabadon's Deathcap,Shadowflame,MIDDLE,11461.0,0.0,0,1
Viktor,Luden's Companion,Archangel's Staff,MIDDLE,7575.0,100.0,21.45,1
Viktor,Spellslinger's Shoes,Luden's Companion,MIDDLE,8739.0,100.0,132.06,1
Viktor,Blackfire Torch,None,MIDDLE,3969.0,100.0,12.73,1
Viktor,Rabadon's Deathcap,Blackfire Torch,MIDDLE,8367.0,100.0,51.14,1
Viktor,Shadowflame,Rabadon's Deathcap,MIDDLE,11407.0,100.0,0,1
Viktor,Spellslinger's Shoes,Shadowflame,MIDDLE,12484.0,100.0,0,1
Aurora,Luden's Companion,None,MIDDLE,4067.0,100.0,40.77,1
Aurora,Archangel's Staff,Luden's Companion,MIDDLE,7763.0,100.0,32.3,1
Aurora,Shadowflame,Archangel's Staff,MIDDLE,11140.0,100.0,29.69,1
Aurora,Archangel's Staff,None,MIDDLE,3657.0,100.0,-15.14,1
Aurora,Luden's Companion,Archangel's Staff,MIDDLE,8009.0,100.0,53.48,1
Aurora,Shadowflame,Luden's Companion,MIDDLE,11379.0,100.0,7.46,1
Aurora,Zhonya's Hourglass,Shadowflame,MIDDLE,14262.0,100.0,0,1
Diana,Luden's Companion,None,MIDDLE,4432.0,100.0,10.72,1
Diana,Stormsurge,Luden's Companion,MIDDLE,8087.0,100.0,-32.73,1
Diana,Zhonya's Hourglass,Stormsurge,MIDDLE,11709.0,100.0,0,1
Diana,Blackfire Torch,None,MIDDLE,4436.0,0.0,-11.12,1
Diana,Rod of Ages,None,MIDDLE,4678.0,100.0,12.01,1
Diana,Archangel's Staff,Rod of Ages,MIDDLE,7256.0,100.0,-18.07,1
Diana,Archangel's Staff,Archangel's Staff,MIDDLE,7256.0,100.0,-18.07,1
Diana,Kaenic Rookern,Archangel's Staff,MIDDLE,9916.0,100.0,3.32,1
Garen,Liandry's Torment,None,TOP,4397.0,100.0,1.97,1
Garen,Liandry's Torment,Liandry's Torment,TOP,4397.0,100.0,5.86,1
Garen,Shadowflame,Liandry's Torment,TOP,8800.0,100.0,62.52,1
Garen,Rabadon's Deathcap,Shadowflame,TOP,11817.0,100.0,-25.16,1
Velkoz,Archangel's Staff,None,MIDDLE,4560.0,0.0,16.56,1
Velkoz,Archangel's Staff,Archangel's Staff,MIDDLE,5036.0,0.0,33.87,1
Velkoz,Liandry's Torment,Archangel's Staff,MIDDLE,7464.0,0.0,0,1
Velkoz,Blackfire Torch,None,MIDDLE,3612.0,0.0,3.52,1
Velkoz,Horizon Focus,Blackfire Torch,MIDDLE,7386.0,0.0,-39.6,1
Xerath,Luden's Companion,Archangel's Staff,MIDDLE,7559.0,100.0,9.22,1
Xerath,Crimson Lucidity,Luden's Companion,MIDDLE,8622.0,100.0,-12.96,1
Xerath,Liandry's Torment,Crimson Lucidity,MIDDLE,10883.0,100.0,49.24,1
Xerath,Shadowflame,Archangel's Staff,MIDDLE,7201.0,100.0,23.41,1
Xerath,Zhonya's Hourglass,Shadowflame,MIDDLE,11455.0,100.0,-16.7,1
Xerath,Spellslinger's Shoes,Zhonya's Hourglass,MIDDLE,11455.0,100.0,-16.47,1
Xerath,Luden's Companion,Spellslinger's Shoes,MIDDLE,14371.0,100.0,36.36,1
Xerath,Liandry's Torment,Luden's Companion,MIDDLE,17096.0,100.0,0,1
Xerath,Liandry's Torment,Archangel's Staff,MIDDLE,9200.0,0.0,-12.19,1
Xerath,Rabadon's Deathcap,Liandry's Torment,MIDDLE,11648.0,0.0,45.03,1
Xerath,Void Staff,Rabadon's Deathcap,MIDDLE,15962.0,0.0,-7.55,1
Xerath,Cryptbloom,Void Staff,MIDDLE,15962.0,0.0,-7.39,1
Xerath,Void Staff,Cryptbloom,MIDDLE,15962.0,0.0,-7.16,1
Xerath,Stormsurge,Luden's Companion,MIDDLE,7563.0,0.0,18.35,1
Xerath,Shadowflame,Stormsurge,MIDDLE,10653.0,0.0,0,1
Xerath,Rabadon's Deathcap,Luden's Companion,MIDDLE,9298.0,0.0,0,1
Xerath,Horizon Focus,Luden's Companion,MIDDLE,7296.0,0.0,53.52,1
