VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Ambessa,Eclipse,None,TOP,3922.0,25.0,35.16,4
Ambessa,Black Cleaver,Eclipse,TOP,7939.5,0.0,10.62,2
Ambessa,Sundered Sky,Eclipse,TOP,8398.0,50.0,-15.99,2
Viego,Eclipse,None,JUNGLE,4219.0,50.0,6.02,2
Viego,Sundered Sky,Eclipse,JUNGLE,7351.5,50.0,-18.57,2
Rengar,Sundered Sky,None,JUNGLE,4137.5,0.0,-22.07,2
Rengar,Black Cleaver,Sundered Sky,JUNGLE,7814.5,0.0,28.87,2
Zyra,Eclipse,None,UTILITY,3774.0,50.0,-11.5,2
Velkoz,Eclipse,None,UTILITY,4624.5,0.0,3.06,2
Thresh,Umbral Glaive,None,UTILITY,3062.0,50.0,26.6,2
Thresh,Black Cleaver,Umbral Glaive,UTILITY,7138.0,50.0,29.93,2
Diana,Eclipse,None,JUNGLE,4017.0,100.0,72.98,1
Diana,Sundered Sky,Eclipse,JUNGLE,8070.0,100.0,37.42,1
Diana,Sterak's Gage,Sundered Sky,JUNGLE,11193.0,100.0,21.45,1
Diana,Black Cleaver,Sterak's Gage,JUNGLE,13858.0,100.0,0,1
Lulu,Eclipse,None,UTILITY,4219.0,0.0,-25.07,1
Lulu,Umbral Glaive,None,UTILITY,4284.0,0.0,-26.57,1
Lulu,Black Cleaver,Umbral Glaive,UTILITY,7465.0,0.0,0,1
Sejuani,Eclipse,None,JUNGLE,3604.0,100.0,24.21,1
Sejuani,Sundered Sky,Eclipse,JUNGLE,7530.0,100.0,15.4,1
Jayce,Heartsteel,None,TOP,4045.0,0.0,0.92,1
Jayce,Dead Man's Plate,Heartsteel,TOP,7901.0,0.0,0,1
Trundle,Eclipse,None,JUNGLE,4405.0,0.0,16.58,1
Trundle,Sundered Sky,Eclipse,JUNGLE,7840.0,0.0,42.54,1
Trundle,Sterak's Gage,Sundered Sky,JUNGLE,10976.0,0.0,70.21,1
Trundle,Death's Dance,Sterak's Gage,JUNGLE,14508.0,0.0,-20.7,1
DrMundo,Sundered Sky,None,JUNGLE,4128.0,100.0,3.98,1
DrMundo,Black Cleaver,Sundered Sky,JUNGLE,8108.0,100.0,17.27,1
DrMundo,Unending Despair,Black Cleaver,JUNGLE,10884.0,100.0,-14.66,1
DrMundo,Sterak's Gage,Unending Despair,JUNGLE,14300.0,100.0,43.65,1
DrMundo,Eclipse,Sterak's Gage,JUNGLE,16197.0,100.0,-8.56,1
DrMundo,Eclipse,None,JUNGLE,3739.0,0.0,-19.93,1
DrMundo,Sundered Sky,Eclipse,JUNGLE,7826.0,0.0,-7.73,1
DrMundo,Blade of The Ruined King,Sundered Sky,JUNGLE,11263.0,0.0,0,1
Ambessa,Spear of Shojin,Black Cleaver,TOP,10348.0,0.0,0,1
Ambessa,Serpent's Fang,Black Cleaver,TOP,9849.0,0.0,0,1
Ambessa,Armored Advance,Sundered Sky,TOP,10623.0,100.0,-21.84,1
Ambessa,Spear of Shojin,Armored Advance,TOP,11775.0,100.0,23.03,1
Smolder,Youmuu's Ghostblade,None,BOTTOM,4150.0,100.0,-14.58,1
Smolder,Eclipse,Youmuu's Ghostblade,BOTTOM,7226.0,100.0,37.56,1
Smolder,The Collector,Eclipse,BOTTOM,10912.0,100.0,47.2,1
Smolder,Sundered Sky,The Collector,BOTTOM,13473.0,100.0,0,1
TahmKench,Eclipse,None,UTILITY,4073.0,100.0,30.2,1
TahmKench,Black Cleaver,Eclipse,UTILITY,6602.0,100.0,40.59,1
TahmKench,Blade of The Ruined King,Black Cleaver,UTILITY,10918.0,100.0,0,1
Yuumi,Eclipse,None,UTILITY,4533.0,100.0,17.14,1
Yuumi,Edge of Night,Eclipse,UTILITY,8118.0,100.0,-51.5,1
Yuumi,Umbral Glaive,None,UTILITY,4398.0,100.0,19.38,1
Yuumi,Eclipse,Umbral Glaive,UTILITY,7477.0,100.0,11.61,1
Yuumi,Swiftmarch,Eclipse,UTILITY,7477.0,100.0,11.66,1
Yuumi,Black Cleaver,Swiftmarch,UTILITY,10716.0,100.0,0,1
Volibear,Serpent's Fang,None,TOP,4317.0,100.0,14.26,1
Volibear,Eclipse,Serpent's Fang,TOP,6927.0,100.0,0,1
Volibear,Crimson Lucidity,Eclipse,TOP,7478.0,100.0,0,1
Nami,Umbral Glaive,None,UTILITY,3915.0,0.0,-25.57,1
Nami,Forever Forward,Umbral Glaive,UTILITY,6732.0,0.0,0,1
Nami,Sundered Sky,None,UTILITY,5202.0,0.0,60.38,1
Nami,Armored Advance,Sundered Sky,UTILITY,5577.0,0.0,75.55,1
Chogath,Hubris,None,TOP,4554.0,0.0,98.35,1
Chogath,Blade of The Ruined King,Hubris,TOP,8115.0,0.0,48.25,1
Chogath,Sundered Sky,Blade of The Ruined King,TOP,11990.0,0.0,11.93,1
Chogath,Black Cleaver,Sundered Sky,TOP,14844.0,0.0,-35.37,1
Chogath,Eclipse,None,TOP,5267.0,100.0,0,1
Akali,Maw of Malmortius,None,TOP,5282.0,100.0,13.25,1
Akali,Black Cleaver,Maw of Malmortius,TOP,7708.0,100.0,-7.6,1
Rakan,Eclipse,None,UTILITY,4102.0,100.0,77.51,1
Zed,Sundered Sky,None,JUNGLE,3932.0,100.0,-3.89,1
Zed,Spear of Shojin,Sundered Sky,JUNGLE,8608.0,100.0,-22.48,1
