VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Akshan,Hubris,None,MIDDLE,3632.5,50.0,-1.21,2
Akshan,Profane Hydra,Hubris,MIDDLE,7554.5,50.0,18.39,2
Zed,Profane Hydra,None,MIDDLE,4245.5,0.0,-19.19,2
Shaco,Profane Hydra,None,JUNGLE,3899.0,50.0,62.84,2
Shaco,Axiom Arc,Profane Hydra,JUNGLE,7113.5,50.0,2.73,2
Shaco,Serylda's Grudge,Axiom Arc,JUNGLE,9784.0,50.0,-3.15,2
Shaco,Edge of Night,Serylda's Grudge,JUNGLE,12933.5,50.0,0,2
Malzahar,Hubris,None,MIDDLE,4216.0,0.0,-0.27,2
Briar,Profane Hydra,None,JUNGLE,3944.0,100.0,11.22,2
Briar,Axiom Arc,Profane Hydra,JUNGLE,7152.0,100.0,-18.37,2
LeeSin,Profane Hydra,None,JUNGLE,3786.5,100.0,13.01,2
LeeSin,Axiom Arc,Profane Hydra,JUNGLE,7345.5,100.0,38.53,2
Hwei,Hubris,None,MIDDLE,5821.5,100.0,3.39,2
Hwei,Profane Hydra,Hubris,MIDDLE,7583.0,100.0,48.34,2
Kayn,Profane Hydra,None,JUNGLE,4040.0,0.0,15.39,2
Kayn,Axiom Arc,Profane Hydra,JUNGLE,6760.5,0.0,19.19,2
Viego,Profane Hydra,None,JUNGLE,4622.5,0.0,-20.32,2
Viego,Axiom Arc,Profane Hydra,JUNGLE,7028.5,0.0,58.23,2
Viego,Serylda's Grudge,Axiom Arc,JUNGLE,10948.0,0.0,-40.33,2
Nunu,Profane Hydra,None,JUNGLE,3792.0,0.0,-1.47,2
Khazix,Profane Hydra,None,JUNGLE,3666.0,100.0,13.15,2
Khazix,Axiom Arc,Profane Hydra,JUNGLE,7778.0,100.0,47.33,2
Akshan,Crimson Lucidity,Profane Hydra,MIDDLE,9263.0,100.0,17.13,1
Akshan,Serylda's Grudge,Crimson Lucidity,MIDDLE,11597.0,100.0,0,1
Akshan,Youmuu's Ghostblade,Profane Hydra,MIDDLE,10157.0,0.0,16.72,1
Akshan,Serylda's Grudge,Youmuu's Ghostblade,MIDDLE,13232.0,0.0,0,1
Annie,Hubris,None,MIDDLE,3715.0,0.0,-7.05,1
Annie,Profane Hydra,Hubris,MIDDLE,7504.0,0.0,61.45,1
Annie,Crimson Lucidity,Profane Hydra,MIDDLE,8604.0,0.0,19.41,1
JarvanIV,Hubris,None,JUNGLE,5016.0,0.0,10.54,1
JarvanIV,Eclipse,Hubris,JUNGLE,7714.0,0.0,-12.44,1
JarvanIV,Titanic Hydra,Eclipse,JUNGLE,11202.0,0.0,0,1
