VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Thresh,Locket of the Iron Solari,None,UTILITY,4006.3,33.3,38.88,3
Rakan,Locket of the Iron Solari,None,UTILITY,3636.5,50.0,-1.6,2
Thresh,Zeke's Convergence,Locket of the Iron Solari,UTILITY,6546.0,50.0,12.01,2
Poppy,Locket of the Iron Solari,None,UTILITY,4640.5,50.0,18.22,2
Nami,Locket of the Iron Solari,None,UTILITY,3732.0,50.0,5.2,2
Leona,Zeke's Convergence,None,UTILITY,3300.0,0.0,-17.67,2
Pyke,Locket of the Iron Solari,None,UTILITY,4693.0,50.0,-3.31,2
Rakan,Armored Advance,Locket of the Iron Solari,UTILITY,4574.0,0.0,-30.48,1
Rakan,Kaenic Rookern,Armored Advance,UTILITY,7579.0,0.0,-9.54,1
Rakan,Crimson Lucidity,Locket of the Iron Solari,UTILITY,4741.0,100.0,56.61,1
Rakan,Redemption,Crimson Lucidity,UTILITY,6466.0,100.0,63.6,1
Rakan,Zeke's Convergence,Redemption,UTILITY,8852.0,100.0,0,1
Thresh,Crimson Lucidity,Zeke's Convergence,UTILITY,7600.0,100.0,0,1
Thresh,Redemption,Locket of the Iron Solari,UTILITY,6313.0,0.0,30.25,1
Thresh,Zeke's Convergence,Redemption,UTILITY,8826.0,0.0,0,1
Milio,Locket of the Iron Solari,None,UTILITY,2712.0,0.0,35.14,1
Milio,Zeke's Convergence,Locket of the Iron Solari,UTILITY,7572.0,0.0,-5.03,1
Milio,Thornmail,Zeke's Convergence,UTILITY,8461.0,0.0,0,1
Milio,Redemption,None,UTILITY,4423.0,100.0,20.65,1
Milio,Crimson Lucidity,Redemption,UTILITY,4423.0,100.0,20.99,1
Milio,Locket of the Iron Solari,Crimson Lucidity,UTILITY,8373.0,100.0,0,1
Senna,Locket of the Iron Solari,None,UTILITY,3616.0,100.0,-8.44,1
Senna,Zeke's Convergence,Locket of the Iron Solari,UTILITY,6931.0,100.0,5.7,1
Senna,Armored Advance,Zeke's Convergence,UTILITY,7301.0,100.0,12.08,1
Poppy,Thornmail,Locket of the Iron Solari,UTILITY,7283.0,100.0,0,1
Poppy,Armored Advance,Thornmail,UTILITY,7283.0,100.0,0,1
Nami,Zeke's Convergence,Locket of the Iron Solari,UTILITY,5501.0,100.0,-21.8,1
Nami,Armored Advance,Zeke's Convergence,UTILITY,6779.0,100.0,18.21,1
Nami,Redemption,Locket of the Iron Solari,UTILITY,5978.0,0.0,12.33,1
Sona,Locket of the Iron Solari,None,UTILITY,4092.0,0.0,-6.18,1
Sona,Knight's Vow,Locket of the Iron Solari,UTILITY,7197.0,0.0,-21.34,1
Leona,Knight's Vow,Zeke's Convergence,UTILITY,6673.0,0.0,-3.17,1
Leona,Locket of the Iron Solari,Knight's Vow,UTILITY,8722.0,0.0,0,1
Leona,Redemption,Zeke's Convergence,UTILITY,4290.0,0.0,-26.61,1
Leona,Crimson Lucidity,Redemption,UTILITY,5107.0,0.0,-12.99,1
Leona,Locket of the Iron Solari,Crimson Lucidity,UTILITY,6757.0,0.0,41.98,1
Leona,Zeke's Convergence,Locket of the Iron Solari,UTILITY,6757.0,0.0,42.21,1
Leona,Thornmail,Zeke's Convergence,UTILITY,9365.0,0.0,0,1
