VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Kaisa,The Collector,None,BOTTOM,4191.3,14.3,23.3,7
Caitlyn,The Collector,None,BOTTOM,4161.1,14.3,5.5,7
Jinx,The Collector,None,BOTTOM,4218.2,83.3,18.37,6
Kaisa,Infinity Edge,The Collector,BOTTOM,9025.3,16.7,47.33,6
Caitlyn,Infinity Edge,The Collector,BOTTOM,8327.8,20.0,11.25,5
Vayne,The Collector,None,BOTTOM,3912.2,0.0,2.98,5
Jinx,Infinity Edge,The Collector,BOTTOM,8438.5,100.0,64.6,4
MissFortune,The Collector,None,BOTTOM,5166.5,50.0,17.88,4
Jhin,The Collector,None,BOTTOM,4383.3,33.3,12.42,3
Jhin,Infinity Edge,The Collector,BOTTOM,8417.0,33.3,63.06,3
Ezreal,The Collector,None,BOTTOM,3883.7,66.7,12.92,3
Ezreal,Infinity Edge,The Collector,BOTTOM,8975.3,66.7,47.66,3
Yunara,The Collector,None,BOTTOM,4198.3,66.7,29.65,3
Yunara,Infinity Edge,The Collector,BOTTOM,8707.0,66.7,15.77,3
MissFortune,Infinity Edge,The Collector,BOTTOM,8595.3,33.3,-0.21,3
Vayne,Infinity Edge,The Collector,BOTTOM,8412.0,0.0,46.46,3
Mel,The Collector,None,BOTTOM,4732.0,0.0,29.44,3
Ezreal,Mortal Reminder,Infinity Edge,BOTTOM,11385.5,50.0,-63.25,2
Jinx,Lord Dominik's Regards,Infinity Edge,BOTTOM,12578.0,100.0,-3.58,2
Jinx,Immortal Shieldbow,Bloodthirster,BOTTOM,18428.0,100.0,-4.95,2
Kaisa,Lord Dominik's Regards,Infinity Edge,BOTTOM,10966.5,50.0,67.55,2
Caitlyn,Lord Dominik's Regards,Infinity Edge,BOTTOM,11749.0,50.0,16.41,2
Xayah,The Collector,None,BOTTOM,3767.5,100.0,-10.05,2
Lucian,The Collector,None,BOTTOM,4316.5,0.0,37.03,2
Twitch,The Collector,None,BOTTOM,4146.0,50.0,18.26,2
Twitch,Infinity Edge,The Collector,BOTTOM,10080.0,50.0,46.34,2
Ashe,The Collector,None,BOTTOM,3772.5,0.0,-25.22,2
Ashe,Infinity Edge,The Collector,BOTTOM,9059.5,0.0,7.77,2
Smolder,The Collector,None,BOTTOM,3889.5,100.0,29.5,2
Smolder,Infinity Edge,The Collector,BOTTOM,8434.0,100.0,34.08,2
Mel,Infinity Edge,The Collector,BOTTOM,8343.0,0.0,-5.7,2
Zeri,The Collector,None,BOTTOM,4010.5,0.0,-11.14,2
Corki,The Collector,None,BOTTOM,4166.0,0.0,93.34,1
Corki,Infinity Edge,The Collector,BOTTOM,8587.0,0.0,0,1
Jhin,Armored Advance,Infinity Edge,BOTTOM,9855.0,100.0,57.24,1
Jhin,Immortal Shieldbow,Armored Advance,BOTTOM,13259.0,100.0,0,1
Jhin,Lord Dominik's Regards,Infinity Edge,BOTTOM,10739.0,0.0,23.6,1
Jhin,Bloodthirster,Lord Dominik's Regards,BOTTOM,15361.0,0.0,0,1
Ezreal,Lord Dominik's Regards,Infinity Edge,BOTTOM,11442.0,100.0,0,1
Ezreal,Armored Advance,Lord Dominik's Regards,BOTTOM,11442.0,100.0,0,1
Yunara,Immortal Shieldbow,Infinity Edge,BOTTOM,11167.0,0.0,-10.26,1
Yunara,Chainlaced Crushers,Immortal Shieldbow,BOTTOM,11623.0,0.0,-21.58,1
Yunara,Lord Dominik's Regards,Chainlaced Crushers,BOTTOM,16680.0,0.0,29.58,1
Yunara,Bloodthirster,Lord Dominik's Regards,BOTTOM,19029.0,0.0,0,1
Yunara,Lord Dominik's Regards,Infinity Edge,BOTTOM,12193.0,100.0,0,1
Jinx,Chainlaced Crushers,Lord Dominik's Regards,BOTTOM,12850.0,100.0,7.03,1
Jinx,Bloodthirster,Chainlaced Crushers,BOTTOM,16399.0,100.0,-29.14,1
