VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Shaco,Heartsteel,None,JUNGLE,4342.7,33.3,19.84,3
Shaco,Unending Despair,Heartsteel,JUNGLE,8521.3,33.3,38.2,3
Zac,Heartsteel,None,JUNGLE,4506.0,50.0,3.43,2
JarvanIV,Heartsteel,None,JUNGLE,4503.5,0.0,32.35,2
Rengar,Heartsteel,None,JUNGLE,3646.0,0.0,78.55,1
Rengar,Unending Despair,Heartsteel,JUNGLE,7547.0,0.0,35.48,1
Rengar,Armored Advance,Unending Despair,JUNGLE,9952.0,0.0,0,1
Rengar,Thornmail,Armored Advance,JUNGLE,10693.0,0.0,0,1
Rengar,Hollow Radiance,None,JUNGLE,5012.0,0.0,-20.14,1
Rengar,Thornmail,Hollow Radiance,JUNGLE,8609.0,0.0,0,1
Pantheon,Heartsteel,None,JUNGLE,3882.0,0.0,4.56,1
Pantheon,Hollow Radiance,Heartsteel,JUNGLE,7188.0,0.0,-40.06,1
Volibear,Heartsteel,None,JUNGLE,3622.0,100.0,-13.35,1
Volibear,Unending Despair,Heartsteel,JUNGLE,8623.0,100.0,28.61,1
Volibear,Thornmail,Unending Despair,JUNGLE,10339.0,100.0,0,1
Hecarim,Heartsteel,None,JUNGLE,3564.0,100.0,33.82,1
Hecarim,Unending Despair,Heartsteel,JUNGLE,7428.0,100.0,29.28,1
Hecarim,Thornmail,Unending Despair,JUNGLE,7428.0,100.0,29.46,1
Hecarim,Unending Despair,Thornmail,JUNGLE,10183.0,100.0,19.25,1
Hecarim,Armored Advance,Unending Despair,JUNGLE,11060.0,100.0,14.81,1
Hecarim,Sunfire Aegis,Armored Advance,JUNGLE,13403.0,100.0,0,1
Belveth,Heartsteel,None,JUNGLE,4104.0,100.0,10.22,1
Belveth,Sunfire Aegis,Heartsteel,JUNGLE,8200.0,100.0,45.78,1
Belveth,Armored Advance,Sunfire Aegis,JUNGLE,9884.0,100.0,0,1
Zac,Unending Despair,Heartsteel,JUNGLE,7304.0,0.0,-33.93,1
Zac,Unending Despair,Unending Despair,JUNGLE,7304.0,0.0,-33.52,1
Zac,Sunfire Aegis,Unending Despair,JUNGLE,11282.0,0.0,0,1
MonkeyKing,Sunfire Aegis,None,JUNGLE,3837.0,100.0,12.68,1
MonkeyKing,Thornmail,Sunfire Aegis,JUNGLE,7312.0,100.0,38.94,1
MonkeyKing,Frozen Heart,Thornmail,JUNGLE,9601.0,100.0,17.46,1
Ekko,Heartsteel,None,JUNGLE,4615.0,0.0,9.51,1
Ekko,Thornmail,Heartsteel,JUNGLE,7437.0,0.0,0,1
Shaco,Chainlaced Crushers,Unending Despair,JUNGLE,9258.0,100.0,0,1
Shaco,Thornmail,Unending Despair,JUNGLE,10745.0,0.0,-28.02,1
Trundle,Heartsteel,None,JUNGLE,4438.0,0.0,-33.95,1
Trundle,Sunfire Aegis,Heartsteel,JUNGLE,7672.0,0.0,2.44,1
Trundle,Thornmail,Sunfire Aegis,JUNGLE,10280.0,0.0,-7.57,1
JarvanIV,Thornmail,Heartsteel,JUNGLE,7768.0,0.0,0,1
JarvanIV,Frozen Heart,Heartsteel,JUNGLE,7634.0,0.0,-17.38,1
JarvanIV,Zeke's Convergence,Frozen Heart,JUNGLE,9853.0,0.0,-38.74,1
JarvanIV,Armored Advance,Zeke's Convergence,JUNGLE,11020.0,0.0,0,1
Udyr,Heartsteel,None,JUNGLE,3637.0,100.0,-37.8,1
Udyr,Unending Despair,Heartsteel,JUNGLE,8476.0,100.0,7.07,1
Udyr,Thornmail,Unending Despair,JUNGLE,11476.0,100.0,64.93,1
Udyr,"Jak'Sho, The Protean",Thornmail,JUNGLE,14458.0,100.0,10.83,1
Lillia,Heartsteel,None,JUNGLE,4417.0,100.0,50.07,1
Lillia,Unending Despair,Heartsteel,JUNGLE,7960.0,100.0,13.58,1
Lillia,Thornmail,Unending Despair,JUNGLE,10160.0,100.0,0,1
Malphite,Sunfire Aegis,None,JUNGLE,4506.0,100.0,28.09,1
Malphite,Unending Despair,Sunfire Aegis,JUNGLE,7081.0,100.0,7.95,1
Malphite,Unending Despair,Unending Despair,JUNGLE,7081.0,100.0,8.9,1
Malphite,Locket of the Iron Solari,Unending Despair,JUNGLE,9208.0,100.0,-23.07,1
Viego,Heartsteel,None,JUNGLE,4822.0,0.0,13.25,1
Viego,Unending Despair,Heartsteel,JUNGLE,8673.0,0.0,18.23,1
Viego,Thornmail,Unending Despair,JUNGLE,10378.0,0.0,11.99,1
Kayn,Heartsteel,None,JUNGLE,4014.0,100.0,33.67,1
Kayn,Unending Despair,Heartsteel,JUNGLE,8014.0,100.0,-39.45,1
Kayn,Chainlaced Crushers,Unending Despair,JUNGLE,9022.0,100.0,85.82,1
Kayn,Sunfire Aegis,Chainlaced Crushers,JUNGLE,11776.0,100.0,12.98,1
Kayn,Thornmail,Sunfire Aegis,JUNGLE,14192.0,100.0,31.96,1
Graves,Heartsteel,None,JUNGLE,3734.0,0.0,34.01,1
Graves,Sunfire Aegis,Heartsteel,JUNGLE,7806.0,0.0,0.18,1
Graves,Chainlaced Crushers,Sunfire Aegis,JUNGLE,10041.0,0.0,12.26,1
Graves,Kaenic Rookern,Chainlaced Crushers,JUNGLE,11402.0,0.0,-13.11,1
Graves,Thornmail,Kaenic Rookern,JUNGLE,14631.0,0.0,0,1
Talon,Heartsteel,None,JUNGLE,3937.0,100.0,-6.04,1
Talon,Warmog's Armor,Heartsteel,JUNGLE,8127.0,100.0,-6.76,1
Talon,Unending Despair,Warmog's Armor,JUNGLE,11516.0,100.0,0,1
Jax,Heartsteel,None,JUNGLE,3707.0,0.0,54.23,1
Jax,Unending Despair,Heartsteel,JUNGLE,7957.0,0.0,0,1
Irelia,Heartsteel,None,TOP,4380.0,0.0,-0.36,1
Irelia,Winter's Approach,Heartsteel,TOP,7166.0,0.0,52.28,1
Irelia,Winter's Approach,Winter's Approach,TOP,8670.0,0.0,3.14,1
Irelia,Thornmail,Winter's Approach,TOP,9553.0,0.0,2.49,1
