VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Milio,Black Cleaver,None,UTILITY,4428.5,75.0,10.65,4
Jinx,Statikk Shiv,None,BOTTOM,4353.8,50.0,37.73,4
Soraka,Black Cleaver,None,UTILITY,5651.0,100.0,-6.21,3
Milio,Swiftmarch,Black Cleaver,UTILITY,6461.7,66.7,14.42,3
Braum,Black Cleaver,None,UTILITY,5215.0,0.0,15.24,3
Lulu,Black Cleaver,None,UTILITY,5089.0,66.7,0.04,3
Soraka,Rapid Firecannon,Black Cleaver,UTILITY,8757.0,100.0,35.11,2
Soraka,Echoes of Helia,None,UTILITY,3652.0,0.0,17.6,2
Soraka,Moonstone Renewer,Echoes of Helia,UTILITY,5868.0,0.0,-20.03,2
Kaisa,Statikk Shiv,None,BOTTOM,3829.0,0.0,35.59,2
Kaisa,Black Cleaver,Statikk Shiv,BOTTOM,7304.0,0.0,-20.99,2
Lucian,Statikk Shiv,None,BOTTOM,4008.0,0.0,24.77,2
Milio,Rapid Firecannon,Swiftmarch,UTILITY,8678.0,100.0,-17.52,2
Jinx,Black Cleaver,Statikk Shiv,BOTTOM,7839.0,50.0,3.4,2
Alistar,Black Cleaver,None,UTILITY,4834.5,100.0,24.32,2
Alistar,Swiftmarch,Black Cleaver,UTILITY,5750.5,100.0,25.0,2
Smolder,Statikk Shiv,None,BOTTOM,3504.5,50.0,31.75,2
Bard,Black Cleaver,None,UTILITY,4410.0,100.0,-6.45,2
Nautilus,Black Cleaver,None,UTILITY,5166.5,50.0,18.78,2
Soraka,Swiftmarch,Rapid Firecannon,UTILITY,10422.0,100.0,0,1
Soraka,Swiftmarch,Swiftmarch,UTILITY,10422.0,100.0,0,1
Soraka,Dawncore,Moonstone Renewer,UTILITY,8796.0,0.0,1.05,1
Shaco,Black Cleaver,None,UTILITY,4604.0,100.0,11.38,1
Shaco,Infinity Edge,Black Cleaver,UTILITY,8382.0,100.0,-24.74,1
Shaco,Swiftmarch,Infinity Edge,UTILITY,9344.0,100.0,28.27,1
KogMaw,Statikk Shiv,None,BOTTOM,4704.0,0.0,58.67,1
KogMaw,Rapid Firecannon,Statikk Shiv,BOTTOM,8045.0,0.0,-6.65,1
KogMaw,Black Cleaver,Rapid Firecannon,BOTTOM,10341.0,0.0,132.84,1
KogMaw,Edge of Night,Black Cleaver,BOTTOM,14829.0,0.0,0,1
Jhin,The Collector,None,BOTTOM,4069.0,100.0,-19.36,1
Jhin,Rapid Firecannon,The Collector,BOTTOM,7439.0,100.0,51.62,1
Jhin,Infinity Edge,Rapid Firecannon,BOTTOM,10697.0,100.0,48.1,1
Jhin,Black Cleaver,Infinity Edge,BOTTOM,13965.0,100.0,87.02,1
Jhin,Guardian Angel,Black Cleaver,BOTTOM,19028.0,100.0,13.72,1
Kaisa,Youmuu's Ghostblade,None,BOTTOM,3898.0,0.0,25.11,1
Kaisa,Rapid Firecannon,Youmuu's Ghostblade,BOTTOM,7168.0,0.0,23.97,1
Kaisa,Swiftmarch,Rapid Firecannon,BOTTOM,7951.0,0.0,13.79,1
Kaisa,Infinity Edge,Swiftmarch,BOTTOM,11020.0,0.0,0,1
Kaisa,Swiftmarch,Black Cleaver,BOTTOM,8967.0,0.0,-15.59,1
Kaisa,Rapid Firecannon,Swiftmarch,BOTTOM,10850.0,0.0,53.16,1
Kaisa,Guardian Angel,Rapid Firecannon,BOTTOM,14124.0,0.0,-24.32,1
Kaisa,Infinity Edge,Guardian Angel,BOTTOM,17269.0,0.0,0,1
Kaisa,Rapid Firecannon,Black Cleaver,BOTTOM,9256.0,0.0,-2.23,1
Lucian,Black Cleaver,Statikk Shiv,BOTTOM,8637.0,0.0,0,1
Lucian,Rapid Firecannon,Statikk Shiv,BOTTOM,7334.0,0.0,-11.95,1
Vayne,Statikk Shiv,None,BOTTOM,3696.0,0.0,23.62,1
Vayne,Black Cleaver,Statikk Shiv,BOTTOM,6987.0,0.0,2.02,1
Vayne,Rapid Firecannon,Black Cleaver,BOTTOM,9959.0,0.0,0,1
Milio,The Collector,None,UTILITY,3847.0,100.0,51.12,1
Milio,Infinity Edge,The Collector,UTILITY,8288.0,100.0,40.56,1
Milio,Swiftmarch,Infinity Edge,UTILITY,9950.0,100.0,0,1
Milio,Manamune,Swiftmarch,UTILITY,8262.0,0.0,3.94,1
Milio,Manamune,Manamune,UTILITY,8262.0,0.0,3.95,1
Milio,Chempunk Chainsword,Manamune,UTILITY,12241.0,0.0,0,1
Milio,Rapid Firecannon,Black Cleaver,UTILITY,8268.0,100.0,1.08,1
Graves,Statikk Shiv,None,BOTTOM,4163.0,100.0,-9.82,1
Graves,Rapid Firecannon,Statikk Shiv,BOTTOM,7452.0,100.0,20.92,1
Graves,Infinity Edge,Rapid Firecannon,BOTTOM,10715.0,100.0,36.8,1
Graves,Guardian Angel,Infinity Edge,BOTTOM,13618.0,100.0,0,1
Jinx,Rapid Firecannon,Statikk Shiv,BOTTOM,7317.0,100.0,20.13,1
Jinx,Mortal Reminder,Rapid Firecannon,BOTTOM,11415.0,100.0,23.89,1
Jinx,Rapid Firecannon,Black Cleaver,BOTTOM,10870.0,0.0,-31.1,1
Jinx,Infinity Edge,Rapid Firecannon,BOTTOM,13101.0,0.0,16.13,1
Jinx,Infinity Edge,Statikk Shiv,BOTTOM,7214.0,0.0,5.94,1
MissFortune,Youmuu's Ghostblade,None,BOTTOM,3574.0,100.0,-2.77,1
