VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Garen,Stridebreaker,None,TOP,4492.3,57.1,38.02,7
Riven,Stridebreaker,None,TOP,4886.5,83.3,28.64,6
Gnar,Stridebreaker,None,TOP,4772.2,50.0,23.29,4
Garen,Overlord's Bloodmail,Stridebreaker,TOP,8216.0,50.0,-6.27,4
Jax,Stridebreaker,None,TOP,5101.0,50.0,60.9,4
Riven,Overlord's Bloodmail,Stridebreaker,TOP,8682.8,100.0,-26.44,4
DrMundo,Stridebreaker,None,TOP,4532.2,50.0,45.21,4
DrMundo,Overlord's Bloodmail,Stridebreaker,TOP,10604.8,50.0,43.72,4
Vayne,Stridebreaker,None,TOP,5061.3,33.3,25.44,3
Sion,Stridebreaker,None,TOP,4828.7,66.7,38.04,3
Garen,Sterak's Gage,Overlord's Bloodmail,TOP,13682.3,66.7,49.86,3
Camille,Stridebreaker,None,TOP,4195.0,66.7,18.26,3
Volibear,Stridebreaker,None,TOP,4230.0,100.0,23.62,3
Volibear,Overlord's Bloodmail,Stridebreaker,TOP,8523.3,100.0,24.42,3
Shen,Stridebreaker,None,TOP,4880.7,33.3,-11.7,3
Gangplank,Stridebreaker,None,TOP,4464.0,33.3,73.88,3
Zaahen,Stridebreaker,None,TOP,5050.0,33.3,10.63,3
Vayne,Overlord's Bloodmail,Stridebreaker,TOP,8134.5,50.0,8.19,2
Aatrox,Stridebreaker,None,TOP,4396.0,100.0,43.93,2
Darius,Stridebreaker,None,TOP,5076.5,50.0,-5.62,2
Darius,Sterak's Gage,Stridebreaker,TOP,8257.5,50.0,-6.7,2
Darius,Blade of The Ruined King,None,TOP,4899.0,50.0,-1.53,2
Sion,Blade of The Ruined King,None,TOP,4102.0,50.0,20.23,2
Sion,Overlord's Bloodmail,Stridebreaker,TOP,8592.0,50.0,71.23,2
Garen,Armored Advance,Spear of Shojin,TOP,19160.5,50.0,5.74,2
Garen,Black Cleaver,Stridebreaker,TOP,8074.5,50.0,23.82,2
Garen,Overlord's Bloodmail,Black Cleaver,TOP,11927.0,50.0,20.21,2
Jax,Black Cleaver,Stridebreaker,TOP,8670.5,100.0,3.52,2
Jax,Overlord's Bloodmail,Stridebreaker,TOP,8520.0,0.0,71.87,2
Jax,Overlord's Bloodmail,Sterak's Gage,TOP,14719.0,100.0,51.38,2
Camille,Overlord's Bloodmail,Stridebreaker,TOP,8633.0,50.0,109.41,2
Camille,Sterak's Gage,Overlord's Bloodmail,TOP,12392.5,50.0,35.62,2
Yasuo,Stridebreaker,None,TOP,4931.0,0.0,14.35,2
Riven,Armored Advance,Overlord's Bloodmail,TOP,9499.5,100.0,-21.29,2
Riven,Sterak's Gage,Armored Advance,TOP,12166.0,100.0,9.99,2
Riven,Black Cleaver,Stridebreaker,TOP,8278.0,50.0,4.33,2
DrMundo,Blade of The Ruined King,None,TOP,4422.5,50.0,17.83,2
DrMundo,Stridebreaker,Blade of The Ruined King,TOP,8630.5,50.0,11.39,2
Urgot,Stridebreaker,None,TOP,4857.0,50.0,88.02,2
Vladimir,Stridebreaker,None,TOP,4421.0,0.0,5.37,2
TahmKench,Blade of The Ruined King,None,TOP,4631.0,50.0,25.98,2
Gangplank,Overlord's Bloodmail,Stridebreaker,TOP,8360.5,50.0,37.56,2
Fiora,Hullbreaker,Stridebreaker,TOP,9562.5,0.0,1.85,2
Singed,Stridebreaker,None,TOP,4387.0,100.0,21.34,2
