VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Ambessa,Sunfire Aegis,None,TOP,4688.0,100.0,2.04,2
Ambessa,Thornmail,Sunfire Aegis,TOP,8091.0,100.0,20.31,2
Pantheon,Heartsteel,None,TOP,3606.0,50.0,4.33,2
Sett,Titanic Hydra,None,TOP,5168.5,100.0,32.74,2
KSante,Titanic Hydra,None,TOP,4449.5,0.0,30.3,2
Zaahen,Titanic Hydra,None,TOP,5108.5,50.0,14.36,2
Braum,Heartsteel,None,UTILITY,3676.0,0.0,7.47,1
Braum,Force of Nature,Heartsteel,UTILITY,7426.0,0.0,-2.0,1
Braum,Thornmail,Force of Nature,UTILITY,10872.0,0.0,-5.05,1
Nami,Titanic Hydra,None,UTILITY,4789.0,100.0,-13.57,1
Nami,Sunfire Aegis,Titanic Hydra,UTILITY,7622.0,100.0,2.08,1
Nami,"Jak'Sho, The Protean",Sunfire Aegis,UTILITY,10202.0,100.0,3.0,1
Akshan,Titanic Hydra,None,TOP,3862.0,0.0,48.08,1
Akshan,Sunfire Aegis,Titanic Hydra,TOP,8571.0,0.0,-9.57,1
Akshan,Thornmail,Sunfire Aegis,TOP,10189.0,0.0,17.91,1
Akshan,Randuin's Omen,Thornmail,TOP,12742.0,0.0,0,1
Sylas,Titanic Hydra,None,TOP,4049.0,0.0,-35.05,1
Sylas,Heartsteel,Titanic Hydra,TOP,8758.0,0.0,-47.13,1
Sylas,Thornmail,Heartsteel,TOP,11478.0,0.0,0,1
Aatrox,Heartsteel,None,TOP,6035.0,0.0,5.06,1
Irelia,Heartsteel,None,TOP,4582.0,0.0,-32.0,1
Irelia,Titanic Hydra,None,TOP,6371.0,100.0,52.93,1
Irelia,Dead Man's Plate,Titanic Hydra,TOP,9657.0,100.0,29.76,1
Irelia,Armored Advance,Dead Man's Plate,TOP,10439.0,100.0,65.87,1
Irelia,Kaenic Rookern,Armored Advance,TOP,11953.0,100.0,0,1
Riven,Titanic Hydra,None,TOP,4280.0,100.0,58.05,1
Riven,Dead Man's Plate,Titanic Hydra,TOP,9276.0,100.0,0,1
Milio,Heartsteel,None,UTILITY,4806.0,100.0,28.94,1
Milio,Thornmail,Heartsteel,UTILITY,7412.0,100.0,0,1
Ambessa,Armored Advance,Thornmail,TOP,7942.0,100.0,-9.98,1
Ambessa,Titanic Hydra,Armored Advance,TOP,11343.0,100.0,0,1
Ambessa,Titanic Hydra,Thornmail,TOP,12671.0,100.0,39.43,1
Ambessa,Unending Despair,Titanic Hydra,TOP,13808.0,100.0,2.11,1
Ambessa,Dead Man's Plate,Unending Despair,TOP,16327.0,100.0,19.59,1
Teemo,Heartsteel,None,TOP,4355.0,100.0,9.62,1
Teemo,Hollow Radiance,Heartsteel,TOP,6817.0,100.0,110.76,1
Teemo,Armored Advance,Hollow Radiance,TOP,10034.0,100.0,0,1
Teemo,Spirit Visage,None,MIDDLE,4535.0,100.0,73.31,1
Teemo,Hollow Radiance,Spirit Visage,MIDDLE,8132.0,100.0,-8.34,1
Teemo,Crimson Lucidity,Hollow Radiance,MIDDLE,8891.0,100.0,0,1
Pantheon,Sunfire Aegis,Heartsteel,TOP,7202.0,100.0,-18.59,1
Pantheon,Kaenic Rookern,Sunfire Aegis,TOP,10083.0,100.0,11.3,1
Pantheon,Armored Advance,Kaenic Rookern,TOP,11868.0,100.0,0,1
Pantheon,Titanic Hydra,None,TOP,4713.0,0.0,-1.23,1
Pantheon,Heartsteel,Titanic Hydra,TOP,7870.0,0.0,-4.34,1
Pantheon,Thornmail,Heartsteel,TOP,10380.0,0.0,-39.5,1
Volibear,Titanic Hydra,None,TOP,4066.0,100.0,9.43,1
Volibear,Hollow Radiance,Titanic Hydra,TOP,7863.0,100.0,4.54,1
Blitzcrank,Heartsteel,None,UTILITY,4551.0,0.0,-25.78,1
Blitzcrank,Thornmail,Heartsteel,UTILITY,6895.0,0.0,0,1
Singed,Titanic Hydra,None,TOP,4587.0,100.0,4.12,1
Singed,Dead Man's Plate,Titanic Hydra,TOP,8628.0,100.0,19.19,1
Singed,Unending Despair,Dead Man's Plate,TOP,11055.0,100.0,-41.39,1
Singed,Armored Advance,Unending Despair,TOP,11055.0,100.0,-41.37,1
Singed,Heartsteel,None,TOP,4196.0,0.0,14.83,1
Singed,Titanic Hydra,Heartsteel,TOP,8012.0,0.0,-38.0,1
Singed,Chainlaced Crushers,Titanic Hydra,TOP,9743.0,0.0,31.59,1
Singed,Unending Despair,Chainlaced Crushers,TOP,11525.0,0.0,0,1
Renekton,Heartsteel,None,TOP,4017.0,100.0,-8.13,1
Renekton,Titanic Hydra,None,TOP,5607.0,0.0,-16.62,1
Renekton,Heartsteel,Titanic Hydra,TOP,8951.0,0.0,0,1
Sett,Dead Man's Plate,Titanic Hydra,TOP,9032.0,100.0,72.84,1
Sett,Sunfire Aegis,None,TOP,6321.0,0.0,1.61,1
Sett,Titanic Hydra,Sunfire Aegis,TOP,7995.0,0.0,34.41,1
Sett,Thornmail,Titanic Hydra,TOP,10489.0,0.0,-40.91,1
Sett,Kaenic Rookern,Thornmail,TOP,13278.0,0.0,-46.16,1
Sett,Unending Despair,Kaenic Rookern,TOP,15894.0,0.0,0,1
Sett,Abyssal Mask,Titanic Hydra,TOP,8097.0,100.0,0,1
Sion,Heartsteel,None,TOP,6590.0,100.0,8.01,1
Sion,Titanic Hydra,Heartsteel,TOP,8810.0,100.0,-12.03,1
Sion,Thornmail,Titanic Hydra,TOP,10455.0,100.0,-24.46,1
Sion,Thornmail,Thornmail,TOP,10455.0,100.0,-23.41,1
Sion,Titanic Hydra,None,TOP,5376.0,0.0,-3.84,1
Shaco,Heartsteel,None,UTILITY,4047.0,100.0,0.27,1
Shaco,Armored Advance,Heartsteel,UTILITY,6066.0,100.0,24.73,1
Shaco,Kaenic Rookern,Armored Advance,UTILITY,9116.0,100.0,0,1
Bard,Heartsteel,None,UTILITY,5067.0,0.0,-15.42,1
Bard,Armored Advance,Heartsteel,UTILITY,5703.0,0.0,-26.65,1
Morgana,Titanic Hydra,None,UTILITY,4147.0,100.0,13.94,1
Morgana,Chainlaced Crushers,Titanic Hydra,UTILITY,6629.0,100.0,-7.03,1
Morgana,Dead Man's Plate,Chainlaced Crushers,UTILITY,8967.0,100.0,40.03,1
Morgana,Locket of the Iron Solari,Dead Man's Plate,UTILITY,11064.0,100.0,-14.18,1
Morgana,Knight's Vow,Locket of the Iron Solari,UTILITY,13501.0,100.0,0,1
Gwen,Titanic Hydra,None,TOP,5205.0,100.0,55.36,1
Gwen,Dead Man's Plate,Titanic Hydra,TOP,7929.0,100.0,8.72,1
Gwen,Abyssal Mask,Dead Man's Plate,TOP,10739.0,100.0,40.6,1
Lux,Heartsteel,None,UTILITY,4748.0,0.0,1.48,1
Lux,Locket of the Iron Solari,Heartsteel,UTILITY,7248.0,0.0,0,1
Ornn,Hollow Radiance,None,TOP,3972.0,0.0,15.06,1
Ornn,Dead Man's Plate,Hollow Radiance,TOP,8223.0,0.0,10.27,1
Ornn,Thornmail,Dead Man's Plate,TOP,9725.0,0.0,-9.16,1
Mel,Heartsteel,None,UTILITY,5126.0,100.0,47.81,1
Mel,Chainlaced Crushers,Heartsteel,UTILITY,6161.0,100.0,43.77,1
Mel,Locket of the Iron Solari,Chainlaced Crushers,UTILITY,8488.0,100.0,59.92,1
Darius,Iceborn Gauntlet,None,TOP,5883.0,100.0,55.11,1
Darius,Sunfire Aegis,Iceborn Gauntlet,TOP,7681.0,100.0,15.77,1
Yuumi,Heartsteel,None,UTILITY,5831.0,100.0,16.23,1
Yuumi,Thornmail,Heartsteel,UTILITY,7838.0,100.0,0,1
Yuumi,Armored Advance,Thornmail,UTILITY,7838.0,100.0,0,1
Malphite,Heartsteel,None,UTILITY,3960.0,100.0,40.98,1
Malphite,Dead Man's Plate,Heartsteel,UTILITY,9079.0,100.0,0,1
Malphite,Chainlaced Crushers,Dead Man's Plate,UTILITY,9079.0,100.0,0,1
Malphite,Heartsteel,None,TOP,4287.0,100.0,16.82,1
Malphite,Titanic Hydra,Heartsteel,TOP,8229.0,100.0,67.07,1
