VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
MasterYi,Spear of Shojin,None,JUNGLE,4033.7,33.3,10.39,3
MasterYi,Liandry's Torment,Spear of Shojin,JUNGLE,8077.7,33.3,21.98,3
MasterYi,Riftmaker,Liandry's Torment,JUNGLE,11488.0,33.3,-16.21,3
Skarner,Spear of Shojin,None,JUNGLE,4552.0,100.0,-17.63,1
Skarner,Liandry's Torment,Spear of Shojin,JUNGLE,7891.0,100.0,14.61,1
Skarner,Unending Despair,Liandry's Torment,JUNGLE,11379.0,100.0,14.36,1
Skarner,Spellslinger's Shoes,Unending Despair,JUNGLE,13687.0,100.0,0,1
Viego,Spear of Shojin,None,JUNGLE,4298.0,0.0,35.57,1
Viego,Riftmaker,Spear of Shojin,JUNGLE,7499.0,0.0,29.97,1
Viego,Cryptbloom,Riftmaker,JUNGLE,12373.0,0.0,-34.38,1
Viego,Crimson Lucidity,Cryptbloom,JUNGLE,12952.0,0.0,-35.98,1
Viego,Cryptbloom,Crimson Lucidity,JUNGLE,12952.0,0.0,-35.27,1
Viego,Bloodletter's Curse,Cryptbloom,JUNGLE,12952.0,0.0,-35.23,1
Viego,Randuin's Omen,Bloodletter's Curse,JUNGLE,15262.0,0.0,-10.26,1
Viego,Crimson Lucidity,Randuin's Omen,JUNGLE,17738.0,0.0,-6.33,1
Viego,Spirit Visage,Crimson Lucidity,JUNGLE,17738.0,0.0,-5.17,1
Viego,Chainlaced Crushers,Spirit Visage,JUNGLE,17738.0,0.0,-5.01,1
Viego,Spirit Visage,Chainlaced Crushers,JUNGLE,19844.0,0.0,0,1
Kindred,Ravenous Hydra,None,JUNGLE,4298.0,0.0,-10.22,1
Kindred,Navori Flickerblade,Ravenous Hydra,JUNGLE,8147.0,0.0,-14.11,1
Kindred,Zeke's Convergence,Navori Flickerblade,JUNGLE,9746.0,0.0,0.74,1
Kindred,Blade of The Ruined King,Zeke's Convergence,JUNGLE,12878.0,0.0,0,1
Kindred,Trinity Force,None,JUNGLE,4449.0,100.0,41.32,1
Kindred,Zeke's Convergence,Trinity Force,JUNGLE,6981.0,100.0,26.95,1
Kindred,Armored Advance,Zeke's Convergence,JUNGLE,7569.0,100.0,60.31,1
Kindred,Titanic Hydra,Armored Advance,JUNGLE,10841.0,100.0,-7.12,1
Kindred,Liandry's Torment,Titanic Hydra,JUNGLE,13911.0,100.0,0,1
Azir,Nashor's Tooth,None,MIDDLE,3401.0,0.0,36.81,1
Azir,Stormsurge,Nashor's Tooth,MIDDLE,8079.0,0.0,-22.42,1
Azir,Rabadon's Deathcap,Stormsurge,MIDDLE,11774.0,0.0,0,1
MasterYi,Ravenous Hydra,None,JUNGLE,4927.0,0.0,52.85,1
