VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Ambessa,Liandry's Torment,None,TOP,4617.5,50.0,-0.59,2
Ambessa,Rylai's Crystal Scepter,Liandry's Torment,TOP,7033.0,50.0,62.57,2
Teemo,Liandry's Torment,None,TOP,5051.0,50.0,18.12,2
Teemo,Rylai's Crystal Scepter,Liandry's Torment,TOP,7739.5,50.0,-6.08,2
Shen,Liandry's Torment,None,TOP,3989.5,50.0,19.54,2
Garen,Liandry's Torment,None,TOP,4715.0,0.0,64.68,2
Garen,Rylai's Crystal Scepter,Liandry's Torment,TOP,8323.0,0.0,-0.51,2
Kayle,Liandry's Torment,None,TOP,5375.5,0.0,39.05,2
Kayle,Rylai's Crystal Scepter,Liandry's Torment,TOP,8017.0,0.0,26.44,2
Ambessa,Riftmaker,Rylai's Crystal Scepter,TOP,10920.0,100.0,16.59,1
Ambessa,Rabadon's Deathcap,Riftmaker,TOP,16820.0,100.0,0,1
Ambessa,Force of Nature,Rylai's Crystal Scepter,TOP,10689.0,0.0,0,1
Vladimir,Liandry's Torment,None,TOP,4846.0,0.0,13.16,1
Vladimir,Dead Man's Plate,Liandry's Torment,TOP,7982.0,0.0,-14.5,1
Vladimir,Riftmaker,Dead Man's Plate,TOP,10716.0,0.0,-10.08,1
Aatrox,Liandry's Torment,None,TOP,4557.0,100.0,98.63,1
Aatrox,Rylai's Crystal Scepter,Liandry's Torment,TOP,8201.0,100.0,-5.42,1
Aatrox,Dead Man's Plate,Rylai's Crystal Scepter,TOP,10043.0,100.0,-3.38,1
Aatrox,Bloodletter's Curse,Dead Man's Plate,TOP,13826.0,100.0,-15.61,1
Aatrox,"Jak'Sho, The Protean",Bloodletter's Curse,TOP,16019.0,100.0,0,1
Shaco,Dead Man's Plate,None,JUNGLE,4766.0,0.0,11.0,1
Shaco,Rylai's Crystal Scepter,Dead Man's Plate,JUNGLE,7273.0,0.0,7.35,1
Shaco,Liandry's Torment,Rylai's Crystal Scepter,JUNGLE,9891.0,0.0,-48.15,1
Riven,Liandry's Torment,None,TOP,5009.0,100.0,25.71,1
Riven,Rylai's Crystal Scepter,Liandry's Torment,TOP,7826.0,100.0,44.8,1
Riven,Armored Advance,Rylai's Crystal Scepter,TOP,8376.0,100.0,25.91,1
Riven,Riftmaker,Armored Advance,TOP,12414.0,100.0,17.63,1
Riven,Dead Man's Plate,Riftmaker,TOP,14027.0,100.0,0,1
Olaf,Rylai's Crystal Scepter,None,TOP,4394.0,100.0,61.56,1
Olaf,Liandry's Torment,Rylai's Crystal Scepter,TOP,7385.0,100.0,-29.89,1
Olaf,Swiftmarch,Liandry's Torment,TOP,8634.0,100.0,119.23,1
Olaf,Riftmaker,Swiftmarch,TOP,12668.0,100.0,0,1
Olaf,Bloodletter's Curse,Riftmaker,TOP,13460.0,100.0,0,1
Teemo,Kaenic Rookern,Rylai's Crystal Scepter,TOP,11294.0,100.0,0,1
Teemo,Bloodletter's Curse,Rylai's Crystal Scepter,TOP,11003.0,0.0,-23.62,1
Teemo,Force of Nature,Bloodletter's Curse,TOP,13322.0,0.0,0,1
Teemo,Rylai's Crystal Scepter,None,TOP,3840.0,100.0,8.68,1
Teemo,Liandry's Torment,Rylai's Crystal Scepter,TOP,7621.0,100.0,34.51,1
Teemo,"Jak'Sho, The Protean",Liandry's Torment,TOP,10749.0,100.0,19.98,1
Teemo,Force of Nature,"Jak'Sho, The Protean",TOP,13438.0,100.0,2.55,1
Gwen,Liandry's Torment,None,TOP,5476.0,100.0,5.42,1
Gwen,Rylai's Crystal Scepter,Liandry's Torment,TOP,6939.0,100.0,-12.35,1
Gwen,Dead Man's Plate,Rylai's Crystal Scepter,TOP,9961.0,100.0,-32.76,1
Gwen,Force of Nature,Dead Man's Plate,TOP,12570.0,100.0,0,1
Sion,Liandry's Torment,None,TOP,4801.0,100.0,74.33,1
Sion,Rylai's Crystal Scepter,Liandry's Torment,TOP,7384.0,100.0,-6.81,1
Sion,Swiftmarch,Rylai's Crystal Scepter,TOP,8126.0,100.0,-0.65,1
Shen,Riftmaker,Liandry's Torment,TOP,8334.0,0.0,0,1
Shen,Rylai's Crystal Scepter,Liandry's Torment,TOP,6876.0,100.0,54.37,1
Shen,Dead Man's Plate,Rylai's Crystal Scepter,TOP,11261.0,100.0,30.18,1
Shen,Riftmaker,Dead Man's Plate,TOP,14369.0,100.0,-3.68,1
Maokai,Liandry's Torment,None,TOP,5158.0,100.0,30.98,1
Maokai,Rylai's Crystal Scepter,Liandry's Torment,TOP,8634.0,100.0,0,1
Maokai,Swiftmarch,Rylai's Crystal Scepter,TOP,9317.0,100.0,0,1
Jax,Liandry's Torment,None,TOP,4704.0,100.0,-10.7,1
Jax,Dead Man's Plate,Liandry's Torment,TOP,9153.0,100.0,0,1
Jayce,Liandry's Torment,None,TOP,5016.0,0.0,53.61,1
Jayce,Rylai's Crystal Scepter,Liandry's Torment,TOP,7717.0,0.0,84.46,1
Jayce,Dead Man's Plate,Rylai's Crystal Scepter,TOP,10351.0,0.0,-32.19,1
Garen,"Jak'Sho, The Protean",Rylai's Crystal Scepter,TOP,10406.0,0.0,-21.05,1
Garen,Kaenic Rookern,"Jak'Sho, The Protean",TOP,13447.0,0.0,20.95,1
Warwick,Liandry's Torment,None,TOP,5329.0,100.0,29.72,1
Warwick,Rylai's Crystal Scepter,Liandry's Torment,TOP,7840.0,100.0,0,1
Sett,Rylai's Crystal Scepter,None,TOP,3269.0,0.0,9.7,1
Sett,Liandry's Torment,Rylai's Crystal Scepter,TOP,7367.0,0.0,87.0,1
Sett,Dead Man's Plate,Liandry's Torment,TOP,9836.0,0.0,18.05,1
Sett,Liandry's Torment,None,TOP,4327.0,0.0,-13.61,1
Sett,Rylai's Crystal Scepter,Liandry's Torment,TOP,8239.0,0.0,20.11,1
Sett,Force of Nature,Rylai's Crystal Scepter,TOP,11122.0,0.0,0,1
