VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Jax,Sunfire Aegis,None,TOP,4328.0,50.0,35.75,2
Jax,Armored Advance,Thornmail,TOP,8828.5,100.0,20.52,2
Sett,Unending Despair,Sunfire Aegis,TOP,14179.5,50.0,0,2
Kennen,Hollow Radiance,None,TOP,4614.0,100.0,-0.1,2
Aatrox,Sunfire Aegis,None,TOP,4130.0,100.0,73.61,2
Aatrox,Unending Despair,Thornmail,TOP,11569.0,100.0,13.54,2
Zac,Hollow Radiance,None,TOP,3702.0,0.0,31.47,2
Darius,Sunfire Aegis,None,TOP,4685.0,50.0,4.07,2
Darius,Thornmail,Unending Despair,TOP,11221.0,50.0,29.15,2
Shen,Sunfire Aegis,None,TOP,4094.5,50.0,20.91,2
Yorick,Sunfire Aegis,None,TOP,3795.5,0.0,32.63,2
Yorick,Unending Despair,Sunfire Aegis,TOP,7576.0,0.0,-3.79,2
Yasuo,Sunfire Aegis,None,MIDDLE,4531.5,100.0,40.33,2
Urgot,Sunfire Aegis,None,TOP,4542.5,50.0,44.47,2
Gwen,Hollow Radiance,None,TOP,3668.5,50.0,26.32,2
Zaahen,Sunfire Aegis,None,TOP,4453.5,0.0,36.95,2
Malphite,Hollow Radiance,None,TOP,4020.5,0.0,41.99,2
Malphite,Unending Despair,Hollow Radiance,TOP,7215.5,0.0,-2.38,2
Jax,Thornmail,Sunfire Aegis,TOP,8004.0,100.0,-29.86,1
Jax,Hollow Radiance,None,TOP,4734.0,100.0,26.22,1
Jax,Thornmail,Hollow Radiance,TOP,8216.0,100.0,5.87,1
Jax,Dead Man's Plate,Armored Advance,TOP,11353.0,100.0,0,1
Jax,Frozen Heart,Dead Man's Plate,TOP,12809.0,100.0,0,1
Aurora,Titanic Hydra,None,TOP,6047.0,0.0,80.87,1
Aurora,Hullbreaker,Titanic Hydra,TOP,9137.0,0.0,-19.43,1
Sett,Heartsteel,None,TOP,5220.0,0.0,32.0,1
Sett,Thornmail,Heartsteel,TOP,8350.0,0.0,96.1,1
Sett,Sunfire Aegis,Thornmail,TOP,10935.0,0.0,1.09,1
Sett,Sunfire Aegis,None,TOP,5336.0,0.0,-26.41,1
Sett,Frozen Heart,Sunfire Aegis,TOP,7681.0,0.0,-3.94,1
Sett,Titanic Hydra,None,TOP,6211.0,100.0,-10.36,1
Sett,Thornmail,Titanic Hydra,TOP,8173.0,100.0,-0.97,1
Sett,Force of Nature,Thornmail,TOP,10257.0,100.0,38.58,1
Sett,Sunfire Aegis,Force of Nature,TOP,13249.0,100.0,7.03,1
Sett,Youmuu's Ghostblade,None,TOP,3923.0,0.0,52.7,1
Sett,The Collector,Youmuu's Ghostblade,TOP,7886.0,0.0,-10.52,1
Sett,Axiom Arc,The Collector,TOP,10039.0,0.0,0,1
Sett,Thornmail,None,TOP,6201.0,100.0,21.51,1
Sett,Hollow Radiance,Thornmail,TOP,8265.0,100.0,3.3,1
Sett,Titanic Hydra,Hollow Radiance,TOP,10963.0,100.0,42.74,1
Sett,Armored Advance,Titanic Hydra,TOP,10963.0,100.0,43.05,1
Sett,Unending Despair,Armored Advance,TOP,13829.0,100.0,-11.75,1
Kennen,Heartsteel,Hollow Radiance,TOP,7811.0,100.0,27.05,1
Kennen,Hullbreaker,Heartsteel,TOP,10387.0,100.0,20.1,1
Kennen,Swiftmarch,Hullbreaker,TOP,10387.0,100.0,21.04,1
Kennen,Titanic Hydra,Swiftmarch,TOP,13986.0,100.0,0,1
Kennen,Unending Despair,Hollow Radiance,TOP,8473.0,100.0,3.14,1
Kennen,Thornmail,Unending Despair,TOP,9935.0,100.0,-33.15,1
Kennen,"Jak'Sho, The Protean",Thornmail,TOP,14247.0,100.0,0,1
Rumble,Hollow Radiance,None,MIDDLE,4914.0,0.0,-11.81,1
Rumble,Heartsteel,Hollow Radiance,MIDDLE,8009.0,0.0,-11.03,1
Rumble,Titanic Hydra,Heartsteel,MIDDLE,10936.0,0.0,23.5,1
Rumble,Unending Despair,Titanic Hydra,MIDDLE,13549.0,0.0,-8.01,1
Rumble,Kaenic Rookern,Unending Despair,MIDDLE,13549.0,0.0,-7.41,1
Volibear,Heartsteel,None,TOP,3660.0,100.0,38.94,1
Volibear,Thornmail,Heartsteel,TOP,7358.0,100.0,-10.46,1
Volibear,Chainlaced Crushers,Thornmail,TOP,8405.0,100.0,27.86,1
Volibear,Hollow Radiance,Chainlaced Crushers,TOP,11136.0,100.0,0,1
Volibear,Hollow Radiance,None,TOP,6600.0,0.0,-5.81,1
Volibear,Unending Despair,Hollow Radiance,TOP,8118.0,0.0,-2.73,1
Volibear,Thornmail,Unending Despair,TOP,10173.0,0.0,20.39,1
Volibear,Overlord's Bloodmail,Thornmail,TOP,14505.0,0.0,10.36,1
Volibear,"Jak'Sho, The Protean",Overlord's Bloodmail,TOP,16801.0,0.0,-49.97,1
Volibear,Kaenic Rookern,"Jak'Sho, The Protean",TOP,23305.0,0.0,0,1
Aatrox,Heartsteel,Sunfire Aegis,TOP,8351.0,100.0,5.22,1
Aatrox,Thornmail,Heartsteel,TOP,9969.0,100.0,13.35,1
Aatrox,"Jak'Sho, The Protean",Unending Despair,TOP,17380.0,100.0,0,1
Aatrox,Thornmail,Sunfire Aegis,TOP,6685.0,100.0,54.51,1
Aatrox,Thornmail,None,TOP,4328.0,100.0,3.76,1
