VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Yunara,Essence Reaver,None,BOTTOM,4111.5,33.3,27.51,6
Twitch,Essence Reaver,None,BOTTOM,3875.3,66.7,31.58,6
Caitlyn,Essence Reaver,None,BOTTOM,4506.5,50.0,36.58,6
Jhin,Yun Tal Wildarrows,None,BOTTOM,4321.8,40.0,39.24,5
Kaisa,Yun Tal Wildarrows,None,BOTTOM,4317.0,60.0,21.59,5
Yunara,Infinity Edge,Essence Reaver,BOTTOM,7940.4,20.0,4.46,5
Vayne,Essence Reaver,None,BOTTOM,4041.2,60.0,2.53,5
Caitlyn,Navori Flickerblade,Essence Reaver,BOTTOM,7194.0,60.0,41.12,5
Caitlyn,Infinity Edge,Navori Flickerblade,BOTTOM,10730.8,60.0,23.96,5
Jhin,Essence Reaver,None,BOTTOM,4338.2,0.0,60.09,4
Kaisa,Essence Reaver,None,BOTTOM,3714.5,25.0,23.95,4
Twitch,Navori Flickerblade,Essence Reaver,BOTTOM,6812.8,75.0,40.92,4
Lucian,Essence Reaver,None,BOTTOM,4117.5,50.0,23.53,4
Lucian,Navori Flickerblade,Essence Reaver,BOTTOM,7157.0,50.0,-2.46,4
Jinx,Essence Reaver,None,BOTTOM,4449.0,66.7,35.16,3
Jhin,Navori Flickerblade,Essence Reaver,BOTTOM,7087.7,0.0,0.79,3
Kaisa,Infinity Edge,Yun Tal Wildarrows,BOTTOM,8446.7,66.7,52.11,3
Yunara,Navori Flickerblade,Infinity Edge,BOTTOM,10566.7,33.3,66.53,3
Vayne,Navori Flickerblade,Essence Reaver,BOTTOM,6837.0,33.3,3.41,3
Twitch,Gunmetal Greaves,Infinity Edge,BOTTOM,10167.7,66.7,-3.01,3
Caitlyn,Yun Tal Wildarrows,None,BOTTOM,4102.0,33.3,13.06,3
Caitlyn,Gunmetal Greaves,Infinity Edge,BOTTOM,11310.0,66.7,-8.95,3
MissFortune,Essence Reaver,None,BOTTOM,3896.7,33.3,29.7,3
MissFortune,Navori Flickerblade,Essence Reaver,BOTTOM,7174.7,33.3,17.34,3
MissFortune,Infinity Edge,Navori Flickerblade,BOTTOM,10380.3,33.3,72.52,3
Draven,Yun Tal Wildarrows,None,BOTTOM,4978.0,66.7,-0.58,3
Ezreal,Essence Reaver,None,BOTTOM,3771.3,66.7,47.42,3
Jinx,Yun Tal Wildarrows,None,BOTTOM,4305.5,50.0,24.14,2
Jinx,Mortal Reminder,Navori Flickerblade,BOTTOM,12879.0,50.0,53.55,2
Jinx,Infinity Edge,Essence Reaver,BOTTOM,8167.0,50.0,10.31,2
Jinx,Navori Flickerblade,Infinity Edge,BOTTOM,11131.0,100.0,16.47,2
Varus,Essence Reaver,None,BOTTOM,4292.0,100.0,46.35,2
Varus,Navori Flickerblade,Essence Reaver,BOTTOM,7661.5,100.0,6.93,2
Varus,Infinity Edge,Navori Flickerblade,BOTTOM,10568.5,100.0,73.88,2
