VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Jinx,Essence Reaver,None,BOTTOM,4098.6,50.0,33.02,14
MissFortune,Essence Reaver,None,BOTTOM,4214.7,35.7,29.23,14
Kaisa,Essence Reaver,None,BOTTOM,4284.6,57.1,31.37,14
Jhin,Essence Reaver,None,BOTTOM,4176.4,66.7,28.32,12
MissFortune,Spear of Shojin,Essence Reaver,BOTTOM,7760.5,25.0,23.21,12
Jinx,Spear of Shojin,Essence Reaver,BOTTOM,7852.9,44.4,5.28,9
Kaisa,Spear of Shojin,Essence Reaver,BOTTOM,8070.1,66.7,5.84,9
Caitlyn,Essence Reaver,None,BOTTOM,4132.0,25.0,31.69,8
Ezreal,Essence Reaver,None,BOTTOM,4015.1,50.0,11.21,8
Ezreal,Spear of Shojin,Essence Reaver,BOTTOM,7480.0,50.0,2.72,8
Ashe,Essence Reaver,None,BOTTOM,4160.7,71.4,40.68,7
Aphelios,Essence Reaver,None,BOTTOM,3852.0,66.7,16.61,6
Jhin,Spear of Shojin,Essence Reaver,BOTTOM,7565.8,60.0,0.35,5
Jinx,Rapid Firecannon,Spear of Shojin,BOTTOM,11126.0,40.0,28.76,5
Ashe,Spear of Shojin,Essence Reaver,BOTTOM,7872.0,60.0,12.92,5
Jinx,Infinity Edge,Essence Reaver,BOTTOM,9038.0,75.0,13.31,4
MissFortune,Rapid Firecannon,Spear of Shojin,BOTTOM,10351.8,0.0,35.83,4
Kaisa,Rapid Firecannon,Spear of Shojin,BOTTOM,9872.0,50.0,21.54,4
Vayne,Essence Reaver,None,BOTTOM,3846.0,25.0,-10.33,4
Jinx,Rapid Firecannon,Infinity Edge,BOTTOM,12532.3,100.0,45.32,3
MissFortune,Infinity Edge,Spear of Shojin,BOTTOM,10872.0,33.3,10.72,3
MissFortune,Infinity Edge,Rapid Firecannon,BOTTOM,12805.7,33.3,92.58,3
Kaisa,Crimson Lucidity,Spear of Shojin,BOTTOM,9158.7,100.0,34.26,3
Caitlyn,Infinity Edge,Essence Reaver,BOTTOM,7611.0,33.3,-8.2,3
Caitlyn,Rapid Firecannon,Essence Reaver,BOTTOM,7002.0,0.0,52.4,3
Yunara,Essence Reaver,None,BOTTOM,4492.0,100.0,25.29,3
Yunara,Spear of Shojin,Essence Reaver,BOTTOM,8206.0,100.0,-11.06,3
Tristana,Rapid Firecannon,Infinity Edge,BOTTOM,13156.3,66.7,33.69,3
Tristana,Essence Reaver,None,BOTTOM,4992.0,33.3,2.82,3
Lucian,Essence Reaver,None,BOTTOM,3592.0,100.0,16.94,3
Lucian,Spear of Shojin,Essence Reaver,BOTTOM,8225.7,100.0,24.8,3
Lucian,Rapid Firecannon,Spear of Shojin,BOTTOM,10612.7,100.0,40.73,3
Ziggs,Essence Reaver,None,BOTTOM,4483.7,66.7,21.05,3
Ziggs,Rapid Firecannon,Spear of Shojin,BOTTOM,10580.0,66.7,46.72,3
Draven,Essence Reaver,None,BOTTOM,4066.0,66.7,3.03,3
Draven,Spear of Shojin,Essence Reaver,BOTTOM,7668.7,66.7,-12.94,3
Sivir,Essence Reaver,None,BOTTOM,4357.3,66.7,0.94,3
Jhin,Rapid Firecannon,Spear of Shojin,BOTTOM,9762.5,50.0,0,2
Jhin,Trinity Force,Essence Reaver,BOTTOM,7645.5,50.0,41.52,2
Jhin,Infinity Edge,Trinity Force,BOTTOM,10063.5,50.0,-15.6,2
Jhin,Infinity Edge,Essence Reaver,BOTTOM,8129.0,100.0,28.63,2
Jhin,Rapid Firecannon,Infinity Edge,BOTTOM,10812.0,100.0,25.4,2
Jhin,Manamune,Manamune,BOTTOM,7671.0,50.0,0.8,2
Jinx,Infinity Edge,Spear of Shojin,BOTTOM,11270.5,100.0,42.96,2
Jinx,Crimson Lucidity,Spear of Shojin,BOTTOM,8710.0,50.0,29.01,2
Ashe,Rapid Firecannon,Spear of Shojin,BOTTOM,10055.0,50.0,50.74,2
Mel,Essence Reaver,None,BOTTOM,3894.0,50.0,22.99,2
Mel,Spear of Shojin,Essence Reaver,BOTTOM,7697.5,50.0,27.16,2
MissFortune,Spear of Shojin,None,BOTTOM,4863.5,0.0,32.65,2
MissFortune,Lord Dominik's Regards,Infinity Edge,BOTTOM,13755.0,50.0,69.42,2
MissFortune,Bloodthirster,Lord Dominik's Regards,BOTTOM,19718.5,50.0,0,2
MissFortune,Manamune,Manamune,BOTTOM,8073.0,0.0,85.56,2
MissFortune,Crimson Lucidity,Spear of Shojin,BOTTOM,9107.0,100.0,28.75,2
Kaisa,Infinity Edge,Essence Reaver,BOTTOM,7724.5,100.0,32.29,2
Kaisa,Rapid Firecannon,Infinity Edge,BOTTOM,10140.0,100.0,11.01,2
Kaisa,Lord Dominik's Regards,Rapid Firecannon,BOTTOM,13507.0,50.0,-4.14,2
Kaisa,Rapid Firecannon,Essence Reaver,BOTTOM,6860.0,0.0,-7.95,2
Kaisa,Rapid Firecannon,Crimson Lucidity,BOTTOM,11880.0,100.0,0,2
Senna,Essence Reaver,None,BOTTOM,4240.0,50.0,49.06,2
Senna,Spear of Shojin,Essence Reaver,BOTTOM,7626.5,50.0,38.61,2
Aphelios,Infinity Edge,Essence Reaver,BOTTOM,7918.0,50.0,3.15,2
Aphelios,Spear of Shojin,Essence Reaver,BOTTOM,7593.0,50.0,-7.86,2
Aphelios,Rapid Firecannon,Essence Reaver,BOTTOM,7099.5,100.0,40.92,2
Aphelios,Rapid Firecannon,Crimson Lucidity,BOTTOM,11043.0,0.0,-13.81,2
Aphelios,Crimson Lucidity,Infinity Edge,BOTTOM,11254.0,50.0,51.62,2
Caitlyn,Spear of Shojin,Essence Reaver,BOTTOM,7715.5,50.0,19.39,2
Varus,Essence Reaver,None,BOTTOM,4053.5,100.0,3.75,2
Tristana,Spear of Shojin,Essence Reaver,BOTTOM,7611.5,50.0,54.57,2
Ezreal,Rapid Firecannon,Spear of Shojin,BOTTOM,10025.5,0.0,0,2
Ezreal,Infinity Edge,Spear of Shojin,BOTTOM,10855.5,50.0,100.03,2
Vayne,Spear of Shojin,Essence Reaver,BOTTOM,7994.0,50.0,13.83,2
Lucian,Bloodthirster,Rapid Firecannon,BOTTOM,14128.0,100.0,0,2
Ziggs,Spear of Shojin,Essence Reaver,BOTTOM,7916.0,100.0,-1.72,2
Draven,Crimson Lucidity,Spear of Shojin,BOTTOM,8545.5,100.0,13.69,2
Samira,Essence Reaver,None,BOTTOM,3986.0,0.0,40.76,2
Twitch,Essence Reaver,None,BOTTOM,4105.0,0.0,78.72,2
Corki,Hubris,None,BOTTOM,4480.0,0.0,24.52,1
Corki,Manamune,Hubris,BOTTOM,7379.0,0.0,8.2,1
Corki,Manamune,Manamune,BOTTOM,7379.0,0.0,8.22,1
Corki,Spear of Shojin,Manamune,BOTTOM,11606.0,0.0,-3.89,1
Corki,Rapid Firecannon,Spear of Shojin,BOTTOM,13011.0,0.0,-16.22,1
Corki,Lord Dominik's Regards,Rapid Firecannon,BOTTOM,16274.0,0.0,0,1
Jhin,Manamune,None,BOTTOM,5750.0,100.0,22.38,1
Jhin,Immortal Shieldbow,Manamune,BOTTOM,7110.0,100.0,0,1
Jhin,Manamune,Immortal Shieldbow,BOTTOM,7490.0,100.0,0,1
Jhin,Rapid Firecannon,Trinity Force,BOTTOM,10651.0,100.0,20.65,1
Jhin,Infinity Edge,Spear of Shojin,BOTTOM,11873.0,0.0,-3.17,1
Jhin,Banshee's Veil,Infinity Edge,BOTTOM,14537.0,0.0,0,1
Jhin,Lord Dominik's Regards,Rapid Firecannon,BOTTOM,15561.0,100.0,0,1
Jhin,Manamune,Essence Reaver,BOTTOM,8282.0,100.0,-16.78,1
Jhin,Bloodthirster,Manamune,BOTTOM,8282.0,100.0,-16.09,1
Jhin,Trinity Force,Bloodthirster,BOTTOM,8282.0,100.0,-15.81,1
Jhin,Manamune,Infinity Edge,BOTTOM,8282.0,100.0,-15.21,1
Jhin,Infinity Edge,Manamune,BOTTOM,10847.0,100.0,-40.38,1
Jhin,Swiftmarch,Infinity Edge,BOTTOM,11959.0,100.0,-40.31,1
Jhin,Swiftmarch,Swiftmarch,BOTTOM,12081.0,100.0,-39.91,1
Jhin,Rapid Firecannon,Swiftmarch,BOTTOM,14969.0,100.0,33.35,1
Jhin,Bloodthirster,Rapid Firecannon,BOTTOM,18526.0,100.0,59.22,1
Jhin,Bloodthirster,Bloodthirster,BOTTOM,19108.0,100.0,54.23,1
Jhin,Spear of Shojin,Bloodthirster,BOTTOM,19108.0,100.0,54.82,1
Jhin,Trinity Force,None,BOTTOM,4681.0,0.0,-6.17,1
Jhin,Manamune,Trinity Force,BOTTOM,7060.0,0.0,14.66,1
Jhin,Spear of Shojin,Manamune,BOTTOM,10769.0,0.0,-0.32,1
Jhin,Rapid Firecannon,Essence Reaver,BOTTOM,7888.0,100.0,-36.43,1
Jhin,Swiftmarch,Rapid Firecannon,BOTTOM,7888.0,100.0,-36.26,1
Jhin,Infinity Edge,Swiftmarch,BOTTOM,11727.0,100.0,198.37,1
Jhin,Lord Dominik's Regards,Infinity Edge,BOTTOM,15140.0,100.0,0,1
Jhin,Crimson Lucidity,Rapid Firecannon,BOTTOM,11532.0,100.0,13.72,1
Jhin,Bloodthirster,Crimson Lucidity,BOTTOM,14731.0,100.0,0,1
Sylas,Essence Reaver,None,MIDDLE,4956.0,0.0,7.48,1
