VS Champion,Item Name,Last Item,Role,Avg Gold At Purchase,Win Rate (%),Gold Accel (5min) (%),Sample Size
Nami,Moonstone Renewer,None,UTILITY,3670.7,33.3,-13.7,6
Nautilus,Moonstone Renewer,None,UTILITY,2993.5,25.0,0.95,4
Braum,Moonstone Renewer,None,UTILITY,3576.8,25.0,6.92,4
Milio,Moonstone Renewer,None,UTILITY,3698.0,25.0,-7.15,4
Thresh,Moonstone Renewer,None,UTILITY,3046.0,75.0,-1.29,4
Neeko,Moonstone Renewer,None,UTILITY,3716.2,75.0,-2.39,4
Nautilus,Redemption,Moonstone Renewer,UTILITY,6363.0,33.3,-10.19,3
Bard,Moonstone Renewer,None,UTILITY,4070.3,0.0,-4.55,3
Lulu,Moonstone Renewer,None,UTILITY,3964.7,66.7,13.04,3
Milio,Redemption,Moonstone Renewer,UTILITY,6294.3,33.3,-2.2,3
Zyra,Moonstone Renewer,None,UTILITY,3466.0,66.7,-6.23,3
Neeko,Redemption,Moonstone Renewer,UTILITY,6578.3,100.0,15.27,3
Senna,Ardent Censer,None,UTILITY,4059.5,0.0,-20.44,2
Senna,Redemption,Ardent Censer,UTILITY,6333.0,0.0,0,2
Velkoz,Moonstone Renewer,None,UTILITY,3338.5,50.0,8.05,2
Nami,Redemption,Moonstone Renewer,UTILITY,6273.5,50.0,-1.32,2
Seraphine,Moonstone Renewer,None,UTILITY,3551.5,100.0,-10.68,2
Brand,Moonstone Renewer,None,UTILITY,3108.0,50.0,6.84,2
Leona,Moonstone Renewer,None,UTILITY,3902.5,50.0,17.32,2
Leona,Redemption,Moonstone Renewer,UTILITY,6243.5,50.0,28.48,2
Zilean,Moonstone Renewer,None,UTILITY,3518.5,100.0,37.78,2
Lux,Moonstone Renewer,None,UTILITY,4186.0,100.0,32.32,2
Lux,Redemption,Moonstone Renewer,UTILITY,6641.0,100.0,44.03,2
Nautilus,Dawncore,Redemption,UTILITY,8808.0,100.0,0,1
Nautilus,Dawncore,Moonstone Renewer,UTILITY,6320.0,0.0,0,1
Nautilus,Redemption,None,UTILITY,3799.0,100.0,0,1
Senna,Dawncore,None,UTILITY,4528.0,0.0,-20.9,1
Senna,Echoes of Helia,Dawncore,UTILITY,6399.0,0.0,0,1
Senna,Echoes of Helia,None,UTILITY,3853.0,100.0,-5.72,1
Senna,Redemption,Echoes of Helia,UTILITY,6016.0,100.0,39.1,1
Senna,Swiftmarch,Redemption,UTILITY,8387.0,100.0,0,1
Senna,Moonstone Renewer,None,UTILITY,2910.0,100.0,-21.64,1
Senna,Crimson Lucidity,Moonstone Renewer,UTILITY,4930.0,100.0,-11.93,1
Senna,Redemption,Crimson Lucidity,UTILITY,7175.0,100.0,31.65,1
Braum,Redemption,Moonstone Renewer,UTILITY,6039.0,0.0,-4.49,1
Braum,Crimson Lucidity,Moonstone Renewer,UTILITY,5557.0,0.0,-24.4,1
Braum,Warmog's Armor,Crimson Lucidity,UTILITY,7716.0,0.0,-26.88,1
Braum,Randuin's Omen,Warmog's Armor,UTILITY,10609.0,0.0,0,1
Braum,Swiftmarch,Moonstone Renewer,UTILITY,6148.0,0.0,0.41,1
Braum,Redemption,Swiftmarch,UTILITY,7083.0,0.0,0,1
Braum,Dawncore,Moonstone Renewer,UTILITY,6262.0,100.0,-10.42,1
Braum,Crimson Lucidity,Dawncore,UTILITY,6725.0,100.0,-20.55,1
Velkoz,Redemption,Moonstone Renewer,UTILITY,6314.0,100.0,9.89,1
Morgana,Redemption,None,UTILITY,3217.0,0.0,5.18,1
Morgana,Moonstone Renewer,Redemption,UTILITY,6786.0,0.0,-31.8,1
Morgana,Crimson Lucidity,Moonstone Renewer,UTILITY,7013.0,0.0,-29.31,1
Karma,Moonstone Renewer,None,UTILITY,3972.0,0.0,-15.41,1
Karma,Ardent Censer,Moonstone Renewer,UTILITY,6967.0,0.0,0,1
Poppy,Moonstone Renewer,None,UTILITY,3234.0,0.0,11.4,1
Poppy,Redemption,Moonstone Renewer,UTILITY,6467.0,0.0,0,1
Bard,Ardent Censer,Moonstone Renewer,UTILITY,6673.0,0.0,-5.7,1
Bard,Dawncore,Moonstone Renewer,UTILITY,6585.0,0.0,0,1
Bard,Redemption,Moonstone Renewer,UTILITY,6193.0,0.0,0,1
Blitzcrank,Shurelya's Battlesong,None,UTILITY,3907.0,100.0,16.37,1
Blitzcrank,Ardent Censer,Shurelya's Battlesong,UTILITY,7276.0,100.0,79.41,1
Blitzcrank,Locket of the Iron Solari,Ardent Censer,UTILITY,8932.0,100.0,0,1
Lulu,Crimson Lucidity,Moonstone Renewer,UTILITY,6871.0,100.0,-16.81,1
Lulu,Redemption,Crimson Lucidity,UTILITY,6871.0,100.0,-16.74,1
Lulu,Swiftmarch,Moonstone Renewer,UTILITY,5215.0,100.0,-13.92,1
Lulu,Redemption,Swiftmarch,UTILITY,7071.0,100.0,0,1
Lulu,Malignance,Moonstone Renewer,UTILITY,6519.0,0.0,0,1
Taliyah,Moonstone Renewer,None,UTILITY,3190.0,0.0,17.5,1
Taliyah,Crimson Lucidity,Moonstone Renewer,UTILITY,5020.0,0.0,-21.83,1
